,actual,country,date,forecast,forecast_error,impact,new,previous,previous_error,time
0,,JPY,2007-12-30 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
1,1.7%,AUD,2007-12-30 00:00:00,1.0%,better,Medium,Private Sector Credit m/m,0.9%,worse,8:30pm
2,,EUR,2007-12-31 00:00:00,,,Non-Economic,German Bank Holiday,,,12:00am
3,5.00M,USD,2007-12-31 00:00:00,4.97M,better,High,Existing Home Sales,4.98M,,11:00am
4,,NZD,2007-12-31 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
5,,AUD,2007-12-31 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
6,,CNY,2007-12-31 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
7,,JPY,2007-12-31 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
8,55.3,CNY,2007-12-31 00:00:00,,,High,Manufacturing PMI,55.4,,9:00pm
9,,CHF,2007-01-01 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
10,,EUR,2007-01-01 00:00:00,,,Non-Economic,German Bank Holiday,,,12:00am
11,,EUR,2007-01-01 00:00:00,,,Non-Economic,French Bank Holiday,,,12:00am
12,,EUR,2007-01-01 00:00:00,,,Non-Economic,Italian Bank Holiday,,,12:00am
13,,GBP,2007-01-01 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
14,,CAD,2007-01-01 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
15,,USD,2007-01-01 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
16,,NZD,2007-01-01 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
17,57.6,AUD,2007-01-01 00:00:00,,,Low,AIG Manufacturing Index,53.8,,6:30pm
18,,CNY,2007-01-01 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
19,,JPY,2007-01-01 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
