,actual,country,date,forecast,forecast_error,impact,new,previous,previous_error,time
0,,JPY,"Monday, February 26, 2018",,-,Low,JPY BOJ Outright Bond Purchase 5~10 Years,,-,01:10
1,107.4,JPY,"Monday, February 26, 2018",,-,Low,JPY Leading Index CI (DEC F),107.9,-,05:00
2,120.2,JPY,"Monday, February 26, 2018",,-,Low,JPY Coincident Index (DEC F),120.7,-,05:00
3,14.9b,CNY,"Monday, February 26, 2018",,-,Low,CNY FX Net Settlement - Clients CNY (JAN),44.5b,-,07:19
4,576.0b,CHF,"Monday, February 26, 2018",,-,Low,CHF Total Sight Deposits CHF (23 FEB),575.1b,-,09:00
5,460.2b,CHF,"Monday, February 26, 2018",,-,Low,CHF Domestic Sight Deposits CHF (23 FEB),462.0b,-,09:00
6,40117,GBP,"Monday, February 26, 2018",37000,u,Medium,GBP BBA Loans for House Purchase (JAN),36085,d,09:30
7,,EUR,"Monday, February 26, 2018",,-,Low,EUR ECB's Coeure speaks in Frankfurt,,-,10:00
8,,USD,"Monday, February 26, 2018",,-,Low,USD Fed's Bullard Speaks on U.S. Economy and Monetary Policy,,-,13:00
9,0.12,USD,"Monday, February 26, 2018",0.25,d,Low,USD Chicago Fed Nat Activity Index (JAN),0.14,d,13:30
10,,EUR,"Monday, February 26, 2018",,-,High,EUR ECB President Draghi speaks in Brussels,,-,14:40
11,593k,USD,"Monday, February 26, 2018",647k,d,Low,USD New Home Sales (JAN),643k,u,15:00
12,-7.8%,USD,"Monday, February 26, 2018",3.5%,d,Medium,USD New Home Sales (MoM) (JAN),-7.6%,u,15:00
13,37.2,USD,"Monday, February 26, 2018",30.0,u,Low,USD Dallas Fed Manufacturing Activity (FEB),33.4,-,15:30
14,,EUR,"Monday, February 26, 2018",,-,Low,EUR Luis de Guindos at hearing for ECB Vice President in Brussels,,-,16:15
15,,USD,"Monday, February 26, 2018",,-,Low,USD U.S. to Sell USD51 Bln 3-Month Bills,,-,16:30
16,,USD,"Monday, February 26, 2018",,-,Low,USD U.S. to Sell USD45 Bln 6-Month Bills,,-,16:30
17,,GBP,"Monday, February 26, 2018",,-,Low,GBP BOE's Cunliffe Speaks at Event at Warwick University,,-,18:00
