,datetime,new_id,forecast_error_diff_deviation,forecast_error_diff_outlier_class,previous_error_diff_deviation,previous_error_diff_outlier_class,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,Low,Medium,year,week,weekday,num_news,volatility_0_5_after,pips_agg_0_5_after,volatility_5_10_after,pips_agg_5_10_after,volatility_10_15_after,pips_agg_10_15_after,volatility_15_20_after,pips_agg_15_20_after,volatility_20_25_after,pips_agg_20_25_after,volatility_25_30_after,pips_agg_25_30_after,volatility_0_30_after,pips_agg_0_30_after,volatility_0_60_after,pips_agg_0_60_after,volatility_60_0_before,pips_agg_60_0_before,pips_agg_0_120_after,direction_agg_0_120_after,direction_agg_0_120_after_predicted
0,2018-10-29 08:30:00,13_50_49,-3.0599999999999996,2,3.1500000000000004,1,1,1,1,1,2,0,0,1,2,2018,44,0,3,5,-3,13,-12,5,-9,4,-10,4,-13,9,-4,14,-12,20,-15,32,-18,-16,0,0
1,2018-10-30 09:00:00,63,-2.04,1,0.0,0,0,0,1,1,0,0,0,1,0,2018,44,1,1,6,1,5,1,4,1,5,-1,5,0,5,1,8,0,14,4,26,19,-4,1,1
2,2018-10-30 10:00:00,4,0.43,0,-7.63,2,0,1,0,0,0,1,1,0,0,2018,44,1,1,9,-2,8,-5,4,-8,5,-9,5,-9,10,-6,17,-9,18,-8,14,3,-13,0,1
3,2018-10-31 08:15:00,0,1.18,1,-1.82,1,0,1,0,0,0,1,0,0,1,2018,44,2,1,9,-4,5,-7,6,-2,6,-7,4,-7,4,-5,10,-7,27,-23,19,5,-26,0,0
4,2018-10-31 08:30:00,20,1.2,1,0.0,0,0,1,0,1,0,0,0,0,1,2018,44,2,1,6,-5,4,-5,4,-3,6,-8,8,-11,9,-19,20,-11,28,-27,16,-8,-23,0,0
5,2018-10-31 09:45:00,8,-0.62,0,0.0,0,0,0,1,1,0,0,0,1,0,2018,44,2,1,3,1,6,7,5,7,7,11,9,4,9,8,15,4,16,-1,25,-20,18,2,1
6,2018-10-31 10:30:00,16,-0.22,1,0.0,0,1,0,0,1,0,0,0,0,1,2018,44,2,1,4,-1,7,-5,4,-3,5,-2,3,-1,5,4,11,-1,34,9,15,4,4,1,1
7,2018-11-01 01:00:00,65,1.28,1,0.0,0,0,1,0,1,0,0,0,1,0,2018,44,3,1,2,-1,1,-2,1,-3,4,-2,2,-3,1,-4,5,-3,7,1,7,-2,3,1,1
8,2018-11-01 08:30:00,67_54_55,-0.32,0,-2.2300000000000004,0,3,0,0,3,0,0,0,3,0,2018,44,3,3,5,-2,6,-6,3,-7,6,-9,6,-14,5,-15,18,-15,18,-11,11,10,10,1,1
9,2018-11-01 09:45:00,27,-2.24,0,-0.43,0,1,0,0,1,0,0,0,1,0,2018,44,3,1,5,3,6,6,5,4,14,11,8,8,8,13,19,8,24,15,11,-4,11,1,2
10,2018-11-01 10:00:00,9_36_37,0.45000000000000007,2,1.07,1,1,1,1,2,1,0,1,2,0,2018,44,3,3,14,7,8,4,8,9,10,18,6,20,6,14,20,19,20,15,23,1,2,1,1
11,2018-11-01 10:30:00,44,-0.79,0,0.0,0,1,0,0,1,0,0,0,1,0,2018,44,3,1,5,-3,5,-3,4,-3,5,2,4,3,4,1,11,2,11,-1,28,20,-14,0,1
12,2018-11-02 08:30:00,66_46_68_1,1.27,1,-0.96,1,3,1,0,3,0,1,3,1,0,2018,44,4,4,18,-14,14,-18,15,-11,9,-9,10,-14,8,-21,31,-13,37,-24,26,-11,-8,1,0
13,2018-11-02 10:00:00,22,0.73,0,1.28,0,0,1,0,0,1,0,0,1,0,2018,44,4,1,5,2,7,4,6,7,6,9,7,12,6,10,15,12,15,1,18,1,-38,0,1
14,2018-11-05 09:45:00,28,-0.16,0,-1.8,0,1,0,0,1,0,0,0,1,0,2018,45,0,1,3,0,7,5,4,4,9,8,5,5,6,9,11,5,13,5,24,19,7,1,1
15,2018-11-05 10:00:00,35_38,-1.07,1,0.0,0,0,1,1,2,0,0,1,1,0,2018,45,0,2,9,4,5,1,6,5,6,1,4,6,4,6,12,5,12,0,22,18,-1,1,1
16,2018-11-06 10:00:00,41,-0.36,0,3.11,2,0,0,1,0,1,0,0,1,0,2018,45,1,1,6,-4,4,-2,4,1,4,2,3,0,3,-1,7,0,10,2,17,-8,-9,1,1
17,2018-11-07 10:30:00,16,-1.57,0,0.0,0,1,0,0,1,0,0,0,0,1,2018,45,2,1,5,-3,5,-4,6,1,13,-12,7,-13,3,-12,17,-13,17,-11,24,8,-25,0,1
