,datetime,new_id,forecast_error_ratio,forecast_error_ratio_zscore,previous_error_ratio,total_error_ratio,total_error_ratio_zscore,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,Low,Medium,num_news,close_0_5_after,low_0_5_after,high_0_5_after,volatility_0_5_after,pips_agg_0_5_after,pips_candle_0_5_after,direction_candle_0_5_after,direction_agg_0_5_after,close_5_10_after,low_5_10_after,high_5_10_after,volatility_5_10_after,pips_agg_5_10_after,pips_candle_5_10_after,direction_candle_5_10_after,direction_agg_5_10_after,close_10_15_after,low_10_15_after,high_10_15_after,volatility_10_15_after,pips_agg_10_15_after,pips_candle_10_15_after,direction_candle_10_15_after,direction_agg_10_15_after,close_5_0_before,low_5_0_before,high_5_0_before,volatility_5_0_before,pips_agg_5_0_before,pips_candle_5_0_before,direction_candle_5_0_before,direction_agg_5_0_before,close_10_5_before,low_10_5_before,high_10_5_before,volatility_10_5_before,pips_agg_10_5_before,pips_candle_10_5_before,direction_candle_10_5_before,direction_agg_10_5_before,close_15_10_before,low_15_10_before,high_15_10_before,volatility_15_10_before,pips_agg_15_10_before,pips_candle_15_10_before,direction_candle_15_10_before,direction_agg_15_10_before,close_20_15_before,low_20_15_before,high_20_15_before,volatility_20_15_before,pips_agg_20_15_before,pips_candle_20_15_before,direction_candle_20_15_before,direction_agg_20_15_before,close_25_20_before,low_25_20_before,high_25_20_before,volatility_25_20_before,pips_agg_25_20_before,pips_candle_25_20_before,direction_candle_25_20_before,direction_agg_25_20_before,close_30_25_before,low_30_25_before,high_30_25_before,volatility_30_25_before,pips_agg_30_25_before,pips_candle_30_25_before,direction_candle_30_25_before,direction_agg_30_25_before,close_45_30_before,low_45_30_before,high_45_30_before,volatility_45_30_before,pips_agg_45_30_before,pips_candle_45_30_before,direction_candle_45_30_before,direction_agg_45_30_before,close_60_45_before,low_60_45_before,high_60_45_before,volatility_60_45_before,pips_agg_60_45_before,pips_candle_60_45_before,direction_candle_60_45_before,direction_agg_60_45_before,close_60_30_before,low_60_30_before,high_60_30_before,volatility_60_30_before,pips_agg_60_30_before,pips_candle_60_30_before,direction_candle_60_30_before,direction_agg_60_30_before,close_90_60_before,low_90_60_before,high_90_60_before,volatility_90_60_before,pips_agg_90_60_before,pips_candle_90_60_before,direction_candle_90_60_before,direction_agg_90_60_before,close_120_90_before,low_120_90_before,high_120_90_before,volatility_120_90_before,pips_agg_120_90_before,pips_candle_120_90_before,direction_candle_120_90_before,direction_agg_120_90_before,close_150_120_before,low_150_120_before,high_150_120_before,volatility_150_120_before,pips_agg_150_120_before,pips_candle_150_120_before,direction_candle_150_120_before,direction_agg_150_120_before,close_180_150_before,low_180_150_before,high_180_150_before,volatility_180_150_before,pips_agg_180_150_before,pips_candle_180_150_before,direction_candle_180_150_before,direction_agg_180_150_before,close_210_180_before,low_210_180_before,high_210_180_before,volatility_210_180_before,pips_agg_210_180_before,pips_candle_210_180_before,direction_candle_210_180_before,direction_agg_210_180_before,close_240_210_before,low_240_210_before,high_240_210_before,volatility_240_210_before,pips_agg_240_210_before,pips_candle_240_210_before,direction_candle_240_210_before,direction_agg_240_210_before,direction_agg_30_60_after,pips_agg_30_60_after
0,2007-01-08 15:00:00,12,127.78,0.0,0.0,127.78,0.0,0,1,0,1,0,0,0,1,0,1,13019,13016,13022,6,1,0,0,0,13017,13016,13020,4,-1,-2,0,0,13019,13013,13022,9,1,1,0,0,13018,13016,13020,4,0,0,0,0,13018,13016,13022,6,0,0,0,0,13018,13015,13020,5,0,-1,0,0,13019,13017,13021,4,-1,-1,0,0,13019,13016,13022,6,-1,3,0,0,13016,13015,13021,6,2,-2,0,0,13016,13014,13021,7,2,-1,0,0,13017,13008,13020,12,1,2,0,0,13016,13008,13021,13,2,1,0,0,13015,13014,13035,21,3,-3,0,0,13018,13018,13031,13,0,-11,-1,0,13029,13014,13034,20,-11,8,1,-1,13021,13019,13031,12,-3,-9,-1,0,13032,13009,13034,25,-14,23,2,-1,13009,13001,13014,13,9,1,0,1,0,1
1,2007-01-09 10:00:00,37,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0,1,0,1,13000,12998,13003,5,0,0,0,0,13002,13000,13007,7,2,1,0,0,13001,12998,13003,5,1,-2,0,0,13000,12995,13004,9,0,1,0,0,12998,12995,13001,6,2,1,0,0,12997,12996,13009,13,3,-10,-1,0,13009,13007,13015,8,-9,-6,-1,-1,13013,13007,13015,8,-13,5,0,-1,13009,13005,13010,5,-9,2,0,-1,13009,13000,13010,10,-9,3,0,-1,13009,13001,13012,11,-9,6,1,-1,13009,13000,13012,12,-9,6,1,-1,13007,13006,13025,19,-7,-15,-1,-1,13022,13013,13028,15,-22,8,1,-2,13016,13006,13019,13,-16,3,0,-1,13013,13009,13023,14,-13,-6,-1,-1,13019,13017,13026,9,-19,-2,0,-1,13024,13024,13037,13,-24,-8,-1,-2,0,-2
2,2007-01-10 08:30:00,68,9.0,0.0,0.0,9.0,0.0,0,3,0,3,0,0,1,0,0,1,12974,12972,12985,13,-10,-7,-1,-1,12968,12966,12973,7,-16,-3,0,-1,12972,12964,12974,10,-12,7,1,-1,12984,12983,12989,6,0,-2,0,0,12986,12982,12987,5,-2,1,0,0,12986,12983,12988,5,-2,-1,0,0,12987,12980,12987,7,-3,3,0,0,12984,12984,12990,6,0,-6,-1,0,12990,12987,12992,5,-6,2,0,-1,12990,12984,12992,8,-6,1,0,-1,12989,12985,12994,9,-5,-5,0,0,12990,12984,12994,10,-6,-4,0,-1,12993,12987,12995,8,-9,-2,0,-1,12995,12991,13000,9,-11,3,0,-1,12995,12986,12996,10,-11,4,0,-1,12993,12990,12996,6,-9,-1,0,-1,12992,12988,13000,12,-8,3,0,-1,12987,12983,12993,10,-3,1,0,0,-1,-14
3,2007-01-10 10:00:00,31,-225.0,0.0,0.0,-225.0,0.0,0,0,1,0,1,0,0,1,0,1,12967,12960,12967,7,6,5,0,1,12949,12948,12966,18,-12,-15,-1,-1,12941,12939,12953,14,-20,-9,-1,-1,12961,12955,12962,7,0,5,0,0,12955,12954,12962,8,6,-7,-1,1,12962,12960,12968,8,-1,-5,0,0,12967,12966,12976,10,-6,-8,-1,-1,12974,12969,12975,6,-13,4,0,-1,12970,12968,12972,4,-9,1,0,-1,12970,12967,12974,7,-9,-1,0,-1,12971,12969,12978,9,-10,-6,-1,-1,12970,12967,12978,11,-9,-7,-1,-1,12977,12963,12980,17,-16,6,1,-1,12974,12972,12990,18,-13,-16,-1,-1,12990,12984,12994,10,-29,-4,0,-2,12993,12987,12995,8,-32,-2,0,-2,12995,12991,13000,9,-34,3,0,-2,12995,12986,12996,10,-34,4,0,-2,-1,-15
4,2007-01-10 10:30:00,18,233.33,0.0,0.0,233.33,0.0,1,0,0,1,0,0,0,1,0,1,12937,12933,12938,5,4,4,0,0,12943,12937,12945,8,10,6,1,1,12943,12941,12946,5,10,-1,0,1,12933,12930,12937,7,0,-3,0,0,12936,12935,12941,6,-3,-2,0,0,12940,12934,12941,7,-7,2,0,-1,12941,12939,12953,14,-8,-9,-1,-1,12949,12948,12966,18,-16,-15,-1,-1,12967,12960,12967,7,-34,5,0,-2,12967,12954,12967,13,-34,5,0,-2,12962,12960,12976,16,-29,-8,-1,-2,12967,12954,12976,22,-34,-3,0,-2,12970,12967,12978,11,-37,-7,-1,-2,12977,12963,12980,17,-44,6,1,-2,12974,12972,12990,18,-41,-16,-1,-2,12990,12984,12994,10,-57,-4,0,-2,12993,12987,12995,8,-60,-2,0,-2,12995,12991,13000,9,-62,3,0,-2,1,9
5,2007-01-11 08:30:00,69,6.56,0.0,0.0,6.56,0.0,0,1,0,1,0,0,0,1,0,1,12980,12978,12989,11,-9,-9,-1,-1,12963,12959,12985,26,-26,-16,-1,-2,12958,12945,12965,20,-31,-4,0,-2,12989,12986,12991,5,0,1,0,0,12988,12982,12989,7,1,3,0,0,12984,12980,12985,5,5,1,0,0,12983,12980,12984,4,6,0,0,1,12983,12980,12985,5,6,-1,0,1,12983,12980,12990,10,6,1,0,1,12983,12978,12995,17,6,-9,-1,1,12988,12971,12990,19,1,16,1,0,12983,12971,12995,24,6,11,1,1,12971,12966,13012,46,18,-10,-1,1,12980,12959,12982,23,9,12,1,1,12968,12961,12970,9,21,3,0,2,12966,12963,12974,11,23,-8,-1,2,12973,12962,12977,15,16,10,1,1,12961,12960,12977,17,28,-8,-1,2,-2,-67
6,2007-01-11 10:30:00,46,8.89,0.0,0.0,8.89,0.0,1,0,0,1,0,0,0,1,0,1,12894,12887,12895,8,0,5,0,0,12891,12888,12895,7,-3,-3,0,0,12890,12889,12892,3,-4,0,0,0,12894,12894,12904,10,0,-8,-1,0,12902,12897,12903,6,-8,2,0,-1,12901,12893,12902,9,-7,6,1,-1,12898,12895,12905,10,-4,-5,0,0,12904,12902,12913,11,-10,-9,-1,-1,12913,12912,12925,13,-19,-11,-1,-1,12913,12912,12933,21,-19,-12,-1,-1,12925,12918,12930,12,-31,3,0,-2,12913,12912,12933,21,-19,-9,-1,-1,12922,12910,12945,35,-28,-13,-1,-2,12935,12927,12985,58,-41,-44,-2,-2,12980,12978,12991,13,-86,-4,0,-2,12983,12971,12995,24,-89,11,1,-2,12971,12966,13012,46,-77,-10,-1,-2,12980,12959,12982,23,-86,12,1,-2,0,5
7,2007-01-12 10:00:00,5,0.0,0.0,0.0,0.0,0.0,2,0,0,0,2,0,0,0,1,1,12925,12925,12942,17,-4,-7,-1,0,12919,12918,12926,8,-10,-6,-1,-1,12924,12919,12927,8,-5,3,0,0,12929,12921,12929,8,0,4,0,0,12926,12920,12930,10,3,-3,0,0,12930,12924,12931,7,-1,6,1,0,12926,12923,12929,6,3,0,0,0,12927,12923,12932,9,2,4,0,0,12921,12915,12921,6,8,3,0,1,12921,12914,12926,12,8,7,1,1,12914,12909,12926,17,15,3,0,1,12921,12909,12926,17,8,10,1,1,12909,12867,12912,45,20,25,2,1,12884,12867,12895,28,45,-4,0,2,12889,12885,12907,22,40,-8,-1,2,12896,12892,12902,10,33,-5,0,2,12901,12897,12910,13,28,-8,-1,2,12908,12902,12910,8,21,3,0,2,0,-1
8,2007-01-12 14:00:00,25,147.66,0.0,0.0,147.66,0.0,0,2,0,2,0,0,0,0,1,1,12913,12909,12915,6,0,-1,0,0,12912,12909,12914,5,-1,-1,0,0,12908,12907,12914,7,-5,-2,0,0,12913,12911,12916,5,0,0,0,0,12915,12912,12916,4,-2,0,0,0,12914,12913,12919,6,-1,-5,0,0,12918,12915,12919,4,-5,0,0,0,12917,12913,12920,7,-4,2,0,0,12914,12913,12917,4,-1,0,0,0,12914,12911,12917,6,-1,-1,0,0,12916,12914,12923,9,-3,-3,0,0,12914,12911,12923,12,-1,-5,0,0,12918,12916,12929,13,-5,-9,-1,0,12928,12919,12931,12,-15,3,0,-1,12925,12917,12930,13,-12,-5,0,-1,12928,12924,12933,9,-15,0,0,-1,12928,12923,12939,16,-15,-9,-1,-1,12937,12918,12941,23,-24,12,1,-2,0,2
9,2007-01-16 08:30:00,21,-98.88,0.0,0.0,-98.88,0.0,0,0,2,2,0,0,0,0,1,1,12957,12946,12957,11,15,10,1,1,12953,12952,12958,6,11,0,0,1,12955,12951,12956,5,13,2,0,1,12942,12939,12945,6,0,1,0,0,12942,12940,12950,10,0,-6,-1,0,12950,12950,12954,4,-8,-2,0,-1,12952,12951,12959,8,-10,-6,-1,-1,12958,12958,12964,6,-16,-6,-1,-1,12965,12959,12966,7,-23,5,0,-2,12965,12958,12966,8,-23,2,0,-2,12963,12959,12967,8,-21,-1,0,-2,12965,12958,12967,9,-23,1,0,-2,12966,12963,12974,11,-24,-3,0,-2,12969,12968,12981,13,-27,-4,0,-2,12974,12970,12977,7,-32,1,0,-2,12972,12969,12983,14,-30,-11,-1,-2,12983,12960,12988,28,-41,21,2,-2,12962,12962,12977,15,-20,-8,-1,-1,0,-2
