,datetime,new_id,forecast_error_ratio,forecast_error_ratio_zscore,previous_error_ratio,total_error_ratio,total_error_ratio_zscore,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,num_news,close_0_5_after,low_0_5_after,high_0_5_after,volatility_0_5_after,pips_agg_0_5_after,pips_candle_0_5_after,direction_candle_0_5_after,direction_agg_0_5_after,close_5_10_after,low_5_10_after,high_5_10_after,volatility_5_10_after,pips_agg_5_10_after,pips_candle_5_10_after,direction_candle_5_10_after,direction_agg_5_10_after,close_10_15_after,low_10_15_after,high_10_15_after,volatility_10_15_after,pips_agg_10_15_after,pips_candle_10_15_after,direction_candle_10_15_after,direction_agg_10_15_after,close_5_0_before,low_5_0_before,high_5_0_before,volatility_5_0_before,pips_agg_5_0_before,pips_candle_5_0_before,direction_candle_5_0_before,direction_agg_5_0_before,close_10_5_before,low_10_5_before,high_10_5_before,volatility_10_5_before,pips_agg_10_5_before,pips_candle_10_5_before,direction_candle_10_5_before,direction_agg_10_5_before,close_15_10_before,low_15_10_before,high_15_10_before,volatility_15_10_before,pips_agg_15_10_before,pips_candle_15_10_before,direction_candle_15_10_before,direction_agg_15_10_before,close_20_15_before,low_20_15_before,high_20_15_before,volatility_20_15_before,pips_agg_20_15_before,pips_candle_20_15_before,direction_candle_20_15_before,direction_agg_20_15_before,close_25_20_before,low_25_20_before,high_25_20_before,volatility_25_20_before,pips_agg_25_20_before,pips_candle_25_20_before,direction_candle_25_20_before,direction_agg_25_20_before,close_30_25_before,low_30_25_before,high_30_25_before,volatility_30_25_before,pips_agg_30_25_before,pips_candle_30_25_before,direction_candle_30_25_before,direction_agg_30_25_before,close_45_30_before,low_45_30_before,high_45_30_before,volatility_45_30_before,pips_agg_45_30_before,pips_candle_45_30_before,direction_candle_45_30_before,direction_agg_45_30_before,close_60_45_before,low_60_45_before,high_60_45_before,volatility_60_45_before,pips_agg_60_45_before,pips_candle_60_45_before,direction_candle_60_45_before,direction_agg_60_45_before,close_60_30_before,low_60_30_before,high_60_30_before,volatility_60_30_before,pips_agg_60_30_before,pips_candle_60_30_before,direction_candle_60_30_before,direction_agg_60_30_before,close_90_60_before,low_90_60_before,high_90_60_before,volatility_90_60_before,pips_agg_90_60_before,pips_candle_90_60_before,direction_candle_90_60_before,direction_agg_90_60_before,close_120_90_before,low_120_90_before,high_120_90_before,volatility_120_90_before,pips_agg_120_90_before,pips_candle_120_90_before,direction_candle_120_90_before,direction_agg_120_90_before,close_150_120_before,low_150_120_before,high_150_120_before,volatility_150_120_before,pips_agg_150_120_before,pips_candle_150_120_before,direction_candle_150_120_before,direction_agg_150_120_before,close_180_150_before,low_180_150_before,high_180_150_before,volatility_180_150_before,pips_agg_180_150_before,pips_candle_180_150_before,direction_candle_180_150_before,direction_agg_180_150_before,close_210_180_before,low_210_180_before,high_210_180_before,volatility_210_180_before,pips_agg_210_180_before,pips_candle_210_180_before,direction_candle_210_180_before,direction_agg_210_180_before,close_240_210_before,low_240_210_before,high_240_210_before,volatility_240_210_before,pips_agg_240_210_before,pips_candle_240_210_before,direction_candle_240_210_before,direction_agg_240_210_before,direction_agg_30_60_after,pips_agg_30_60_after
0,2007-01-10 08:30:00,31,3.0,0.0,0.0,3.0,0.0,0,1,0,1,0,0,1,1,12974,12972,12985,13,-10,-7,-1,-1,12968,12966,12973,7,-16,-3,0,-1,12972,12964,12974,10,-12,7,1,-1,12984,12983,12989,6,0,-2,0,0,12986,12982,12987,5,-2,1,0,0,12986,12983,12988,5,-2,-1,0,0,12987,12980,12987,7,-3,3,0,0,12984,12984,12990,6,0,-6,-1,0,12990,12987,12992,5,-6,2,0,-1,12990,12984,12992,8,-6,1,0,-1,12989,12985,12994,9,-5,-5,0,0,12990,12984,12994,10,-6,-4,0,-1,12993,12987,12995,8,-9,-2,0,-1,12995,12991,13000,9,-11,3,0,-1,12995,12986,12996,10,-11,4,0,-1,12993,12990,12996,6,-9,-1,0,-1,12992,12988,13000,12,-8,3,0,-1,12987,12983,12993,10,-3,1,0,0,-1,-14
1,2007-01-12 08:30:00,10_29,150.0,0.0,0.0,150.0,0.0,0,2,0,2,0,0,2,2,12884,12867,12890,23,-4,-3,0,0,12876,12875,12886,11,-12,-8,-1,-1,12867,12867,12877,10,-21,-9,-1,-2,12888,12885,12891,6,0,-1,0,0,12890,12889,12895,6,-2,-3,0,0,12893,12889,12894,5,-5,2,0,0,12892,12889,12893,4,-4,2,0,0,12890,12886,12891,5,-2,2,0,0,12889,12886,12891,5,-1,1,0,0,12889,12885,12897,12,-1,-7,-1,0,12897,12895,12907,12,-9,0,0,-1,12889,12885,12907,22,-1,-8,-1,0,12896,12892,12902,10,-8,-5,0,-1,12901,12897,12910,13,-13,-8,-1,-1,12908,12902,12910,8,-20,3,0,-1,12905,12898,12910,12,-17,-1,0,-1,12906,12902,12913,11,-18,-4,0,-1,12909,12902,12912,10,-21,4,0,-2,2,33
2,2007-01-17 08:30:00,23,50.0,0.0,0.0,50.0,0.0,0,1,0,1,0,0,1,1,12905,12897,12910,13,-6,-5,0,-1,12907,12905,12911,6,-4,1,0,0,12915,12908,12915,7,4,7,1,0,12911,12910,12917,7,0,-5,0,0,12916,12911,12917,6,-5,4,0,0,12913,12906,12913,7,-2,5,0,0,12908,12902,12909,7,3,2,0,0,12905,12905,12912,7,6,-7,-1,1,12912,12911,12918,7,-1,-5,0,0,12912,12911,12920,9,-1,-6,-1,0,12916,12913,12922,9,-5,-4,0,0,12912,12911,12922,11,-1,-8,-1,0,12920,12911,12922,11,-9,6,1,-1,12915,12913,12924,11,-4,-6,-1,0,12919,12915,12928,13,-8,-3,0,-1,12922,12911,12926,15,-11,-3,0,-1,12924,12922,12931,9,-13,-3,0,-1,12926,12919,12927,8,-15,2,0,-1,1,9
3,2007-01-17 09:00:00,30,-17.09,0.0,0.0,-17.09,0.0,0,0,1,0,1,0,1,1,12917,12916,12928,12,3,-3,0,0,12916,12914,12919,5,2,-1,0,0,12909,12908,12917,9,-5,-7,-1,0,12914,12910,12915,5,0,2,0,0,12913,12912,12919,7,1,-6,-1,0,12918,12914,12921,7,-4,3,0,0,12915,12908,12915,7,-1,7,1,0,12907,12905,12911,6,7,1,0,1,12905,12897,12910,13,9,-5,0,1,12905,12897,12917,20,9,-7,-1,1,12913,12902,12913,11,1,1,0,0,12905,12897,12917,20,9,-7,-1,1,12912,12911,12922,11,2,-8,-1,0,12920,12911,12922,11,-6,6,1,-1,12915,12913,12924,11,-1,-6,-1,0,12919,12915,12928,13,-5,-3,0,0,12922,12911,12926,15,-8,-3,0,-1,12924,12922,12931,9,-10,-3,0,-1,1,13
4,2007-01-18 08:30:00,7,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,1,1,12904,12904,12923,19,-20,-12,-1,-1,12908,12897,12909,12,-16,7,1,-1,12912,12905,12912,7,-12,3,0,-1,12924,12921,12927,6,0,1,0,0,12923,12921,12925,4,1,1,0,0,12924,12920,12925,5,0,2,0,0,12921,12918,12922,4,3,1,0,0,12921,12919,12923,4,3,-2,0,0,12923,12920,12923,3,1,1,0,0,12923,12918,12924,6,1,2,0,0,12922,12917,12927,10,2,2,0,0,12923,12917,12927,10,1,3,0,0,12918,12914,12930,16,6,-11,-1,1,12930,12929,12945,16,-6,-12,-1,-1,12942,12938,12947,9,-18,-2,0,-1,12944,12932,12945,13,-20,9,1,-1,12934,12932,12952,20,-10,-16,-1,-1,12951,12945,12956,11,-27,2,0,-2,2,30
5,2007-01-19 10:00:00,28,5.95,0.0,0.0,5.95,0.0,0,1,0,0,1,0,1,1,12930,12924,12934,10,-5,-2,0,0,12927,12921,12931,10,-8,-3,0,-1,12926,12924,12930,6,-9,-2,0,-1,12935,12934,12940,6,0,-4,0,0,12940,12938,12940,2,-5,0,0,0,12940,12938,12943,5,-5,-1,0,0,12943,12941,12945,4,-8,-1,0,-1,12944,12939,12946,7,-9,1,0,-1,12942,12941,12944,3,-7,-1,0,-1,12942,12938,12945,7,-7,1,0,-1,12941,12934,12947,13,-6,-6,-1,-1,12942,12934,12947,13,-7,-5,0,-1,12949,12946,12960,14,-14,-9,-1,-1,12958,12955,12965,10,-23,-5,0,-2,12964,12956,12965,9,-29,6,1,-2,12959,12955,12962,7,-24,3,0,-2,12955,12953,12964,11,-20,-3,0,-1,12958,12953,12961,8,-23,-1,0,-2,1,9
6,2007-01-25 10:00:00,14,-0.48,0.0,0.0,-0.48,0.0,0,0,1,1,0,0,1,1,12978,12974,12982,8,-2,-1,0,0,12969,12968,12981,13,-11,-11,-1,-1,12970,12968,12974,6,-10,-2,0,-1,12980,12980,12990,10,0,-6,-1,0,12986,12975,12987,12,-6,11,1,-1,12977,12970,12978,8,3,7,1,0,12971,12966,12974,8,9,-2,0,1,12973,12972,12975,3,7,0,0,1,12973,12970,12975,5,7,1,0,1,12973,12965,12975,10,7,5,0,1,12967,12965,12976,11,13,-3,0,1,12973,12965,12976,11,7,3,0,1,12972,12971,12990,19,8,-14,-1,1,12986,12973,12987,14,-6,13,1,-1,12974,12971,12983,12,6,-8,-1,1,12984,12978,12990,12,-4,-5,0,0,12989,12977,12993,16,-9,6,1,-1,12981,12980,12995,15,-1,-7,-1,0,-1,-6
7,2007-01-26 08:30:00,8,360.0,0.0,0.0,360.0,0.0,0,1,0,1,0,0,1,1,12894,12883,12903,20,-8,-1,0,-1,12903,12893,12905,12,1,10,1,0,12898,12898,12905,7,-4,-6,-1,0,12902,12901,12906,5,0,-2,0,0,12904,12897,12904,7,-2,5,0,0,12898,12895,12902,7,4,-2,0,0,12901,12900,12903,3,1,-1,0,0,12904,12902,12905,3,-2,0,0,0,12905,12901,12906,5,-3,1,0,0,12905,12893,12906,13,-3,8,1,0,12896,12892,12899,7,6,-2,0,1,12905,12892,12906,14,-3,7,1,0,12897,12896,12908,12,5,-1,0,0,12898,12889,12904,15,4,-4,0,0,12902,12898,12910,12,0,-4,0,0,12905,12902,12917,15,-3,-11,-1,0,12916,12916,12925,9,-14,-5,0,-1,12922,12919,12926,7,-20,0,0,-1,1,7
8,2007-01-26 10:00:00,21,6.67,0.0,0.0,6.67,0.0,0,1,0,0,1,0,1,1,12897,12881,12900,19,3,6,1,0,12896,12894,12900,6,2,-2,0,0,12893,12892,12898,6,-1,-4,0,0,12894,12887,12897,10,0,6,1,0,12889,12888,12896,8,5,-6,-1,0,12896,12894,12898,4,-2,0,0,0,12896,12896,12903,7,-2,-5,0,0,12902,12902,12910,8,-8,-8,-1,-1,12909,12907,12911,4,-15,0,0,-1,12909,12907,12913,6,-15,1,0,-1,12909,12907,12917,10,-15,-6,-1,-1,12909,12907,12917,10,-15,-6,-1,-1,12917,12892,12921,29,-23,24,2,-2,12894,12883,12906,23,0,-10,-1,0,12905,12892,12906,14,-11,7,1,-1,12897,12896,12908,12,-3,-1,0,0,12898,12889,12904,15,-4,-4,0,0,12902,12898,12910,12,-8,-4,0,-1,1,9
9,2007-01-30 10:00:00,4,0.18,0.0,0.0,0.18,0.0,1,0,0,0,1,0,1,1,12956,12950,12957,7,6,5,0,1,12954,12953,12958,5,4,-2,0,0,12960,12956,12961,5,10,3,0,1,12950,12950,12955,5,0,-4,0,0,12954,12954,12957,3,-4,-3,0,0,12956,12954,12960,6,-6,-3,0,-1,12960,12958,12963,5,-10,-2,0,-1,12961,12955,12962,7,-11,4,0,-1,12957,12956,12959,3,-7,0,0,-1,12957,12956,12963,7,-7,-3,0,-1,12959,12955,12966,11,-9,-1,0,-1,12957,12955,12966,11,-7,-3,0,-1,12961,12959,12977,18,-11,-6,-1,-1,12966,12962,12974,12,-16,-6,-1,-1,12973,12956,12980,24,-23,15,1,-2,12959,12952,12961,9,-9,2,0,-1,12958,12950,12960,10,-8,7,1,-1,12952,12950,12957,7,-2,0,0,0,1,8
