datetime_gmt,actual,country,datetime,forecast,forecast_error,impact,new,previous,previous_error,week,forecast_error_diff,year,quarter,month,weekday,volatility_60_0_before,pips_agg_60_0_before,volatility_0_45_after,pips_agg_0_45_after,volatility_0_60_after,pips_agg_0_60_after,volatility_0_90_after,pips_agg_0_90_after,volatility_0_120_after,pips_agg_0_120_after,volatility_0_150_after,pips_agg_0_150_after,volatility_0_180_after,pips_agg_0_180_after,volatility_0_210_after,pips_agg_0_210_after,volatility_0_240_after,pips_agg_0_240_after,open_released,high_released,low_released,close_released,high_0_5_after,low_0_5_after,close_0_5_after,volatility_0_5_after,direction_candle_0_5_after,direction_agg_0_5_after,pips_agg_0_5_after,pips_candle_0_5_after,high_5_10_after,low_5_10_after,close_5_10_after,volatility_5_10_after,direction_candle_5_10_after,direction_agg_5_10_after,pips_agg_5_10_after,pips_candle_5_10_after,high_10_15_after,low_10_15_after,close_10_15_after,volatility_10_15_after,direction_candle_10_15_after,direction_agg_10_15_after,pips_agg_10_15_after,pips_candle_10_15_after,high_15_20_after,low_15_20_after,close_15_20_after,volatility_15_20_after,direction_candle_15_20_after,direction_agg_15_20_after,pips_agg_15_20_after,pips_candle_15_20_after,high_20_25_after,low_20_25_after,close_20_25_after,volatility_20_25_after,direction_candle_20_25_after,direction_agg_20_25_after,pips_agg_20_25_after,pips_candle_20_25_after,high_25_30_after,low_25_30_after,close_25_30_after,volatility_25_30_after,direction_candle_25_30_after,direction_agg_25_30_after,pips_agg_25_30_after,pips_candle_25_30_after,previous_value,previous_error_diff,total_error_diff,forecast_error_diff_mean,forecast_error_diff_std,forecast_error_diff_zscore,forecast_error_diff_upper_quantile,forecast_error_diff_lower_quantile,forecast_error_diff_oulier_class,previous_error_diff_mean,previous_error_diff_std,previous_error_diff_zscore,previous_error_diff_upper_quantile,previous_error_diff_lower_quantile,previous_error_diff_oulier_class,total_error_diff_mean,total_error_diff_std,total_error_diff_zscore,total_error_diff_upper_quantile,total_error_diff_lower_quantile,total_error_diff_oulier_class
2015-01-02 14:45:00+00:00,53.9,USD,2015-01-02 09:45:00,54.1,accurate,Low,Final Manufacturing PMI,53.7,accurate,1,-0.2,2015,1,1,4,28,-17,22,5,22,8,22,10,22,4,27,-8,28,-11,28,-7,28,-3,12014,12018,12009,12016,12018,12010,12014,8,0,0,-2,-3,12021,12013,12019,8,0,0,3,5,12019,12014,12015,5,0,0,-1,-4,12029,12015,12015,14,0,0,-1,0,12029,12013,12028,16,1,1,12,13,12032,12021,12021,11,0,0,5,-7,53.7,0.0,-0.2,-0.2,-0.2,0.0,-0.2,-0.2,0,0.0,0.0,0.0,0.0,0.0,0,-0.2,-0.2,0.0,-0.2,-0.2,0
2015-02-02 14:45:00+00:00,53.9,USD,2015-02-02 09:45:00,54.1,accurate,Low,Final Manufacturing PMI,53.7,accurate,6,-0.2,2015,1,2,0,27,12,38,15,38,29,38,15,38,6,38,16,38,9,38,10,38,14,11325,11328,11324,11327,11336,11324,11335,12,0,0,8,8,11338,11331,11331,7,0,0,4,-4,11343,11331,11342,12,1,1,15,11,11360,11339,11353,21,1,2,26,11,11362,11347,11347,15,0,1,20,-6,11359,11347,11356,12,0,2,29,9,53.9,-0.2,-0.4,-0.2,0.0,0.0,-0.2,-0.2,0,-0.1,0.14142135623730953,-0.71,-0.2,-0.2,0,-0.30000000000000004,0.14142135623730953,-0.71,-0.4,-0.4,0
2015-03-02 14:45:00+00:00,55.1,USD,2015-03-02 09:45:00,54.3,better,Low,Final Manufacturing PMI,54.3,accurate,10,0.8,2015,1,3,0,20,11,37,-33,42,-34,42,-35,51,-42,54,-44,54,-48,55,-47,55,-41,11226,11235,11226,11228,11231,11224,11227,7,0,0,-1,-1,11228,11216,11219,12,0,0,-9,-8,11221,11215,11215,6,0,-1,-13,-4,11218,11208,11215,10,0,-1,-13,0,11215,11208,11209,7,0,-1,-19,-6,11211,11198,11201,13,0,-2,-27,-8,53.9,0.4,1.2000000000000002,0.13333333333333333,0.5773502691896257,1.15,0.8,0.8,0,0.06666666666666667,0.30550504633038933,1.09,0.4,0.4,0,0.20000000000000004,0.8717797887081349,1.15,1.2000000000000002,1.2000000000000002,0
2015-04-01 13:45:00+00:00,55.7,USD,2015-04-01 09:45:00,55.3,better,Low,Final Manufacturing PMI,55.3,accurate,14,0.4,2015,2,4,2,40,-19,56,15,68,26,68,11,68,17,68,11,68,27,68,24,68,14,10763,10765,10750,10756,10756,10744,10751,12,0,0,-5,-4,10755,10745,10748,10,0,0,-8,-3,10749,10741,10743,8,0,-1,-13,-5,10757,10727,10738,30,0,-1,-18,-6,10746,10735,10744,11,0,-1,-12,6,10762,10743,10760,19,1,0,4,16,55.1,0.2,0.6000000000000001,0.2,0.4898979485566356,0.41,0.4,0.4,0,0.1,0.2581988897471611,0.39,0.2,0.2,0,0.30000000000000004,0.7393691004272946,0.41,0.6000000000000001,0.6000000000000001,0
2015-05-01 13:45:00+00:00,54.1,USD,2015-05-01 09:45:00,54.2,accurate,Low,Final Manufacturing PMI,54.2,accurate,18,-0.1,2015,2,5,4,20,-2,81,-33,81,-30,92,-45,106,-53,106,-63,106,-53,115,-63,115,-59,11247,11256,11244,11250,11255,11248,11252,7,0,0,2,2,11261,11251,11261,10,0,1,11,9,11276,11261,11271,15,1,2,21,10,11290,11231,11231,59,-2,-1,-19,-42,11242,11225,11233,17,0,-1,-17,2,11241,11227,11232,14,0,-1,-18,-2,55.7,-1.5,-1.6,0.14,0.44497190922573976,-0.54,-0.1,-0.1,0,-0.22000000000000003,0.7496665925596526,-1.71,-1.5,-1.5,0,-0.07999999999999999,1.063954886261631,-1.43,-1.6,-1.6,0
2015-06-01 13:45:00+00:00,54.0,USD,2015-06-01 09:45:00,54.2,accurate,Low,Final Manufacturing PMI,53.8,accurate,23,-0.2,2015,2,6,0,37,23,72,-57,74,-64,85,-81,85,-66,85,-56,85,-62,85,-44,85,-39,10971,10975,10967,10971,10972,10965,10968,7,0,0,-3,-3,10971,10966,10967,5,0,0,-4,-1,10972,10965,10970,7,0,0,-1,3,10970,10929,10935,41,-2,-2,-36,-35,10940,10925,10934,15,0,-2,-37,-1,10935,10913,10914,22,-1,-2,-57,-20,54.1,-0.3,-0.5,0.13999999999999999,0.44497190922573976,-0.76,0.4,-0.2,0,-0.28,0.7395944834840239,-0.03,0.2,-0.2,0,-0.13999999999999999,1.0807404868885038,-0.33,0.6000000000000001,-0.4,0
2015-07-01 13:45:00+00:00,53.6,USD,2015-07-01 09:45:00,53.4,accurate,Low,Final Manufacturing PMI,53.4,accurate,27,0.2,2015,3,7,2,37,-15,27,4,35,12,52,12,52,10,52,-1,52,2,52,-8,56,-16,11079,11080,11073,11076,11076,11069,11073,7,0,0,-3,-3,11073,11064,11068,9,0,0,-8,-5,11073,11067,11069,6,0,0,-7,1,11072,11060,11068,12,0,0,-8,-1,11068,11059,11064,9,0,-1,-12,-4,11075,11064,11065,11,0,-1,-11,1,54.0,-0.6,-0.39999999999999997,0.21999999999999997,0.40249223594996214,-0.05,0.15000000000000002,-0.2,0,-0.36,0.7503332592921629,-0.32,0.1,-0.25,0,-0.13999999999999996,1.0807404868885038,-0.24,0.20000000000000004,-0.45,0
2015-08-03 13:45:00+00:00,53.8,USD,2015-08-03 09:45:00,53.8,accurate,Low,Final Manufacturing PMI,53.8,accurate,32,0.0,2015,3,8,0,31,23,17,4,21,7,24,-9,29,-14,35,-16,42,-23,42,-20,42,-16,10980,10981,10975,10977,10980,10974,10978,6,0,0,1,1,10982,10974,10975,8,0,0,-2,-3,10976,10971,10974,5,0,0,-3,-1,10977,10967,10973,10,0,0,-4,-1,10977,10969,10973,8,0,0,-4,1,10978,10971,10976,7,0,0,-1,3,53.6,0.2,0.2,0.05999999999999996,0.24083189157584575,-0.25,0.30000000000000004,-0.2,0,-0.4,0.7035623639735146,0.85,0.1,-0.44999999999999996,0,-0.33999999999999997,0.835463942968217,0.65,0.20000000000000004,-0.45,0
2015-09-01 13:45:00+00:00,53.0,USD,2015-09-01 09:45:00,52.9,accurate,Low,Final Manufacturing PMI,52.9,accurate,36,0.1,2015,3,9,1,33,-6,41,16,46,1,46,9,46,11,46,20,46,23,66,49,69,48,11249,11254,11246,11246,11249,11243,11244,6,0,0,-2,-2,11252,11243,11249,9,0,0,3,5,11260,11248,11255,12,0,0,9,6,11281,11255,11279,26,2,2,33,23,11279,11251,11251,28,-2,0,5,-28,11255,11245,11254,10,0,0,8,3,53.8,-0.9,-0.8,-4.4408920985006264e-17,0.1581138830084187,0.63,0.30000000000000004,-0.2,0,-0.62,0.6379655163094633,-0.44,0.2,-0.44999999999999996,0,-0.62,0.6572670690061995,-0.27,0.4,-0.45,0
2015-10-01 13:45:00+00:00,53.1,USD,2015-10-01 09:45:00,53.0,accurate,Low,Final Manufacturing PMI,53.0,accurate,40,0.1,2015,4,10,3,32,24,23,9,23,10,26,19,26,9,26,22,26,6,26,15,26,10,11182,11184,11181,11183,11189,11183,11185,6,0,0,2,2,11188,11185,11187,3,0,0,4,2,11197,11186,11197,11,1,1,14,10,11200,11190,11198,10,0,1,15,1,11206,11189,11189,17,-1,0,6,-10,11194,11186,11192,8,0,0,9,2,53.0,0.0,0.1,0.03999999999999996,0.15165750888103074,0.4,0.2,-0.2,0,-0.32,0.44384682042344314,0.72,0.2,-0.6,0,-0.27999999999999997,0.42071367935925263,0.9,0.2,-0.5,0
