actual,country,datetime,forecast,forecast_error,impact,new,previous,previous_error,week,datetime_gmt,prediction_error,year,quarter,month,day_name
-18.0%,USD,2008-12-30 09:00:00,-17.8%,worse,Low,S&P/CS Composite-20 HPI y/y,-17.4%,accurate,52,2008-12-30 14:00:00+00:00,1.12,2008,4,12,Tuesday
34.1,USD,2008-12-30 09:45:00,33.0,better,Medium,Chicago PMI,33.8,accurate,52,2008-12-30 14:45:00+00:00,-3.33,2008,4,12,Tuesday
38.0,USD,2008-12-30 10:00:00,45.2,worse,High,CB Consumer Confidence,44.7,accurate,52,2008-12-30 15:00:00+00:00,15.93,2008,4,12,Tuesday
492K,USD,2008-12-31 08:30:00,575K,better,High,Unemployment Claims,586K,accurate,52,2008-12-31 13:30:00+00:00,14.43,2008,4,12,Wednesday
0.5M,USD,2008-12-31 10:35:00,-1.4M,accurate,Medium,Crude Oil Inventories,-3.1M,accurate,52,2008-12-31 15:35:00+00:00,-135.71,2008,4,12,Wednesday
-143B,USD,2008-12-31 12:00:00,-151B,accurate,Low,Natural Gas Storage,-147B,accurate,52,2008-12-31 17:00:00+00:00,-5.3,2008,4,12,Wednesday
-0.5%,USD,2008-12-23 08:30:00,-0.5%,accurate,Medium,Final GDP q/q,-0.5%,accurate,52,2008-12-23 13:30:00+00:00,0.0,2008,4,12,Tuesday
3.9%,USD,2008-12-23 08:30:00,4.2%,worse,Low,Final GDP Price Index q/q,4.2%,accurate,52,2008-12-23 13:30:00+00:00,7.14,2008,4,12,Tuesday
60.1,USD,2008-12-23 09:55:00,58.5,better,Medium,Revised UoM Consumer Sentiment,59.1,accurate,52,2008-12-23 14:55:00+00:00,-2.74,2008,4,12,Tuesday
4.49M,USD,2008-12-23 10:00:00,4.90M,worse,High,Existing Home Sales,4.91M,worse,52,2008-12-23 15:00:00+00:00,8.37,2008,4,12,Tuesday
407K,USD,2008-12-23 10:00:00,417K,worse,High,New Home Sales,419K,worse,52,2008-12-23 15:00:00+00:00,2.4,2008,4,12,Tuesday
-55,USD,2008-12-23 10:00:00,-40,worse,Low,Richmond Manufacturing Index,-38,accurate,52,2008-12-23 15:00:00+00:00,37.5,2008,4,12,Tuesday
-1.1%,USD,2008-12-23 10:02:00,-1.3%,better,Low,HPI m/m,-1.3%,accurate,52,2008-12-23 15:00:00+00:00,-15.38,2008,4,12,Tuesday
1.2%,USD,2008-12-24 08:30:00,-3.0%,better,High,Core Durable Goods Orders m/m,-6.8%,worse,52,2008-12-24 13:30:00+00:00,-140.0,2008,4,12,Wednesday
586K,USD,2008-12-24 08:30:00,552K,worse,High,Unemployment Claims,556K,accurate,52,2008-12-24 13:30:00+00:00,-6.16,2008,4,12,Wednesday
0.0%,USD,2008-12-24 08:30:00,0.0%,accurate,Medium,Core PCE Price Index m/m,0.0%,accurate,52,2008-12-24 13:30:00+00:00,0.0,2008,4,12,Wednesday
-1.0%,USD,2008-12-24 08:30:00,-3.2%,better,Medium,Durable Goods Orders m/m,-8.4%,worse,52,2008-12-24 13:30:00+00:00,-68.75,2008,4,12,Wednesday
-0.6%,USD,2008-12-24 08:30:00,-0.8%,better,Medium,Personal Spending m/m,-1.0%,accurate,52,2008-12-24 13:30:00+00:00,-25.0,2008,4,12,Wednesday
-0.2%,USD,2008-12-24 08:30:00,0.1%,worse,Low,Personal Income m/m,0.1%,worse,52,2008-12-24 13:30:00+00:00,300.0,2008,4,12,Wednesday
-3.1M,USD,2008-12-24 10:35:00,0.4M,accurate,Medium,Crude Oil Inventories,0.5M,accurate,52,2008-12-24 15:35:00+00:00,875.0,2008,4,12,Wednesday
-147B,USD,2008-12-24 12:00:00,-139B,accurate,Low,Natural Gas Storage,-124B,accurate,52,2008-12-24 17:00:00+00:00,5.76,2008,4,12,Wednesday
-25.8,USD,2008-12-15 08:30:00,-27.0,better,Medium,Empire State Manufacturing Index,-25.4,accurate,51,2008-12-15 13:30:00+00:00,-4.44,2008,4,12,Monday
1.5B,USD,2008-12-15 09:00:00,40.0B,worse,High,TIC Long-Term Purchases,65.4B,accurate,51,2008-12-15 14:00:00+00:00,96.25,2008,4,12,Monday
75.4%,USD,2008-12-15 09:15:00,75.5%,accurate,Medium,Capacity Utilization Rate,76.0%,worse,51,2008-12-15 14:15:00+00:00,0.13,2008,4,12,Monday
-0.6%,USD,2008-12-15 09:15:00,-0.7%,better,Medium,Industrial Production m/m,1.5%,better,51,2008-12-15 14:15:00+00:00,-14.29,2008,4,12,Monday
9,USD,2008-12-15 13:00:00,9,accurate,Low,NAHB Housing Market Index,9,accurate,51,2008-12-15 18:00:00+00:00,0.0,2008,4,12,Monday
0.62M,USD,2008-12-16 08:30:00,0.70M,worse,High,Building Permits,0.73M,accurate,51,2008-12-16 13:30:00+00:00,11.43,2008,4,12,Tuesday
0.0%,USD,2008-12-16 08:30:00,0.1%,worse,High,Core CPI m/m,-0.1%,accurate,51,2008-12-16 13:30:00+00:00,100.0,2008,4,12,Tuesday
-1.7%,USD,2008-12-16 08:30:00,-1.2%,worse,Medium,CPI m/m,-1.0%,accurate,51,2008-12-16 13:30:00+00:00,41.67,2008,4,12,Tuesday
0.63M,USD,2008-12-16 08:30:00,0.74M,worse,Medium,Housing Starts,0.77M,accurate,51,2008-12-16 13:30:00+00:00,14.86,2008,4,12,Tuesday
<0.25%,USD,2008-12-16 14:21:00,0.50%,worse,High,Federal Funds Rate,1.00%,accurate,51,2008-12-16 19:20:00+00:00,50.0,2008,4,12,Tuesday
-174B,USD,2008-12-17 08:30:00,-180B,better,Medium,Current Account,-181B,accurate,51,2008-12-17 13:30:00+00:00,-3.33,2008,4,12,Wednesday
0.5M,USD,2008-12-17 10:35:00,0.3M,accurate,Medium,Crude Oil Inventories,0.4M,accurate,51,2008-12-17 15:35:00+00:00,-66.67,2008,4,12,Wednesday
554K,USD,2008-12-18 08:30:00,558K,accurate,High,Unemployment Claims,575K,accurate,51,2008-12-18 13:30:00+00:00,0.72,2008,4,12,Thursday
-32.9,USD,2008-12-18 10:00:00,-40.0,better,Medium,Philly Fed Manufacturing Index,-39.3,accurate,51,2008-12-18 15:00:00+00:00,-17.75,2008,4,12,Thursday
-0.4%,USD,2008-12-18 10:00:00,-0.5%,better,Low,CB Leading Index m/m,-0.9%,worse,51,2008-12-18 15:00:00+00:00,-20.0,2008,4,12,Thursday
-124B,USD,2008-12-18 10:35:00,-112B,accurate,Low,Natural Gas Storage,-67B,accurate,51,2008-12-18 15:35:00+00:00,10.71,2008,4,12,Thursday
-0.7%,USD,2008-12-09 10:00:00,-3.2%,better,High,Pending Home Sales m/m,-4.3%,better,50,2008-12-09 15:00:00+00:00,-78.12,2008,4,12,Tuesday
45.0,USD,2008-12-09 10:00:00,45.0,accurate,Low,IBD/TIPP Economic Optimism,50.8,accurate,50,2008-12-09 15:00:00+00:00,0.0,2008,4,12,Tuesday
-1.1%,USD,2008-12-10 10:00:00,-0.2%,better,Low,Final Wholesale Inventories m/m,-0.4%,better,50,2008-12-10 15:00:00+00:00,450.0,2008,4,12,Wednesday
