actual,country,datetime,forecast,forecast_error,impact,new,previous,previous_error,week,datetime_gmt,forecast_error_ratio,year,quarter,month,day_name
-3.4%,USD,2011-12-27 09:00:00,-3.2%,worse,Medium,S&P/CS Composite-20 HPI y/y,-3.5%,accurate,52,2011-12-27 14:00:00+00:00,-6.25,2011,4,12,Tuesday
3,USD,2011-12-27 09:59:00,6,worse,Low,Richmond Manufacturing Index,0,accurate,52,2011-12-27 14:59:00+00:00,-50.0,2011,4,12,Tuesday
64.5,USD,2011-12-27 10:00:00,58.5,better,High,CB Consumer Confidence,55.2,worse,52,2011-12-27 15:00:00+00:00,10.26,2011,4,12,Tuesday
381K,USD,2011-12-29 08:30:00,372K,worse,High,Unemployment Claims,366K,accurate,52,2011-12-29 13:30:00+00:00,2.42,2011,4,12,Thursday
62.5,USD,2011-12-29 09:45:00,60.4,better,Medium,Chicago PMI,62.6,accurate,52,2011-12-29 14:45:00+00:00,3.48,2011,4,12,Thursday
7.3%,USD,2011-12-29 10:00:00,1.7%,better,High,Pending Home Sales m/m,10.4%,accurate,52,2011-12-29 15:00:00+00:00,329.41,2011,4,12,Thursday
-81B,USD,2011-12-29 10:30:00,-88B,accurate,Low,Natural Gas Storage,-100B,accurate,52,2011-12-29 15:30:00+00:00,7.95,2011,4,12,Thursday
3.9M,USD,2011-12-29 11:00:00,-2.9M,accurate,Medium,Crude Oil Inventories,-10.6M,accurate,52,2011-12-29 16:00:00+00:00,234.48,2011,4,12,Thursday
21,USD,2011-12-19 10:00:00,21,accurate,Low,NAHB Housing Market Index,19,worse,51,2011-12-19 15:00:00+00:00,0.0,2011,4,12,Monday
0.68M,USD,2011-12-20 08:30:00,0.63M,better,High,Building Permits,0.64M,accurate,51,2011-12-20 13:30:00+00:00,7.94,2011,4,12,Tuesday
0.69M,USD,2011-12-20 08:30:00,0.64M,better,Medium,Housing Starts,0.63M,accurate,51,2011-12-20 13:30:00+00:00,7.81,2011,4,12,Tuesday
4.42M,USD,2011-12-21 10:00:00,5.04M,worse,High,Existing Home Sales,4.25M,worse,51,2011-12-21 15:00:00+00:00,-12.3,2011,4,12,Wednesday
-10.6M,USD,2011-12-21 10:30:00,-2.8M,accurate,Medium,Crude Oil Inventories,-1.9M,accurate,51,2011-12-21 15:30:00+00:00,-278.57,2011,4,12,Wednesday
