actual,country,datetime,forecast,forecast_error,impact,new,previous,previous_error,week,datetime_gmt,forecast_error_ratio,year,quarter,month,day_name
4.3%,USD,2012-12-26 09:00:00,3.9%,better,Medium,S&P/CS Composite-20 HPI y/y,3.0%,accurate,52,2012-12-26 14:00:00+00:00,10.26,2012,4,12,Wednesday
5,USD,2012-12-26 09:59:00,12,worse,Low,Richmond Manufacturing Index,9,accurate,52,2012-12-26 14:59:00+00:00,-58.33,2012,4,12,Wednesday
350K,USD,2012-12-27 08:30:00,365K,better,High,Unemployment Claims,362K,accurate,52,2012-12-27 13:30:00+00:00,-4.11,2012,4,12,Thursday
65.1,USD,2012-12-27 10:00:00,70.3,worse,High,CB Consumer Confidence,71.5,worse,52,2012-12-27 15:00:00+00:00,-7.4,2012,4,12,Thursday
377K,USD,2012-12-27 10:00:00,382K,worse,High,New Home Sales,361K,worse,52,2012-12-27 15:00:00+00:00,-1.31,2012,4,12,Thursday
51.6,USD,2012-12-28 09:45:00,51.2,better,Medium,Chicago PMI,50.4,accurate,52,2012-12-28 14:45:00+00:00,0.78,2012,4,12,Friday
1.7%,USD,2012-12-28 10:00:00,-0.3%,better,High,Pending Home Sales m/m,5.0%,worse,52,2012-12-28 15:00:00+00:00,666.67,2012,4,12,Friday
-72B,USD,2012-12-28 10:30:00,-73B,accurate,Low,Natural Gas Storage,-82B,accurate,52,2012-12-28 15:30:00+00:00,1.37,2012,4,12,Friday
-0.6M,USD,2012-12-28 11:00:00,-1.6M,accurate,Medium,Crude Oil Inventories,-1.0M,accurate,52,2012-12-28 16:00:00+00:00,62.5,2012,4,12,Friday
-8.1,USD,2012-12-17 08:30:00,-0.7,worse,Medium,Empire State Manufacturing Index,-5.2,accurate,51,2012-12-17 13:30:00+00:00,-1057.14,2012,4,12,Monday
1.3B,USD,2012-12-17 09:00:00,24.3B,worse,Medium,TIC Long-Term Purchases,3.2B,accurate,51,2012-12-17 14:00:00+00:00,-94.65,2012,4,12,Monday
-108B,USD,2012-12-18 08:30:00,-105B,worse,Medium,Current Account,-118B,accurate,51,2012-12-18 13:30:00+00:00,-2.86,2012,4,12,Tuesday
47,USD,2012-12-18 10:00:00,47,accurate,Low,NAHB Housing Market Index,45,worse,51,2012-12-18 15:00:00+00:00,0.0,2012,4,12,Tuesday
0.90M,USD,2012-12-19 08:30:00,0.88M,accurate,High,Building Permits,0.87M,accurate,51,2012-12-19 13:30:00+00:00,2.27,2012,4,12,Wednesday
