,datetime,new_id,forecast_error_ratio,forecast_error_ratio_zscore,previous_error_ratio,total_error_ratio,total_error_ratio_zscore,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,Low,Medium,num_news
0,2007-01-08 15:00:00,12,127.78,0.0,0.0,127.78,0.0,0,1,0,1,0,0,0,1,0,1
1,2007-01-09 10:00:00,37,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0,1,0,1
2,2007-01-10 08:30:00,68,9.0,0.0,0.0,9.0,0.0,0,3,0,3,0,0,1,0,0,1
3,2007-01-10 10:00:00,31,-225.0,0.0,0.0,-225.0,0.0,0,0,1,0,1,0,0,1,0,1
4,2007-01-10 10:30:00,18,233.33,0.0,0.0,233.33,0.0,1,0,0,1,0,0,0,1,0,1
5,2007-01-11 08:30:00,69,6.56,0.0,0.0,6.56,0.0,0,1,0,1,0,0,0,1,0,1
6,2007-01-11 10:30:00,46,8.89,0.0,0.0,8.89,0.0,1,0,0,1,0,0,0,1,0,1
7,2007-01-12 08:30:00,17_60_41,690.0,0.0,0.0,690.0,0.0,0,8,0,8,0,0,2,0,1,3
8,2007-01-12 10:00:00,5,0.0,0.0,0.0,0.0,0.0,2,0,0,0,2,0,0,0,1,1
9,2007-01-12 14:00:00,25,147.66,0.0,0.0,147.66,0.0,0,2,0,2,0,0,0,0,1,1
10,2007-01-16 08:30:00,21,-98.88,0.0,0.0,-98.88,0.0,0,0,2,2,0,0,0,0,1,1
11,2007-01-17 08:30:00,49_16,350.0,0.0,0.0,350.0,0.0,0,5,0,5,0,0,1,0,1,2
12,2007-01-17 09:00:00,66,-51.269999999999996,0.0,0.0,-51.269999999999996,0.0,0,0,3,0,3,0,1,0,0,1
13,2007-01-17 09:15:00,9_42,600.0,0.0,0.0,600.0,0.0,2,2,0,0,0,4,0,0,2,2
14,2007-01-17 13:00:00,44,6.06,0.0,0.0,6.06,0.0,0,1,0,0,1,0,0,1,0,1
15,2007-01-18 08:30:00,69_13_4_8_36,26.020000000000003,0.7071067811865476,0.33,26.35,0.7071067811865479,5,5,0,10,0,0,1,1,3,5
16,2007-01-18 10:30:00,18_46,-6687.34,1.1102230246251565e-16,0.0,-6687.34,1.1102230246251565e-16,2,0,0,2,0,0,0,2,0,2
17,2007-01-18 12:00:00,53,353.34,0.0,0.0,353.34,0.0,0,2,0,2,0,0,0,0,1,1
18,2007-01-19 10:00:00,58,17.85,0.0,0.0,17.85,0.0,0,3,0,0,3,0,1,0,0,1
19,2007-01-23 10:00:00,7_64,12.5,0.0,0.0,12.5,0.0,0,1,1,1,0,1,0,2,0,2
20,2007-01-24 10:30:00,18,46.15,0.55349472672019,0.0,46.15,0.55349472672019,1,0,0,1,0,0,0,1,0,1
21,2007-01-25 08:30:00,69,-4.84,-1.1490998997509454,0.34,-4.5,-1.1458837912294852,0,0,1,1,0,0,0,1,0,1
22,2007-01-25 10:00:00,23,-1.44,0.0,0.0,-1.44,0.0,0,0,3,3,0,0,1,0,0,1
23,2007-01-25 10:30:00,46,2.87,-1.0672543569804704,0.0,2.87,-1.0672543569804704,1,0,0,1,0,0,0,1,0,1
24,2007-01-26 08:30:00,14_20,1086.26,0.0,0.0,1086.26,0.0,2,3,0,3,2,0,1,0,1,2
25,2007-01-26 10:00:00,47,20.009999999999998,0.0,0.0,20.009999999999998,0.0,0,3,0,0,3,0,1,0,0,1
26,2007-01-30 09:00:00,65,-6.25,0.0,0.0,-6.25,0.0,1,0,0,1,0,0,0,1,0,1
27,2007-01-30 10:00:00,6,0.54,0.0,0.0,0.54,0.0,3,0,0,0,3,0,1,0,0,1
28,2007-01-31 08:15:00,0,25.18,0.0,0.0,25.18,0.0,0,2,0,0,2,0,0,0,1,1
29,2007-01-31 08:30:00,2_1_22,-13.509999999999994,0.0,0.0,-13.509999999999994,0.0,0,3,4,4,3,0,1,0,2,3
30,2007-01-31 09:45:00,10,-12.3,0.0,0.0,-12.3,0.0,0,0,2,2,0,0,0,0,1,1
31,2007-01-31 10:00:00,11,-300.0,0.0,0.0,-300.0,0.0,0,0,1,0,1,0,0,1,0,1
32,2007-01-31 10:30:00,18,-92.86,0.4537828804979818,0.0,-92.86,0.4537828804979818,1,0,0,1,0,0,0,1,0,1
33,2007-01-31 14:15:00,26,0.0,0.0,0.0,0.0,0.0,3,0,0,3,0,0,1,0,0,1
34,2007-02-01 00:00:00,67,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0,1,0,1
35,2007-02-01 08:30:00,69_15_52_51,-147.46,-0.08889443333419789,-0.62,-148.08,-0.20005180234780365,3,1,3,7,0,0,1,2,1,4
36,2007-02-01 10:00:00,38_50_39,367.1,0.0,0.0,367.1,0.0,0,4,3,4,3,0,2,1,0,3
37,2007-02-01 10:30:00,46,-7.46,-1.3325146861886517,0.0,-7.46,-1.3325146861886517,1,0,0,1,0,0,0,1,0,1
38,2007-02-02 08:30:00,48_70_3,-178.57,0.0,0.0,-178.57,0.0,0,0,8,3,3,2,2,0,1,3
39,2007-02-02 10:00:00,24_63,97.76,0.0,0.0,97.76,0.0,0,2,2,2,2,0,0,0,2,2
40,2007-02-05 10:00:00,40,11.61,0.0,0.0,11.61,0.0,0,3,0,3,0,0,1,0,0,1
41,2007-02-07 08:30:00,56_57,-138.1,0.0,0.0,-138.1,0.0,0,0,4,0,0,4,0,0,2,2
42,2007-02-07 10:30:00,18,120.0,0.4611640709364719,0.0,120.0,0.4611640709364719,1,0,0,1,0,0,0,1,0,1
43,2007-02-07 15:00:00,12,-14.29,-0.7071067811865476,11.38,-2.9099999999999984,-0.7071067811865475,0,0,1,0,1,0,0,1,0,1
44,2007-02-08 08:30:00,69,-0.32,-0.5192544678245048,-0.33,-0.65,-0.5692795094077342,1,0,0,1,0,0,0,1,0,1
45,2007-02-08 10:00:00,31,183.33,0.7071067811865476,15.38,198.71,0.7071067811865476,0,1,0,0,1,0,0,1,0,1
46,2007-02-08 10:30:00,46,2.28,-0.20484961958064174,0.0,2.28,-0.20484961958064174,1,0,0,1,0,0,0,1,0,1
47,2007-02-12 14:00:00,25,9.0,-1.414213562373095,0.0,9.0,-1.414213562373095,2,0,0,2,0,0,0,0,1,1
48,2007-02-13 08:30:00,68,-8.58,-2.1213203435596424,-0.51,-9.09,-2.1213203435596424,0,0,3,3,0,0,1,0,0,1
49,2007-02-13 10:00:00,37,-2.41,-0.7071067811865476,0.0,-2.41,-0.7071067811865476,0,0,1,1,0,0,0,1,0,1
50,2007-02-14 08:30:00,17_60,-375.0,-4.242640687119285,189.99,-185.01,-4.242640687119286,0,0,6,0,6,0,2,0,0,2
51,2007-02-14 10:00:00,5,200.0,1.414213562373095,100.0,300.0,1.414213562373095,0,2,0,0,2,0,0,0,1,1
52,2007-02-14 10:30:00,18,160.0,0.4806105206178248,0.0,160.0,0.4806105206178248,1,0,0,1,0,0,0,1,0,1
53,2007-02-15 08:30:00,69_41_21,-748.9300000000001,-1.4723126658138108,-0.64,-749.57,-1.4884584244119425,0,2,3,5,0,0,0,1,2,3
54,2007-02-15 09:00:00,66,-222.0,-2.1213203435596424,72.36,-149.64000000000001,-2.121320343559643,0,0,3,0,3,0,1,0,0,1
55,2007-02-15 09:15:00,9_42,-1001.46,-2.82842712474619,50.0,-951.46,-2.82842712474619,0,0,4,2,2,0,0,0,2,2
56,2007-02-15 10:30:00,46,1.97,-0.0693633276622777,0.0,1.97,-0.0693633276622777,1,0,0,1,0,0,0,1,0,1
57,2007-02-15 12:00:00,53,-165.72,-1.414213562373095,0.0,-165.72,-1.414213562373095,0,0,2,2,0,0,0,0,1,1
58,2007-02-15 13:00:00,44,14.29,0.7071067811865475,0.0,14.29,0.7071067811865475,0,1,0,1,0,0,0,1,0,1
59,2007-02-16 08:30:00,49_16_4_36,-22.32,-6.363961030678928,-1.26,-23.58,-6.363961030678927,7,0,2,9,0,0,1,0,3,4
60,2007-02-16 10:00:00,58,-9.959999999999999,-2.1213203435596424,-3.3600000000000003,-13.32,-2.1213203435596424,0,0,3,0,0,3,1,0,0,1
61,2007-02-21 08:30:00,13_8,150.0,2.1213203435596424,-190.0,-40.0,-1.414213562373095,2,3,0,0,0,5,1,0,1,2
62,2007-02-21 10:00:00,7,-50.0,-0.7071067811865475,100.0,50.0,0.0,0,0,1,0,1,0,0,1,0,1
