actual,country,datetime,forecast,forecast_error,impact,new,previous,previous_error,week,datetime_gmt,forecast_error_ratio,year,quarter,month,day_name,open_released,high_released,low_released,close_released,close_5,volatility_5,direction_5,pips_diff_5,close_10,volatility_10,direction_10,pips_diff_10,close_15,volatility_15,direction_15,pips_diff_15,close_30,volatility_30,direction_30,pips_diff_30,close_60,volatility_60,direction_60,pips_diff_60,close_90,volatility_90,direction_90,pips_diff_90,close_120,volatility_120,direction_120,pips_diff_120
12.3B,USD,2007-01-08 15:00:00,5.4B,better,Low,Consumer Credit m/m,-1.3B,accurate,2,2007-01-08 20:00:00+00:00,127.78,2007,1,1,Monday,1.3018,13020.0,13016.0,13018.0,13019,6,up,1.0,13017,4,down,1.0,13019,9,up,1.0,13018,5,down,0.0,13016,4,down,2.0,13019,5,up,1.0,13019,5,down,1.0
53.7,USD,2007-01-09 10:00:00,53.7,accurate,Low,IBD/TIPP Economic Optimism,53.5,accurate,2,2007-01-09 15:00:00+00:00,0.0,2007,1,1,Tuesday,1.2999,13004.0,12995.0,13000.0,13000,5,down,0.0,13002,7,up,2.0,13001,5,down,1.0,13005,6,up,5.0,12999,8,down,1.0,12994,5,down,6.0,12993,6,down,7.0
-58.2B,USD,2007-01-10 08:30:00,-60.0B,better,High,Trade Balance,-58.9B,accurate,2,2007-01-10 13:30:00+00:00,3.0,2007,1,1,Wednesday,1.29861,12989.0,12983.0,12984.0,12974,13,down,10.0,12968,7,down,16.0,12972,10,up,12.0,12972,6,down,12.0,12969,7,down,15.0,12961,7,down,23.0,12933,7,down,51.0
1.3%,USD,2007-01-10 10:00:00,0.4%,worse,Low,Final Wholesale Inventories m/m,0.4%,better,2,2007-01-10 15:00:00+00:00,225.0,2007,1,1,Wednesday,1.29561,12962.0,12955.0,12961.0,12967,7,up,6.0,12949,18,down,12.0,12941,14,down,20.0,12933,7,down,28.0,12944,6,up,17.0,12947,7,up,14.0,12938,6,down,23.0
-5.0M,USD,2007-01-10 10:30:00,-1.5M,accurate,Low,Crude Oil Inventories,-1.3M,accurate,2,2007-01-10 15:30:00+00:00,-233.33,2007,1,1,Wednesday,1.29362,12937.0,12930.0,12933.0,12937,5,up,4.0,12943,8,up,10.0,12943,5,down,10.0,12944,6,up,11.0,12947,7,up,14.0,12938,6,down,5.0,12937,5,down,4.0
299K,USD,2007-01-11 08:30:00,320K,better,Low,Unemployment Claims,329K,accurate,2,2007-01-11 13:30:00+00:00,-6.56,2007,1,1,Thursday,1.29881,12991.0,12986.0,12989.0,12980,11,down,9.0,12963,26,down,26.0,12958,20,down,31.0,12934,11,down,55.0,12922,9,down,67.0,12924,10,up,65.0,12894,10,down,95.0
-49B,USD,2007-01-11 10:30:00,-45B,accurate,Low,Natural Gas Storage,-47B,accurate,2,2007-01-11 15:30:00+00:00,-8.89,2007,1,1,Thursday,1.2901799999999999,12904.0,12894.0,12894.0,12894,8,down,0.0,12891,7,down,3.0,12890,3,down,4.0,12888,7,down,6.0,12894,7,up,0.0,12900,5,up,6.0,12903,6,up,9.0
1.0%,USD,2007-01-12 08:30:00,0.5%,better,High,Core Retail Sales m/m,1.1%,accurate,2,2007-01-12 13:30:00+00:00,100.0,2007,1,1,Friday,1.28888,12891.0,12885.0,12888.0,12884,23,down,4.0,12876,11,down,12.0,12867,10,down,21.0,12912,28,up,24.0,12920,7,up,32.0,12929,8,up,41.0,12935,7,up,47.0
0.9%,USD,2007-01-12 08:30:00,0.6%,better,High,Retail Sales m/m,1.0%,accurate,2,2007-01-12 13:30:00+00:00,50.0,2007,1,1,Friday,1.28888,12891.0,12885.0,12888.0,12884,23,down,4.0,12876,11,down,12.0,12867,10,down,21.0,12912,28,up,24.0,12920,7,up,32.0,12929,8,up,41.0,12935,7,up,47.0
1.1%,USD,2007-01-12 08:30:00,0.5%,better,Medium,Import Prices m/m,0.2%,accurate,2,2007-01-12 13:30:00+00:00,120.0,2007,1,1,Friday,1.28888,12891.0,12885.0,12888.0,12884,23,down,4.0,12876,11,down,12.0,12867,10,down,21.0,12912,28,up,24.0,12920,7,up,32.0,12929,8,up,41.0,12935,7,up,47.0
0.4%,USD,2007-01-12 10:00:00,0.4%,accurate,Medium,Business Inventories m/m,0.2%,better,2,2007-01-12 15:00:00+00:00,0.0,2007,1,1,Friday,1.29247,12929.0,12921.0,12929.0,12925,17,down,4.0,12919,8,down,10.0,12924,8,up,5.0,12935,7,up,6.0,12932,8,down,3.0,12931,5,down,2.0,12922,7,down,7.0
44.5B,USD,2007-01-12 14:00:00,25.6B,better,Medium,Federal Budget Balance,-75.6B,accurate,2,2007-01-12 19:00:00+00:00,73.83,2007,1,1,Friday,1.2913299999999999,12916.0,12911.0,12913.0,12913,6,down,0.0,12912,5,down,1.0,12908,7,down,5.0,12913,6,up,0.0,12914,4,up,1.0,12912,7,down,1.0,12915,8,up,2.0
9.1,USD,2007-01-16 08:30:00,18.0,worse,Medium,Empire State Manufacturing Index,23.1,accurate,3,2007-01-16 13:30:00+00:00,-49.44,2007,1,1,Tuesday,1.29409,12945.0,12939.0,12942.0,12957,11,up,15.0,12953,6,down,11.0,12955,5,up,13.0,12947,7,down,5.0,12939,13,down,3.0,12932,4,down,10.0,12935,7,up,7.0
0.9%,USD,2007-01-17 08:30:00,0.6%,better,High,PPI m/m,2.0%,accurate,3,2007-01-17 13:30:00+00:00,50.0,2007,1,1,Wednesday,1.2916299999999998,12917.0,12910.0,12911.0,12905,13,down,6.0,12907,6,up,4.0,12915,7,up,4.0,12914,5,down,3.0,12922,5,up,11.0,12935,6,up,24.0,12936,4,up,25.0
0.2%,USD,2007-01-17 08:30:00,0.1%,better,Medium,Core PPI m/m,1.3%,accurate,3,2007-01-17 13:30:00+00:00,100.0,2007,1,1,Wednesday,1.2916299999999998,12917.0,12910.0,12911.0,12905,13,down,6.0,12907,6,up,4.0,12915,7,up,4.0,12914,5,down,3.0,12922,5,up,11.0,12935,6,up,24.0,12936,4,up,25.0
68.4B,USD,2007-01-17 09:00:00,82.5B,worse,High,TIC Long-Term Purchases,89.3B,better,3,2007-01-17 14:00:00+00:00,-17.09,2007,1,1,Wednesday,1.29121,12915.0,12910.0,12914.0,12917,12,up,3.0,12916,5,down,2.0,12909,9,down,5.0,12922,5,up,8.0,12935,6,up,21.0,12936,4,up,22.0,12947,9,up,33.0
81.8%,USD,2007-01-17 09:15:00,81.8%,accurate,Medium,Capacity Utilization Rate,81.6%,worse,3,2007-01-17 14:15:00+00:00,0.0,2007,1,1,Wednesday,1.29165,12917.0,12908.0,12909.0,12907,7,down,2.0,12919,13,up,10.0,12922,5,up,13.0,12924,4,up,15.0,12928,5,up,19.0,12932,5,up,23.0,12942,8,up,33.0
