actual,country,datetime,forecast,forecast_error,impact,new,previous,previous_error,week,datetime_gmt,prediction_error,year,quarter,month,day_name,open_released,high_released,low_released,close_released,high_5,low_5,close_5,volatility_5,direction_5,pips_agg_5,pips_candle_5,high_10,low_10,close_10,volatility_10,direction_10,pips_agg_10,pips_candle_10,high_15,low_15,close_15,volatility_15,direction_15,pips_agg_15,pips_candle_15,high_30,low_30,close_30,volatility_30,direction_30,pips_agg_30,pips_candle_30,high_60,low_60,close_60,volatility_60,direction_60,pips_agg_60,pips_candle_60,high_90,low_90,close_90,volatility_90,direction_90,pips_agg_90,pips_candle_90,high_120,low_120,close_120,volatility_120,direction_120,pips_agg_120,pips_candle_120,high_180,low_180,close_180,volatility_180,direction_180,pips_agg_180,pips_candle_180,high_240,low_240,close_240,volatility_240,direction_240,pips_agg_240,pips_candle_240
55.9,USD,2010-01-04 10:00:00,54.1,better,High,ISM Manufacturing PMI,53.6,accurate,2,2010-01-04 15:00:00+00:00,-3.33,2010,1,1,Monday,14423,14431,14420,14425,14430,14412,14423,18,down,2,1,14437,14416,14434,21,up,9,11,14436,14421,14421,15,down,4,12,14421,14408,14418,13,down,7,8,14445,14434,14437,11,up,12,7,14428,14418,14425,10,down,0,3,14422,14414,14416,8,down,9,4,14417,14410,14414,7,down,11,1,14416,14408,14411,8,down,14,2
-0.6%,USD,2010-01-04 10:00:00,-0.4%,accurate,Low,Construction Spending m/m,-0.5%,worse,2,2010-01-04 15:00:00+00:00,50.0,2010,1,1,Monday,14423,14431,14420,14425,14430,14412,14423,18,down,2,1,14437,14416,14434,21,up,9,11,14436,14421,14421,15,down,4,12,14421,14408,14418,13,down,7,8,14445,14434,14437,11,up,12,7,14428,14418,14425,10,down,0,3,14422,14414,14416,8,down,9,4,14417,14410,14414,7,down,11,1,14416,14408,14411,8,down,14,2
61.5,USD,2010-01-04 10:00:00,57.7,better,Low,ISM Manufacturing Prices,55.0,accurate,2,2010-01-04 15:00:00+00:00,-6.59,2010,1,1,Monday,14423,14431,14420,14425,14430,14412,14423,18,down,2,1,14437,14416,14434,21,up,9,11,14436,14421,14421,15,down,4,12,14421,14408,14418,13,down,7,8,14445,14434,14437,11,up,12,7,14428,14418,14425,10,down,0,3,14422,14414,14416,8,down,9,4,14417,14410,14414,7,down,11,1,14416,14408,14411,8,down,14,2
11.3M,USD,2010-01-05 00:00:00,11.0M,better,Low,Total Vehicle Sales,10.9M,accurate,2,2010-01-05 05:00:00+00:00,-2.73,2010,1,1,Tuesday,14430,14434,14424,14426,14424,14413,14422,11,down,4,0,14426,14415,14423,11,up,3,1,14427,14422,14424,5,up,2,1,14427,14420,14423,7,down,3,3,14473,14459,14461,14,up,35,2,14455,14444,14453,11,down,27,4,14476,14466,14474,10,up,48,6,14454,14444,14451,10,down,25,1,14423,14409,14417,14,down,9,3
-16.0%,USD,2010-01-05 10:00:00,-2.3%,worse,High,Pending Home Sales m/m,3.9%,better,2,2010-01-05 15:00:00+00:00,595.65,2010,1,1,Tuesday,14405,14409,14399,14403,14422,14399,14420,23,up,17,16,14422,14407,14410,15,down,7,11,14416,14407,14412,9,up,9,3,14433,14414,14424,19,up,21,9,14416,14405,14414,11,down,11,3,14404,14395,14397,9,down,6,3,14401,14388,14399,13,up,4,6,14394,14386,14390,8,down,13,2,14366,14357,14363,9,down,40,1
1.1%,USD,2010-01-05 10:00:00,0.5%,better,Medium,Factory Orders m/m,0.8%,better,2,2010-01-05 15:00:00+00:00,-120.0,2010,1,1,Tuesday,14405,14409,14399,14403,14422,14399,14420,23,up,17,16,14422,14407,14410,15,down,7,11,14416,14407,14412,9,up,9,3,14433,14414,14424,19,up,21,9,14416,14405,14414,11,down,11,3,14404,14395,14397,9,down,6,3,14401,14388,14399,13,up,4,6,14394,14386,14390,8,down,13,2,14366,14357,14363,9,down,40,1
-84K,USD,2010-01-06 08:15:00,-74K,worse,High,ADP Non-Farm Employment Change,-145K,better,2,2010-01-06 13:15:00+00:00,13.51,2010,1,1,Wednesday,14350,14354,14342,14344,14364,14342,14363,22,up,19,17,14367,14354,14355,13,down,11,8,14361,14350,14358,11,up,14,4,14372,14362,14367,10,up,23,2,14361,14345,14350,16,down,6,10,14357,14342,14345,15,down,1,9,14388,14377,14382,11,up,38,4,14397,14387,14393,10,up,49,4,14402,14393,14393,9,down,49,6
50.1,USD,2010-01-06 10:00:00,50.5,worse,High,ISM Non-Manufacturing PMI,48.7,accurate,2,2010-01-06 15:00:00+00:00,0.79,2010,1,1,Wednesday,14352,14354,14346,14353,14376,14348,14374,28,up,21,22,14392,14369,14387,23,up,34,14,14388,14377,14382,11,down,29,4,14389,14372,14386,17,up,33,10,14388,14369,14386,19,down,33,10,14411,14401,14408,10,up,55,2,14411,14404,14406,7,down,53,4,14404,14396,14403,8,down,50,5,14398,14392,14397,6,down,44,3
1.3M,USD,2010-01-06 10:30:00,-0.4M,accurate,Medium,Crude Oil Inventories,-1.5M,accurate,2,2010-01-06 15:30:00+00:00,-425.0,2010,1,1,Wednesday,14376,14389,14372,14386,14386,14368,14370,18,down,16,14,14374,14362,14366,12,down,20,5,14372,14360,14372,12,up,14,9,14388,14369,14386,19,up,0,10,14411,14401,14408,10,up,22,2,14411,14404,14406,7,down,20,4,14393,14385,14389,8,down,3,1,14388,14381,14386,7,down,0,2,14428,14420,14421,8,up,35,4
434K,USD,2010-01-07 08:30:00,449K,better,High,Unemployment Claims,433K,accurate,2,2010-01-07 13:30:00+00:00,3.34,2010,1,1,Thursday,14315,14319,14310,14312,14325,14307,14323,18,up,11,10,14325,14314,14323,11,down,11,1,14329,14318,14321,11,down,9,3,14335,14327,14333,8,up,21,2,14345,14333,14344,12,up,32,5,14328,14313,14315,15,down,3,11,14326,14318,14323,8,up,11,1,14316,14302,14305,14,down,7,7,14330,14320,14328,10,up,16,2
