,accuracy_test,before_data,elapsed_time,model,model_type,params,score,sweep_buy_sell,sweep_grid,sweep_news_agg,sweeps_market_variables
0,0.27,included,5.15,knn,clf,{'n_neighbors': 71},0.26,15_60,basic,ALL_NO_1_1_1,all
1,0.26,included,28.70,knn,clf,"{'C': 1, 'gamma': 1}",0.26,15_60,basic,ALL_NO_1_1_1,all
2,0.20,included,1.52,knn,clf,{},0.21,15_60,basic,ALL_NO_1_1_1,all
3,0.39,included,2.66,knn,clf,"{'max_depth': 3, 'min_samples_leaf': 10}",0.39,15_60,basic,ALL_NO_1_1_1,all
4,0.42,included,35.05,knn,clf,"{'max_depth': 6, 'min_samples_leaf': 10, 'n_estimators': 200}",0.40,15_60,basic,ALL_NO_1_1_1,all
5,0.40,included,16.60,knn,clf,{'n_estimators': 100},0.39,15_60,basic,ALL_NO_1_1_1,all
6,0.42,included,21.90,knn,clf,{'n_estimators': 10},0.40,15_60,basic,ALL_NO_1_1_1,all
7,0.40,included,3.86,knn,clf,{'n_estimators': 10},0.38,15_60,basic,ALL_NO_1_1_1,all
0,0.28,included,5.38,knn,clf,{'n_neighbors': 1},0.27,30_60,basic,ALL_NO_1_1_1,all
1,0.26,included,32.04,knn,clf,"{'C': 1, 'gamma': 1}",0.26,30_60,basic,ALL_NO_1_1_1,all
2,0.20,included,1.75,knn,clf,{},0.20,30_60,basic,ALL_NO_1_1_1,all
3,0.50,included,3.12,knn,clf,"{'max_depth': 6, 'min_samples_leaf': 150}",0.49,30_60,basic,ALL_NO_1_1_1,all
4,0.51,included,38.08,knn,clf,"{'max_depth': 6, 'min_samples_leaf': 10, 'n_estimators': 200}",0.48,30_60,basic,ALL_NO_1_1_1,all
5,0.51,included,18.54,knn,clf,{'n_estimators': 50},0.49,30_60,basic,ALL_NO_1_1_1,all
6,0.49,included,26.14,knn,clf,{'n_estimators': 10},0.49,30_60,basic,ALL_NO_1_1_1,all
7,0.47,included,4.52,knn,clf,{'n_estimators': 50},0.45,30_60,basic,ALL_NO_1_1_1,all
0,0.25,included,5.36,knn,clf,{'n_neighbors': 11},0.26,30_90,basic,ALL_NO_1_1_1,all
1,0.23,included,31.58,knn,clf,"{'C': 1, 'gamma': 1}",0.22,30_90,basic,ALL_NO_1_1_1,all
2,0.20,included,1.70,knn,clf,{},0.22,30_90,basic,ALL_NO_1_1_1,all
3,0.42,included,3.14,knn,clf,"{'max_depth': 4, 'min_samples_leaf': 30}",0.43,30_90,basic,ALL_NO_1_1_1,all
4,0.45,included,37.92,knn,clf,"{'max_depth': 5, 'min_samples_leaf': 10, 'n_estimators': 100}",0.43,30_90,basic,ALL_NO_1_1_1,all
5,0.45,included,18.47,knn,clf,{'n_estimators': 50},0.44,30_90,basic,ALL_NO_1_1_1,all
6,0.42,included,27.78,knn,clf,{'n_estimators': 100},0.43,30_90,basic,ALL_NO_1_1_1,all
7,0.42,included,4.40,knn,clf,{'n_estimators': 10},0.41,30_90,basic,ALL_NO_1_1_1,all
0,0.23,included,5.37,knn,clf,{'n_neighbors': 11},0.25,30_120,basic,ALL_NO_1_1_1,all
1,0.23,included,31.47,knn,clf,"{'C': 1, 'gamma': 1}",0.21,30_120,basic,ALL_NO_1_1_1,all
2,0.22,included,1.66,knn,clf,{},0.21,30_120,basic,ALL_NO_1_1_1,all
3,0.42,included,3.16,knn,clf,"{'max_depth': 5, 'min_samples_leaf': 100}",0.40,30_120,basic,ALL_NO_1_1_1,all
4,0.42,included,38.05,knn,clf,"{'max_depth': 6, 'min_samples_leaf': 30, 'n_estimators': 200}",0.41,30_120,basic,ALL_NO_1_1_1,all
5,0.43,included,18.49,knn,clf,{'n_estimators': 50},0.40,30_120,basic,ALL_NO_1_1_1,all
6,0.42,included,26.31,knn,clf,{'n_estimators': 10},0.40,30_120,basic,ALL_NO_1_1_1,all
7,0.42,included,4.43,knn,clf,{'n_estimators': 10},0.38,30_120,basic,ALL_NO_1_1_1,all
0,0.30,included,6.04,knn,clf,{'n_neighbors': 1},0.28,60_120,basic,ALL_NO_1_1_1,all
1,0.23,included,35.18,knn,clf,"{'C': 1, 'gamma': 1}",0.21,60_120,basic,ALL_NO_1_1_1,all
2,0.22,included,1.77,knn,clf,{},0.20,60_120,basic,ALL_NO_1_1_1,all
3,0.50,included,3.58,knn,clf,"{'max_depth': 3, 'min_samples_leaf': 10}",0.51,60_120,basic,ALL_NO_1_1_1,all
4,0.54,included,40.37,knn,clf,"{'max_depth': 6, 'min_samples_leaf': 20, 'n_estimators': 50}",0.52,60_120,basic,ALL_NO_1_1_1,all
5,0.52,included,20.47,knn,clf,{'n_estimators': 10},0.51,60_120,basic,ALL_NO_1_1_1,all
6,0.53,included,32.54,knn,clf,{'n_estimators': 50},0.51,60_120,basic,ALL_NO_1_1_1,all
7,0.51,included,5.51,knn,clf,{'n_estimators': 10},0.48,60_120,basic,ALL_NO_1_1_1,all
0,0.29,included,6.28,knn,clf,{'n_neighbors': 11},0.29,60_240,basic,ALL_NO_1_1_1,all
1,0.27,included,36.76,knn,clf,"{'C': 1, 'gamma': 1}",0.25,60_240,basic,ALL_NO_1_1_1,all
2,0.24,included,1.87,knn,clf,{},0.22,60_240,basic,ALL_NO_1_1_1,all
3,0.45,included,3.62,knn,clf,"{'max_depth': 4, 'min_samples_leaf': 30}",0.43,60_240,basic,ALL_NO_1_1_1,all
4,0.44,included,41.79,knn,clf,"{'max_depth': 5, 'min_samples_leaf': 50, 'n_estimators': 50}",0.45,60_240,basic,ALL_NO_1_1_1,all
5,0.46,included,21.68,knn,clf,{'n_estimators': 100},0.44,60_240,basic,ALL_NO_1_1_1,all
6,0.45,included,29.59,knn,clf,{'n_estimators': 50},0.44,60_240,basic,ALL_NO_1_1_1,all
7,0.44,included,4.99,knn,clf,{'n_estimators': 10},0.43,60_240,basic,ALL_NO_1_1_1,all
