,actual,country,datetime,forecast,forecast_error,impact,new,previous,previous_error,week
0,1.29,CHF,2014-12-29 02:00:00,,,Low,UBS Consumption Indicator,1.32,better,52
1,,EUR,2014-12-29 00:00:00,,,High,Greek Presidential Elections,,,52
2,0.2%,GBP,2014-12-30 02:00:00,0.3%,,Medium,Nationwide HPI m/m,0.3%,,52
3,-1.1%,EUR,2014-12-30 03:00:00,-0.7%,worse,Medium,Spanish Flash CPI y/y,-0.4%,,52
4,3.1%,EUR,2014-12-30 04:00:00,2.6%,better,Medium,M3 Money Supply y/y,2.5%,,52
5,-0.9%,EUR,2014-12-30 04:00:00,-0.9%,,Medium,Private Loans y/y,-1.1%,,52
6,1.89|1.3,EUR,2014-12-30 05:20:00,,,Medium,Italian 10-y Bond Auction,2.08|1.6,,52
7,4.5%,USD,2014-12-30 09:00:00,4.4%,,Low,S&P/CS Composite-20 HPI y/y,4.8%,,52
8,92.6,USD,2014-12-30 10:00:00,94.6,worse,High,CB Consumer Confidence,91.0,better,52
9,,JPY,2014-12-30 00:00:00,,,Non-Economic,Bank Holiday,,,52
10,0.5%,AUD,2014-12-30 19:30:00,0.5%,,Low,Private Sector Credit m/m,0.6%,,52
11,49.6,CNY,2014-12-30 20:45:00,49.5,,High,Caixin Manufacturing PMI,49.5,,52
12,,EUR,2014-12-31 00:00:00,,,Non-Economic,German Bank Holiday,,,52
13,-10.9B,GBP,2014-12-31 04:30:00,-9.2B,worse,Low,Housing Equity Withdrawal q/q,-10.6B,,52
14,298K,USD,2014-12-31 08:30:00,287K,worse,High,Unemployment Claims,281K,,52
15,58.3,USD,2014-12-31 09:45:00,60.2,worse,Medium,Chicago PMI,60.8,,52
16,0.8%,USD,2014-12-31 10:00:00,0.6%,better,Medium,Pending Home Sales m/m,-1.2%,,52
17,-1.8M,USD,2014-12-31 10:30:00,0.2M,,Medium,Crude Oil Inventories,7.3M,,52
18,-26B,USD,2014-12-31 12:00:00,-37B,,Low,Natural Gas Storage,-49B,,52
19,,NZD,2014-12-31 00:00:00,,,Non-Economic,Bank Holiday,,,52
20,,AUD,2014-12-31 00:00:00,,,Non-Economic,Bank Holiday,,,52
21,,CNY,2014-12-31 00:00:00,,,Non-Economic,Bank Holiday,,,52
22,,JPY,2014-12-31 00:00:00,,,Non-Economic,Bank Holiday,,,52
