,actual,country,datetime,forecast,forecast_error,impact,new,previous,previous_error,week
0,,NZD,2009-12-27 00:00:00,,,Non-Economic,Bank Holiday,,,52
1,,AUD,2009-12-27 00:00:00,,,Non-Economic,Bank Holiday,,,52
2,2.6%,JPY,2009-12-27 18:50:00,2.5%,better,Medium,Prelim Industrial Production m/m,0.5%,,52
3,-1.0%,JPY,2009-12-27 18:50:00,-1.1%,,Medium,Retail Sales y/y,-1.0%,,52
4,-2.8%,JPY,2009-12-27 20:30:00,-1.8%,worse,Medium,Average Cash Earnings y/y,-1.9%,worse,52
5,,GBP,2009-12-28 00:00:00,,,Non-Economic,Bank Holiday,,,52
6,,CAD,2009-12-28 00:00:00,,,Non-Economic,Bank Holiday,,,52
7,1.28,CHF,2009-12-29 02:00:00,,,Medium,UBS Consumption Indicator,0.88,,52
8,0.7%,EUR,2009-12-29 00:00:00,0.6%,better,Medium,German Prelim CPI m/m,-0.1%,better,52
9,-4.9B,GBP,2009-12-29 04:30:00,-6.3B,better,Low,Housing Equity Withdrawal q/q,-6.9B,,52
10,-7.3%,USD,2009-12-29 09:00:00,-7.1%,worse,Medium,S&P/CS Composite-20 HPI y/y,-9.3%,,52
11,52.9,USD,2009-12-29 10:00:00,53.0,,High,CB Consumer Confidence,50.6,better,52
12,53.8,JPY,2009-12-29 18:15:00,,,Low,Final Manufacturing PMI,52.3,,52
13,-0.2%,EUR,2009-12-30 04:00:00,0.4%,worse,Medium,M3 Money Supply y/y,0.3%,,52
14,-0.7%,EUR,2009-12-30 04:00:00,-0.8%,better,Low,Private Loans y/y,-0.8%,,52
15,50.3,EUR,2009-12-30 04:00:00,,,Low,Retail PMI,48.9,,52
16,4.07|1.5,EUR,2009-12-30 05:29:00,,,Low,Italian 10-y Bond Auction,4.01|1.6,,52
17,1.68,CHF,2009-12-30 05:30:00,1.73,,High,KOF Economic Barometer,1.62,,52
18,60.0,USD,2009-12-30 09:45:00,55.2,better,High,Chicago PMI,56.1,,52
19,-1.5M,USD,2009-12-30 10:30:00,-1.7M,,Medium,Crude Oil Inventories,-4.9M,,52
20,,JPY,2009-12-30 00:00:00,,,Non-Economic,Bank Holiday,,,52
21,0.1%,AUD,2009-12-30 19:30:00,0.1%,,Medium,Private Sector Credit m/m,-0.1%,worse,52
22,,EUR,2009-12-31 00:00:00,,,Non-Economic,German Bank Holiday,,,52
23,0.4%,GBP,2009-12-31 02:00:00,0.4%,,High,Nationwide HPI m/m,0.5%,,52
24,,GBP,2009-12-31 04:30:00,,,Medium,BOE Credit Conditions Survey,,,52
25,432K,USD,2009-12-31 08:30:00,460K,better,High,Unemployment Claims,454K,,52
26,-124B,USD,2009-12-31 10:30:00,-143B,,Low,Natural Gas Storage,-166B,,52
27,,NZD,2009-12-31 00:00:00,,,Non-Economic,Bank Holiday,,,52
28,,AUD,2009-12-31 00:00:00,,,Non-Economic,Bank Holiday,,,52
29,,CNY,2009-12-31 00:00:00,,,Non-Economic,Bank Holiday,,,52
30,,JPY,2009-12-31 00:00:00,,,Non-Economic,Bank Holiday,,,52
31,56.6,CNY,2009-12-31 20:00:00,55.4,better,High,Manufacturing PMI,55.2,,52
32,-3.7%,NZD,2009-12-20 16:45:00,,,Low,Visitor Arrivals m/m,-0.7%,,52
33,0.49T,JPY,2009-12-20 18:50:00,0.27T,better,Medium,Trade Balance,0.46T,,52
34,5.5%,AUD,2009-12-20 19:30:00,,,Low,New Motor Vehicle Sales m/m,3.3%,worse,52
