,model_type,model,sweeps_market_variables,sweep_news_agg,sweep_buy_sell,before_data,sweep_grid,best_score,best_params,accuracy_test,accuracy_per_class,ocurrences_per_class,total_ocurrences,elapsed_time
0,clf,kn,basic,ALL_NO_1_1_1,60_180,included,basic,0.61,{'n_neighbors': 31},0.61,"[37.65822784810127, 84.93589743589743, 37.78409090909091]","[316, 624, 352]",1292,2.23
1,clf,svc-rbf,basic,ALL_NO_1_1_1,60_180,included,basic,0.50,"{'C': 1, 'gamma': 1}",0.48,"[0.0, 100.0, 0.0]","[316, 624, 352]",1292,7.79
2,clf,svc-poly,basic,ALL_NO_1_1_1,60_180,included,basic,0.44,{},0.43,"[39.55696202531646, 70.03205128205128, 0.0]","[316, 624, 352]",1292,0.24
3,clf,dtree,basic,ALL_NO_1_1_1,60_180,included,basic,0.65,"{'max_depth': 3, 'min_samples_leaf': 150}",0.64,"[48.10126582278481, 83.97435897435898, 42.32954545454545]","[316, 624, 352]",1292,0.35
4,clf,rforest,basic,ALL_NO_1_1_1,60_180,included,basic,0.65,"{'max_depth': 6, 'min_samples_leaf': 50, 'n_estimators': 10}",0.64,"[49.36708860759494, 79.96794871794872, 48.57954545454545]","[316, 624, 352]",1292,13.78
5,clf,xgb,basic,ALL_NO_1_1_1,60_180,included,basic,0.65,{'n_estimators': 100},0.64,"[50.0, 79.6474358974359, 50.28409090909091]","[316, 624, 352]",1292,1.63
6,clf,gboosting,basic,ALL_NO_1_1_1,60_180,included,basic,0.65,{'n_estimators': 50},0.64,"[50.0, 78.2051282051282, 49.71590909090909]","[316, 624, 352]",1292,2.16
7,clf,ada,basic,ALL_NO_1_1_1,60_180,included,basic,0.64,{'n_estimators': 50},0.64,"[51.58227848101266, 75.64102564102564, 55.39772727272727]","[316, 624, 352]",1292,0.74
0,clf,kn,all,ALL_NO_1_1_1,60_180,included,basic,0.61,{'n_neighbors': 31},0.60,"[38.29113924050633, 84.61538461538461, 37.5]","[316, 624, 352]",1292,2.82
1,clf,svc-rbf,all,ALL_NO_1_1_1,60_180,included,basic,0.50,"{'C': 1, 'gamma': 1}",0.48,"[0.0, 100.0, 0.0]","[316, 624, 352]",1292,7.94
2,clf,svc-poly,all,ALL_NO_1_1_1,60_180,included,basic,0.43,{},0.45,"[0.0, 69.71153846153847, 41.47727272727273]","[316, 624, 352]",1292,0.30
3,clf,dtree,all,ALL_NO_1_1_1,60_180,included,basic,0.65,"{'max_depth': 3, 'min_samples_leaf': 150}",0.64,"[48.10126582278481, 83.97435897435898, 42.32954545454545]","[316, 624, 352]",1292,0.40
4,clf,rforest,all,ALL_NO_1_1_1,60_180,included,basic,0.64,"{'max_depth': 6, 'min_samples_leaf': 20, 'n_estimators': 200}",0.64,"[48.10126582278481, 81.08974358974359, 46.875]","[316, 624, 352]",1292,13.57
5,clf,xgb,all,ALL_NO_1_1_1,60_180,included,basic,0.65,{'n_estimators': 200},0.64,"[50.31645569620253, 79.00641025641026, 50.85227272727273]","[316, 624, 352]",1292,1.97
6,clf,gboosting,all,ALL_NO_1_1_1,60_180,included,basic,0.65,{'n_estimators': 50},0.64,"[50.31645569620253, 79.00641025641026, 51.13636363636363]","[316, 624, 352]",1292,2.62
7,clf,ada,all,ALL_NO_1_1_1,60_180,included,basic,0.64,{'n_estimators': 10},0.64,"[48.10126582278481, 79.6474358974359, 51.70454545454545]","[316, 624, 352]",1292,0.88
