,datetime,new_id,forecast_error_diff_deviation,forecast_error_diff_outlier_class,previous_error_diff_deviation,previous_error_diff_outlier_class,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,year,week,weekday,num_news,volatility_0_5_after,pips_agg_0_5_after,pips_candle_0_5_after,volatility_5_10_after,pips_agg_5_10_after,pips_candle_5_10_after,volatility_10_15_after,pips_agg_10_15_after,pips_candle_10_15_after,volatility_15_20_after,pips_agg_15_20_after,pips_candle_15_20_after,volatility_20_25_after,pips_agg_20_25_after,pips_candle_20_25_after,volatility_25_30_after,pips_agg_25_30_after,pips_candle_25_30_after,volatility_0_30_after,pips_agg_0_30_after,volatility_60_0_before,pips_agg_60_0_before,pips_agg_0_90_after,direction_agg_0_90_after
0,2007-01-10 08:30:00,31,1.0,0,0.0,0,0,1,0,1,0,0,1,2007,2,2,1,13,-10,-7,7,-16,-3,10,-12,7,10,-20,-8,10,-13,7,6,-12,0,22,-9,22,-13,-25,0
1,2007-01-12 08:30:00,10_29,2.0,0,0.0,0,0,2,0,2,0,0,2,2007,2,4,2,23,-4,-3,11,-12,-8,10,-21,-9,8,-13,8,19,-2,11,28,24,27,45,-2,40,-10,38,2
2,2007-01-17 08:30:00,23,1.0,0,0.0,0,0,1,0,1,0,0,1,2007,3,2,1,13,-6,-5,6,-4,1,7,4,7,7,7,3,7,2,-6,5,3,2,24,2,25,-10,25,2
3,2007-01-17 09:00:00,30,-14.1,0,0.0,0,0,0,1,0,1,0,1,2007,3,2,1,12,3,-3,5,2,-1,9,-5,-7,7,-7,-3,13,5,11,5,8,2,25,0,31,8,15,2
4,2007-01-18 08:30:00,7,0.0,0,0.0,0,1,0,0,1,0,0,1,2007,3,3,1,19,-20,-12,12,-16,7,7,-12,3,6,-15,-2,8,-16,-2,9,-11,6,26,-9,23,-4,17,2
5,2007-01-19 10:00:00,28,1.0,0,0.0,0,0,1,0,0,1,0,1,2007,3,4,1,10,-5,-2,10,-8,-3,6,-9,-2,5,-9,-1,7,-11,-2,8,-18,-5,18,-10,23,-15,14,1
6,2007-01-25 10:00:00,14,-0.03,0,0.0,0,0,0,1,1,0,0,1,2007,4,3,1,8,-2,-1,13,-11,-11,6,-10,-2,5,-5,4,4,-7,-1,8,0,6,14,-5,25,9,-7,1
7,2007-01-26 08:30:00,8,1.0,0,0.0,0,0,1,0,1,0,0,1,2007,4,4,1,20,-8,-1,12,1,10,7,-4,-6,7,-7,-3,11,0,6,16,16,15,36,8,23,-3,-7,1
8,2007-01-26 10:00:00,21,1.0,0,0.0,0,0,1,0,0,1,0,1,2007,4,4,1,19,3,6,6,2,-2,6,-1,-4,4,-1,1,10,8,7,7,12,2,29,13,36,-24,14,1
9,2007-01-30 10:00:00,4,-0.2,0,0.0,0,1,0,0,0,1,0,1,2007,5,1,1,7,6,5,5,4,-2,5,10,3,3,11,0,7,7,-4,7,4,-3,12,6,16,-9,-1,1
10,2007-01-31 08:30:00,1,1.0,0,0.0,0,0,1,0,0,1,0,1,2007,5,2,1,11,-4,0,12,-14,-9,6,-20,-4,9,-28,-7,5,-29,-1,8,-22,7,29,-25,15,5,6,1
11,2007-01-31 14:15:00,15,0.0,0,0.0,0,1,0,0,1,0,0,1,2007,5,2,1,33,20,18,8,16,-2,14,18,2,6,20,1,9,20,2,10,16,-2,33,16,36,-1,25,2
12,2007-02-01 08:30:00,9,-0.1,0,0.0,0,0,0,1,1,0,0,1,2007,5,3,1,7,6,4,6,1,-4,6,1,0,4,-1,0,8,-6,-4,4,-5,1,16,-8,26,13,5,1
13,2007-02-01 10:00:00,17_24,-1.2999999999999998,0,0.0,0,0,1,1,1,1,0,2,2007,5,3,2,18,3,-3,11,0,-3,7,7,4,13,-5,-11,8,0,7,9,2,0,28,-4,33,16,-8,1
14,2007-02-02 08:30:00,22_33,-34.0,0,0.0,0,0,0,2,1,1,0,2,2007,5,4,2,24,17,9,18,12,-7,16,9,-7,12,7,-2,5,11,2,9,8,-3,26,3,45,16,-57,0
15,2007-02-05 10:00:00,18,1.0,0,0.0,0,0,1,0,1,0,0,1,2007,6,0,1,9,-9,-4,13,2,8,5,2,-1,5,8,4,7,5,-1,5,8,4,18,9,21,-14,5,1
16,2007-02-13 08:30:00,31,-1.7,0,1.0,0,0,0,1,1,0,0,1,2007,7,1,1,12,2,-4,17,17,15,9,15,-3,7,9,-5,3,11,0,7,6,-5,23,5,23,13,-5,1
17,2007-02-14 08:30:00,10_29,-0.4,0,2.0,0,0,0,2,0,2,0,2,2007,7,2,2,13,10,9,9,6,-3,6,8,2,7,9,1,11,20,8,10,17,-5,24,21,20,6,11,1
18,2007-02-15 09:00:00,30,-44.4,0,1.0,0,0,0,1,0,1,0,1,2007,7,3,1,18,17,7,19,32,16,11,26,-6,10,34,3,10,34,1,8,27,-6,35,23,28,6,9,1
19,2007-02-16 08:30:00,23,0.0,0,0.0,0,1,0,0,1,0,0,1,2007,7,4,1,13,13,7,7,16,3,20,-3,-18,10,-16,-7,10,-13,4,11,-9,6,36,-21,25,0,-5,1
20,2007-02-16 10:00:00,28,-3.2,0,-1.1,0,0,0,1,0,0,1,1,2007,7,4,1,15,-7,-8,7,-2,4,4,-3,1,4,-4,-2,3,-4,0,4,-4,0,15,-5,26,12,8,1
21,2007-02-21 08:30:00,7,1.0,0,-0.1,0,0,1,0,0,0,1,1,2007,8,2,1,26,-13,-6,19,-32,-17,10,-26,7,4,-29,-2,8,-35,-6,5,-30,3,33,-26,31,12,-21,0
22,2007-02-27 08:30:00,8,-2.9,0,1.0,0,0,0,1,0,1,0,1,2007,9,1,1,13,11,6,6,10,-1,6,12,3,11,6,-7,6,4,-3,12,11,7,15,-1,32,15,6,1
23,2007-02-27 10:00:00,14_4,2.0,0,0.9,0,0,2,0,1,1,0,2,2007,9,1,2,19,-13,-11,12,-22,-12,6,-23,-1,8,-17,5,4,-16,2,7,-12,3,24,-13,26,4,-7,1
24,2007-02-28 08:30:00,26,-0.2,0,0.0,0,0,0,1,1,0,0,1,2007,9,2,1,14,-8,-6,15,4,11,8,0,-3,9,2,3,11,-5,-9,7,-5,1,20,-4,26,22,-10,1
25,2007-02-28 10:00:00,21,-143.0,0,1.0,0,0,0,1,0,1,0,1,2007,9,2,1,6,5,0,6,3,0,3,2,0,6,3,2,5,2,1,14,-8,-10,19,-3,20,-1,3,1
26,2007-03-01 08:30:00,9,1.0,0,0.0,0,0,1,0,1,0,0,1,2007,9,3,1,8,2,3,9,4,3,9,1,-2,6,-4,-3,5,-3,0,7,0,2,16,-1,19,-1,3,1
27,2007-03-01 10:00:00,17,1.0,0,0.0,0,0,1,0,1,0,0,1,2007,9,3,1,17,-14,-9,8,-11,2,8,-18,-6,22,-37,-18,15,-24,13,10,-30,-7,37,-18,40,-10,-42,0
28,2007-03-05 10:00:00,18,-2.9,0,0.0,0,0,0,1,1,0,0,1,2007,10,0,1,14,13,11,11,7,-5,7,9,2,7,9,-2,2,12,2,7,12,0,14,10,40,14,4,1
29,2007-03-06 10:00:00,24,-1.9,0,-0.4,0,0,0,1,0,0,1,1,2007,10,1,1,6,0,-2,10,-4,-5,5,1,3,4,2,1,4,2,1,6,-2,-3,12,-1,18,10,5,1
30,2007-03-09 08:30:00,31_22_33,-2.1,0,0.7,0,2,1,0,2,1,0,3,2007,10,4,3,31,-23,-13,19,-43,-17,7,-43,1,16,-58,-13,10,-57,-2,8,-57,0,60,-47,38,-3,-46,0
31,2007-03-13 08:30:00,10_29,-0.6000000000000001,0,-0.1,0,0,0,2,1,0,1,2,2007,11,1,2,25,18,17,12,12,-4,10,19,8,7,20,1,7,22,2,9,24,2,28,21,30,-5,25,2
32,2007-03-15 08:30:00,23,1.0,0,0.0,0,0,1,0,1,0,0,1,2007,11,3,1,30,13,15,9,10,-3,8,4,-4,7,4,2,6,8,3,5,4,-5,30,11,30,-6,15,2
33,2007-03-15 09:00:00,30,1.0,0,-1.3,0,0,1,0,1,0,0,1,2007,11,3,1,14,6,8,13,15,11,8,10,-6,5,8,0,15,15,7,7,12,-3,26,17,30,-4,16,2
