,model_type,model,sweeps_market_variables,sweep_news_agg,sweep_buy_sell,before_data,sweep_grid,best_score,best_params,f1_microavg,precision_weighted,precision_EUR_down,precision_EUR_same,precision_EUR_up,support_EUR_down,support_EUR_same,support_EUR_up,report,elapsed_time
0,clf,kn,basic,ALL_NO_1_1_1,30_60,included,basic,0.64,{'n_neighbors': 11},0.66,0.66,0.62,0.66,0.70,311.00,658.00,323.00,"{'0': {'precision': 0.6208053691275168, 'recall': 0.594855305466238, 'f1-score': 0.6075533661740559, 'support': 311}, '1': {'precision': 0.6649484536082474, 'recall': 0.78419452887538, 'f1-score': 0.7196652719665272, 'support': 658}, '2': {'precision': 0.6972477064220184, 'recall': 0.47058823529411764, 'f1-score': 0.5619223659889094, 'support': 323}, 'micro avg': {'precision': 0.6602167182662538, 'recall': 0.6602167182662538, 'f1-score': 0.6602167182662538, 'support': 1292}, 'macro avg': {'precision': 0.6610005097192608, 'recall': 0.6165460232119119, 'f1-score': 0.6297136680431642, 'support': 1292}, 'weighted avg': {'precision': 0.6623974933801831, 'recall': 0.6602167182662538, 'f1-score': 0.653242856074709, 'support': 1292}}",5.31
1,clf,svc-rbf,basic,ALL_NO_1_1_1,30_60,included,basic,0.50,"{'C': 1, 'gamma': 1}",0.51,0.26,0.00,0.51,0.00,311.00,658.00,323.00,"{'0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 311}, '1': {'precision': 0.5092879256965944, 'recall': 1.0, 'f1-score': 0.6748717948717948, 'support': 658}, '2': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 323}, 'micro avg': {'precision': 0.5092879256965944, 'recall': 0.5092879256965944, 'f1-score': 0.5092879256965944, 'support': 1292}, 'macro avg': {'precision': 0.1697626418988648, 'recall': 0.3333333333333333, 'f1-score': 0.22495726495726495, 'support': 1292}, 'weighted avg': {'precision': 0.2593741912603399, 'recall': 0.5092879256965944, 'f1-score': 0.34370405652139396, 'support': 1292}}",8.42
2,clf,dtree,basic,ALL_NO_1_1_1,30_60,included,basic,0.70,"{'max_depth': 2, 'min_samples_leaf': 10}",0.70,0.70,0.73,0.71,0.65,311.00,658.00,323.00,"{'0': {'precision': 0.7312925170068028, 'recall': 0.6913183279742765, 'f1-score': 0.7107438016528925, 'support': 311}, '1': {'precision': 0.7099697885196374, 'recall': 0.7142857142857143, 'f1-score': 0.7121212121212123, 'support': 658}, '2': {'precision': 0.6458333333333334, 'recall': 0.6718266253869969, 'f1-score': 0.6585735963581184, 'support': 323}, 'micro avg': {'precision': 0.6981424148606811, 'recall': 0.6981424148606811, 'f1-score': 0.6981424148606811, 'support': 1292}, 'macro avg': {'precision': 0.6956985462865912, 'recall': 0.6924768892156626, 'f1-score': 0.6938128700440744, 'support': 1292}, 'weighted avg': {'precision': 0.6990683129270154, 'recall': 0.6981424148606811, 'f1-score': 0.6984027488494423, 'support': 1292}}",0.48
3,clf,rforest,basic,ALL_NO_1_1_1,30_60,included,basic,0.70,"{'max_depth': 7, 'min_samples_leaf': 10, 'n_estimators': 100}",0.69,0.69,0.72,0.68,0.68,311.00,658.00,323.00,"{'0': {'precision': 0.7234848484848485, 'recall': 0.6141479099678456, 'f1-score': 0.6643478260869565, 'support': 311}, '1': {'precision': 0.6805369127516778, 'recall': 0.770516717325228, 'f1-score': 0.7227369921596579, 'support': 658}, '2': {'precision': 0.6819787985865724, 'recall': 0.5975232198142415, 'f1-score': 0.6369636963696369, 'support': 323}, 'micro avg': {'precision': 0.6896284829721362, 'recall': 0.6896284829721362, 'f1-score': 0.6896284829721362, 'support': 1292}, 'macro avg': {'precision': 0.695333519941033, 'recall': 0.660729282369105, 'f1-score': 0.6746828382054172, 'support': 1292}, 'weighted avg': {'precision': 0.6912354709077824, 'recall': 0.6896284829721362, 'f1-score': 0.6872386909299467, 'support': 1292}}",17.07
4,clf,xgb,basic,ALL_NO_1_1_1,30_60,included,basic,0.71,{'n_estimators': 50},0.70,0.70,0.72,0.69,0.69,311.00,658.00,323.00,"{'0': {'precision': 0.723404255319149, 'recall': 0.6559485530546624, 'f1-score': 0.688026981450253, 'support': 311}, '1': {'precision': 0.6934812760055479, 'recall': 0.7598784194528876, 'f1-score': 0.7251631617113851, 'support': 658}, '2': {'precision': 0.6885813148788927, 'recall': 0.6160990712074303, 'f1-score': 0.6503267973856208, 'support': 323}, 'micro avg': {'precision': 0.6989164086687306, 'recall': 0.6989164086687306, 'f1-score': 0.6989164086687306, 'support': 1292}, 'macro avg': {'precision': 0.7018222820678632, 'recall': 0.6773086812383268, 'f1-score': 0.6878389801824195, 'support': 1292}, 'weighted avg': {'precision': 0.699459108143799, 'recall': 0.6989164086687306, 'f1-score': 0.6975149436475817, 'support': 1292}}",0.76
5,clf,gboosting,basic,ALL_NO_1_1_1,30_60,included,basic,0.71,{'n_estimators': 10},0.70,0.70,0.74,0.69,0.69,311.00,658.00,323.00,"{'0': {'precision': 0.7352941176470589, 'recall': 0.6430868167202572, 'f1-score': 0.6861063464837049, 'support': 311}, '1': {'precision': 0.6908344733242134, 'recall': 0.7674772036474165, 'f1-score': 0.7271418286537076, 'support': 658}, '2': {'precision': 0.6885813148788927, 'recall': 0.6160990712074303, 'f1-score': 0.6503267973856208, 'support': 323}, 'micro avg': {'precision': 0.6996904024767802, 'recall': 0.6996904024767802, 'f1-score': 0.6996904024767802, 'support': 1292}, 'macro avg': {'precision': 0.704903301950055, 'recall': 0.675554363858368, 'f1-score': 0.6878583241743444, 'support': 1292}, 'weighted avg': {'precision': 0.7009731569206269, 'recall': 0.6996904024767802, 'f1-score': 0.6980603348035042, 'support': 1292}}",2.10
6,clf,ada,basic,ALL_NO_1_1_1,30_60,included,basic,0.69,{'n_estimators': 10},0.68,0.68,0.70,0.69,0.65,311.00,658.00,323.00,"{'0': {'precision': 0.7031802120141343, 'recall': 0.639871382636656, 'f1-score': 0.67003367003367, 'support': 311}, '1': {'precision': 0.6902654867256637, 'recall': 0.7112462006079028, 'f1-score': 0.7005988023952097, 'support': 658}, '2': {'precision': 0.649546827794562, 'recall': 0.6656346749226006, 'f1-score': 0.6574923547400613, 'support': 323}, 'micro avg': {'precision': 0.6826625386996904, 'recall': 0.6826625386996904, 'f1-score': 0.6826625386996904, 'support': 1292}, 'macro avg': {'precision': 0.6809975088447867, 'recall': 0.6722507527223865, 'f1-score': 0.6760416090563136, 'support': 1292}, 'weighted avg': {'precision': 0.6831945523061347, 'recall': 0.6826625386996904, 'f1-score': 0.6824647940693181, 'support': 1292}}",0.65
0,reg,kn,basic,ALL_NO_1_1_1,30_60,included,basic,18.89,{'n_neighbors': 11},,,,,,,,,19.07,4.84
1,reg,svr-rbf,basic,ALL_NO_1_1_1,30_60,included,basic,26.11,"{'C': 1, 'gamma': 1}",,,,,,,,,26.46,5.94
2,reg,dtree,basic,ALL_NO_1_1_1,30_60,included,basic,15.82,"{'max_depth': 4, 'min_samples_leaf': 10}",,,,,,,,,15.52,0.50
3,reg,rforest,basic,ALL_NO_1_1_1,30_60,included,basic,15.42,"{'max_depth': 4, 'min_samples_leaf': 10, 'n_estimators': 100}",,,,,,,,,15.09,46.70
4,reg,xgb,basic,ALL_NO_1_1_1,30_60,included,basic,15.39,{'n_estimators': 50},,,,,,,,,15.01,0.30
5,reg,gboosting,basic,ALL_NO_1_1_1,30_60,included,basic,15.39,{'n_estimators': 50},,,,,,,,,14.96,0.59
6,reg,ada,basic,ALL_NO_1_1_1,30_60,included,basic,16.85,{'n_estimators': 10},,,,,,,,,16.08,1.20
