,datetime,new_id,forecast_error_diff_deviation,forecast_error_diff_outlier_class,previous_error_diff_deviation,previous_error_diff_outlier_class,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,Low,Medium,year,week,weekday,num_news,volatility_60_0_before,pips_agg_60_0_before,pips_agg_0_30_after,direction_agg_0_30_after
0,2007-01-08 15:00:00,12,1.0,0,0.0,0,0,1,0,1,0,0,0,1,0,2007,2,0,1,14,4,-1,1
1,2007-01-09 10:00:00,37,0.0,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,2,1,1,20,-3,0,1
2,2007-01-10 08:30:00,68,1.0,0,0.0,0,0,1,0,1,0,0,1,0,0,2007,2,2,1,22,-13,-9,1
3,2007-01-10 10:00:00,31,1.0,0,0.0,0,0,0,1,0,1,0,0,1,0,2007,2,2,1,24,-15,-26,0
4,2007-01-10 10:30:00,18,-3.5,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,2,2,1,46,-37,8,1
5,2007-01-11 08:30:00,69,-21.0,0,0.0,0,0,1,0,1,0,0,0,1,0,2007,2,3,1,24,17,-50,0
6,2007-01-11 10:30:00,46,-4.0,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,2,3,1,46,-33,2,1
7,2007-01-12 08:30:00,17_60_41,3.0,0,0.0,0,0,3,0,3,0,0,2,0,1,2007,2,4,3,40,-10,-2,1
8,2007-01-12 10:00:00,5,0.0,0,0.0,0,1,0,0,0,1,0,0,0,1,2007,2,4,1,33,21,3,1
9,2007-01-12 14:00:00,25,1.0,0,0.0,0,0,1,0,1,0,0,0,0,1,2007,2,4,1,14,-5,-5,1
10,2007-01-16 08:30:00,21,-8.9,0,0.0,0,0,0,1,1,0,0,0,0,1,2007,3,1,1,28,-17,7,1
11,2007-01-17 08:30:00,49_16,2.0,0,0.0,0,0,2,0,2,0,0,1,0,1,2007,3,2,2,25,-10,2,1
12,2007-01-17 09:00:00,66,-14.1,0,0.0,0,0,0,1,0,1,0,1,0,0,2007,3,2,1,31,8,0,1
13,2007-01-17 09:15:00,9_42,1.0,0,0.0,0,1,1,0,0,0,2,0,0,2,2007,3,2,2,31,-2,13,2
14,2007-01-17 13:00:00,44,1.0,0,0.0,0,0,1,0,0,1,0,0,1,0,2007,3,2,1,14,2,-3,1
15,2007-01-18 08:30:00,69_13_4_8_36,-23.0,0,-1.0,0,2,3,0,5,0,0,1,1,3,2007,3,3,5,23,-4,-9,1
16,2007-01-18 10:30:00,18_46,-9.0,0,0.0,0,2,0,0,2,0,0,0,2,0,2007,3,3,2,28,-5,6,1
17,2007-01-18 12:00:00,53,1.0,0,0.0,0,0,1,0,1,0,0,0,0,1,2007,3,3,1,22,-12,14,2
18,2007-01-19 10:00:00,58,1.0,0,0.0,0,0,1,0,0,1,0,1,0,0,2007,3,4,1,23,-15,-10,0
19,2007-01-23 10:00:00,7_64,-2.0,0,0.0,0,0,1,1,1,0,1,0,2,0,2007,4,1,2,18,2,7,1
20,2007-01-24 10:30:00,18,-0.6,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,4,2,1,43,-27,4,1
21,2007-01-25 08:30:00,69,1.0,0,-1.0,0,0,0,1,1,0,0,0,1,0,2007,4,3,1,16,-2,-2,1
22,2007-01-25 10:00:00,23,-0.03,0,0.0,0,0,0,1,1,0,0,1,0,0,2007,4,3,1,25,9,-5,1
23,2007-01-25 10:30:00,46,-5.0,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,4,3,1,24,8,-5,1
24,2007-01-26 08:30:00,14_20,0.9,0,0.0,0,1,1,0,1,1,0,1,0,1,2007,4,4,2,23,-3,8,1
25,2007-01-26 10:00:00,47,1.0,0,0.0,0,0,1,0,0,1,0,1,0,0,2007,4,4,1,36,-24,13,2
26,2007-01-30 09:00:00,65,1.0,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,5,1,1,18,-11,-1,1
27,2007-01-30 10:00:00,6,-0.2,0,0.0,0,1,0,0,0,1,0,1,0,0,2007,5,1,1,16,-9,6,1
28,2007-01-31 08:15:00,0,1.0,0,0.0,0,0,1,0,0,1,0,0,0,1,2007,5,2,1,21,7,-10,0
29,2007-01-31 08:30:00,2_1_22,0.6000000000000001,0,0.0,0,0,1,2,2,1,0,1,0,2,2007,5,2,3,15,5,-25,0
30,2007-01-31 09:45:00,10,-3.2,0,0.0,0,0,0,1,1,0,0,0,0,1,2007,5,2,1,42,37,9,1
31,2007-01-31 10:00:00,11,-0.3,0,0.0,0,0,0,1,0,1,0,0,1,0,2007,5,2,1,31,18,31,2
32,2007-01-31 10:30:00,18,1.0,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,5,2,1,47,43,7,1
33,2007-01-31 14:15:00,26,0.0,0,0.0,0,1,0,0,1,0,0,1,0,0,2007,5,2,1,36,-1,16,2
34,2007-02-01 00:00:00,67,0.0,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,5,3,1,8,1,-1,1
35,2007-02-01 08:30:00,69_15_52_51,-8.1,0,1.0,0,2,1,1,4,0,0,1,2,1,2007,5,3,4,26,13,-8,1
36,2007-02-01 10:00:00,38_50_39,-0.2999999999999998,0,0.0,0,0,2,1,2,1,0,2,1,0,2007,5,3,3,33,16,-4,1
37,2007-02-01 10:30:00,46,1.0,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,5,3,1,33,9,-10,0
38,2007-02-02 08:30:00,48_70_3,-34.2,0,0.0,0,0,0,3,1,1,1,2,0,1,2007,5,4,3,45,16,3,1
39,2007-02-02 10:00:00,24_63,-0.10000000000000009,0,0.0,0,0,1,1,1,1,0,0,0,2,2007,5,4,2,48,-29,-12,0
40,2007-02-05 10:00:00,40,1.0,0,0.0,0,0,1,0,1,0,0,1,0,0,2007,6,0,1,21,-14,9,1
41,2007-02-07 08:30:00,56_57,0.6,0,0.0,0,0,0,2,0,0,2,0,0,2,2007,6,2,2,19,6,0,1
