,datetime,new_id,forecast_error_diff_deviation,forecast_error_diff_outlier_class,previous_error_diff_deviation,previous_error_diff_outlier_class,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,Low,Medium,year,week,weekday,num_news,volatility_60_0_before,pips_agg_60_0_before,pips_candle_max_0_30_after,reaction_max_0_30_after
0,2007-01-08 15:00:00,12,1.0,0,0.0,0,0,1,0,1,0,0,0,1,0,2007,2,0,1,14,-2,3,0
1,2007-01-09 10:00:00,37,0.0,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,2,1,1,20,-14,7,0
2,2007-01-10 08:30:00,68,1.0,0,0.0,0,0,1,0,1,0,0,1,0,0,2007,2,2,1,22,-12,11,0
3,2007-01-10 10:00:00,31,1.0,0,0.0,0,0,0,1,0,1,0,0,1,0,2007,2,2,1,24,-13,0,0
4,2007-01-10 10:30:00,18,1.0,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,2,2,1,46,-36,12,0
5,2007-01-11 08:30:00,69,1.0,0,0.0,0,0,1,0,1,0,0,0,1,0,2007,2,3,1,24,17,9,0
6,2007-01-11 10:30:00,46,1.0,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,2,3,1,46,-34,1,0
7,2007-01-12 10:00:00,5,0.0,0,0.0,0,1,0,0,0,1,0,0,0,1,2007,2,4,1,33,21,17,0
8,2007-01-12 14:00:00,25,1.0,0,0.0,0,0,1,0,1,0,0,0,0,1,2007,2,4,1,14,-6,2,0
9,2007-01-16 08:30:00,21,1.0,0,0.0,0,0,0,1,1,0,0,0,0,1,2007,3,1,1,28,-20,1,0
10,2007-01-17 09:00:00,66,1.0,0,0.0,0,0,0,1,0,1,0,1,0,0,2007,3,2,1,31,3,11,0
11,2007-01-17 13:00:00,44,1.0,0,0.0,0,0,1,0,0,1,0,0,1,0,2007,3,2,1,14,-1,6,0
12,2007-01-18 12:00:00,53,1.0,0,0.0,0,0,1,0,1,0,0,0,0,1,2007,3,3,1,22,-10,6,0
13,2007-01-19 10:00:00,58,1.0,0,0.0,0,0,1,0,0,1,0,1,0,0,2007,3,4,1,23,-19,4,0
14,2007-01-24 10:30:00,18,1.0,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,4,2,1,43,-25,9,0
15,2007-01-25 08:30:00,69,1.0,0,1.0,0,0,0,1,1,0,0,0,1,0,2007,4,3,1,16,-4,4,0
16,2007-01-25 10:00:00,23,1.0,0,0.0,0,0,0,1,1,0,0,1,0,0,2007,4,3,1,25,1,4,0
17,2007-01-25 10:30:00,46,1.0,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,4,3,1,24,9,6,0
18,2007-01-26 10:00:00,47,1.0,0,0.0,0,0,1,0,0,1,0,1,0,0,2007,4,4,1,36,-27,13,0
19,2007-01-30 09:00:00,65,1.0,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,5,1,1,18,-15,5,0
20,2007-01-30 10:00:00,6,1.0,0,0.0,0,1,0,0,0,1,0,1,0,0,2007,5,1,1,16,-10,6,0
21,2007-01-31 08:15:00,0,1.0,0,0.0,0,0,1,0,0,1,0,0,0,1,2007,5,2,1,21,12,6,0
22,2007-01-31 09:45:00,10,1.0,0,0.0,0,0,0,1,1,0,0,0,0,1,2007,5,2,1,42,30,17,0
23,2007-01-31 10:00:00,11,1.0,0,0.0,0,0,0,1,0,1,0,0,1,0,2007,5,2,1,31,24,36,1
24,2007-01-31 10:30:00,18,1.0,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,5,2,1,47,48,27,1
