,datetime,new_id,forecast_error_diff_deviation,forecast_error_diff_outlier_class,previous_error_diff_deviation,previous_error_diff_outlier_class,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,year,week,weekday,num_news,volatility_60_0_before,pips_agg_60_0_before,pips_candle_min_0_30_after,reaction_min_0_30_after
0,2007-01-10 08:30:00,31,1.0,0,0.0,0,0,1,0,1,0,0,1,2007,2,2,1,22,-12,-11,0
1,2007-01-12 08:30:00,10_29,2.0,0,0.0,0,0,2,0,2,0,0,2,2007,2,4,2,40,-7,-17,0
2,2007-01-17 08:30:00,23,1.0,0,0.0,0,0,1,0,1,0,0,1,2007,3,2,1,25,-8,-8,0
3,2007-01-17 09:00:00,30,1.0,0,0.0,0,0,0,1,0,1,0,1,2007,3,2,1,31,3,-14,0
4,2007-01-18 08:30:00,7,0.0,0,0.0,0,1,0,0,1,0,0,1,2007,3,3,1,23,-1,-7,0
5,2007-01-19 10:00:00,28,1.0,0,0.0,0,0,1,0,0,1,0,1,2007,3,4,1,23,-19,-14,0
6,2007-01-25 10:00:00,14,1.0,0,0.0,0,0,0,1,1,0,0,1,2007,4,3,1,25,1,-10,0
7,2007-01-26 08:30:00,8,1.0,0,0.0,0,0,1,0,1,0,0,1,2007,4,4,1,23,-5,-11,0
8,2007-01-26 10:00:00,21,1.0,0,0.0,0,0,1,0,0,1,0,1,2007,4,4,1,36,-27,-16,0
9,2007-01-30 10:00:00,4,1.0,0,0.0,0,1,0,0,0,1,0,1,2007,5,1,1,16,-10,-6,0
10,2007-01-31 08:30:00,1,1.0,0,0.0,0,0,1,0,0,1,0,1,2007,5,2,1,15,10,-27,1
11,2007-01-31 14:15:00,15,0.0,0,0.0,0,1,0,0,1,0,0,1,2007,5,2,1,36,0,-22,1
12,2007-02-01 08:30:00,9,1.0,0,0.0,0,0,0,1,1,0,0,1,2007,5,3,1,26,9,-14,0
13,2007-02-01 10:00:00,17_24,2.0,0,0.0,0,0,1,1,1,1,0,2,2007,5,3,2,33,17,-10,0
14,2007-02-02 08:30:00,22_33,2.0,0,0.0,0,0,0,2,1,1,0,2,2007,5,4,2,45,17,-13,0
15,2007-02-05 10:00:00,18,1.0,0,0.0,0,0,1,0,1,0,0,1,2007,6,0,1,21,-14,0,0
16,2007-02-13 08:30:00,31,1.0,0,1.0,0,0,0,1,1,0,0,1,2007,7,1,1,23,14,-2,0
17,2007-02-14 08:30:00,10_29,2.0,0,2.0,0,0,0,2,0,2,0,2,2007,7,2,2,20,9,-10,0
18,2007-02-15 09:00:00,30,1.0,0,1.0,0,0,0,1,0,1,0,1,2007,7,3,1,28,5,-10,0
