,datetime,new_id,forecast_error_diff_deviation,forecast_error_diff_outlier_class,previous_error_diff_deviation,previous_error_diff_outlier_class,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,year,week,weekday,num_news,volatility_0_5_after,pips_candle_0_5_after,volatility_5_10_after,pips_candle_5_10_after,volatility_10_15_after,pips_candle_10_15_after,volatility_15_20_after,pips_candle_15_20_after,volatility_20_25_after,pips_candle_20_25_after,volatility_25_30_after,pips_candle_25_30_after,volatility_30_60_after,pips_candle_30_60_after,pips_candle_max_30_60_after,pips_candle_min_30_60_after,volatility_60_0_before,pips_agg_60_0_before,pips_candle_max_60_240_after,reaction_max_60_240_after
0,2007-01-10 08:30:00,31,1.0,0,0.0,0,0,1,0,1,0,0,1,2007,2,2,1,13,-7,7,-3,10,7,10,-8,10,7,6,0,13,-8,3,-10,22,-12,6,0
1,2007-01-17 08:30:00,23,1.0,0,0.0,0,0,1,0,1,0,0,1,2007,3,2,1,13,-5,6,1,7,7,7,3,7,-6,5,2,25,5,11,-14,25,-8,29,0
2,2007-01-17 09:00:00,30,1.0,0,0.0,0,0,0,1,0,1,0,1,2007,3,2,1,12,-3,5,-1,9,-7,7,-3,13,11,5,2,21,15,19,-2,31,3,22,0
3,2007-01-18 08:30:00,7,0.0,0,0.0,0,1,0,0,1,0,0,1,2007,3,3,1,19,-12,12,7,7,3,6,-2,8,-2,9,6,30,22,29,-1,23,-1,7,0
4,2007-01-19 10:00:00,28,1.0,0,0.0,0,0,1,0,0,1,0,1,2007,3,4,1,10,-2,10,-3,6,-2,5,-1,7,-2,8,-5,31,24,25,-6,23,-19,26,0
5,2007-01-25 10:00:00,14,1.0,0,0.0,0,0,0,1,1,0,0,1,2007,4,3,1,8,-1,13,-11,6,-2,5,4,4,-1,8,6,9,-1,6,-3,25,1,11,0
6,2007-01-26 08:30:00,8,1.0,0,0.0,0,0,1,0,1,0,0,1,2007,4,4,1,20,-1,12,10,7,-6,7,-3,11,6,16,15,14,-8,4,-10,23,-5,19,0
7,2007-01-26 10:00:00,21,1.0,0,0.0,0,0,1,0,0,1,0,1,2007,4,4,1,19,6,6,-2,6,-4,4,1,10,7,7,2,15,-8,7,-8,36,-27,25,0
8,2007-01-30 10:00:00,4,1.0,0,0.0,0,1,0,0,0,1,0,1,2007,5,1,1,7,5,5,-2,5,3,3,0,7,-4,7,-3,12,1,6,-6,16,-10,7,0
9,2007-01-31 08:30:00,1,1.0,0,0.0,0,0,1,0,0,1,0,1,2007,5,2,1,11,0,12,-9,6,-4,9,-7,5,-1,8,7,11,7,7,-4,15,10,69,1
10,2007-01-31 14:15:00,15,0.0,0,0.0,0,1,0,0,1,0,0,1,2007,5,2,1,33,18,8,-2,14,2,6,1,9,2,10,-2,18,-6,7,-11,36,0,8,0
11,2007-02-01 08:30:00,9,1.0,0,0.0,0,0,0,1,1,0,0,1,2007,5,3,1,7,4,6,-4,6,0,4,0,8,-4,4,1,14,5,9,-5,26,9,29,0
12,2007-02-05 10:00:00,18,1.0,0,0.0,0,0,1,0,1,0,0,1,2007,6,0,1,9,-4,13,8,5,-1,5,4,7,-1,5,4,15,-5,6,-9,21,-14,15,0
13,2007-02-13 08:30:00,31,1.0,0,1.0,0,0,0,1,1,0,0,1,2007,7,1,1,12,-4,17,15,9,-3,7,-5,3,0,7,-5,17,-4,9,-8,23,14,10,0
14,2007-02-15 09:00:00,30,1.0,0,1.0,0,0,0,1,0,1,0,1,2007,7,3,1,18,7,19,16,11,-6,10,3,10,1,8,-6,11,-4,2,-9,28,5,11,0
15,2007-02-16 08:30:00,23,0.0,0,0.0,0,1,0,0,1,0,0,1,2007,7,4,1,13,7,7,3,20,-18,10,-7,10,4,11,6,17,0,6,-11,25,-1,35,1
16,2007-02-16 10:00:00,28,1.0,0,1.0,0,0,0,1,0,0,1,1,2007,7,4,1,15,-8,7,4,4,1,4,-2,3,0,4,0,10,8,8,-2,26,14,19,0
17,2007-02-21 08:30:00,7,1.0,0,1.0,0,0,1,0,0,0,1,1,2007,8,2,1,26,-6,19,-17,10,7,4,-2,8,-6,5,3,15,3,11,-4,31,12,19,0
18,2007-02-27 08:30:00,8,1.0,0,1.0,0,0,0,1,0,1,0,1,2007,9,1,1,13,6,6,-1,6,3,11,-7,6,-3,12,7,9,-3,3,-6,32,20,22,0
19,2007-02-28 08:30:00,26,1.0,0,0.0,0,0,0,1,1,0,0,1,2007,9,2,1,14,-6,15,11,8,-3,9,3,11,-9,7,1,14,-8,2,-12,26,19,26,0
20,2007-02-28 10:00:00,21,1.0,0,1.0,0,0,0,1,0,1,0,1,2007,9,2,1,6,0,6,0,3,0,6,2,5,1,14,-10,24,20,20,-4,20,0,27,0
21,2007-03-01 08:30:00,9,1.0,0,0.0,0,0,1,0,1,0,0,1,2007,9,3,1,8,3,9,3,9,-2,6,-3,5,0,7,2,12,1,6,-6,19,1,6,0
22,2007-03-01 10:00:00,17,1.0,0,0.0,0,0,1,0,1,0,0,1,2007,9,3,1,17,-9,8,2,8,-6,22,-18,15,13,10,-7,20,-12,7,-13,40,-13,33,1
23,2007-03-05 10:00:00,18,1.0,0,0.0,0,0,0,1,1,0,0,1,2007,10,0,1,14,11,11,-5,7,2,7,-2,2,2,7,0,18,-14,3,-15,40,17,6,0
24,2007-03-06 10:00:00,24,1.0,0,1.0,0,0,0,1,0,0,1,1,2007,10,1,1,6,-2,10,-5,5,3,4,1,4,1,6,-3,12,2,7,-5,18,11,10,0
25,2007-03-15 08:30:00,23,1.0,0,0.0,0,0,1,0,1,0,0,1,2007,11,3,1,30,15,9,-3,8,-4,7,2,6,3,5,-5,26,6,17,-9,30,-3,27,0
26,2007-03-15 09:00:00,30,1.0,0,1.0,0,0,1,0,1,0,0,1,2007,11,3,1,14,8,13,11,8,-6,5,0,15,7,7,-3,12,0,6,-6,30,-3,27,0
27,2007-03-16 08:30:00,7,0.0,0,0.0,0,1,0,0,1,0,0,1,2007,11,4,1,10,1,8,2,10,4,8,-3,6,-2,5,0,17,-10,3,-14,14,-4,10,0
28,2007-03-16 10:00:00,28,1.0,0,1.0,0,0,0,1,0,0,1,1,2007,11,4,1,8,-3,5,2,4,-1,7,-3,4,3,4,-2,10,-1,8,-2,23,-5,8,0
29,2007-03-21 14:15:00,15,0.0,0,0.0,0,1,0,0,1,0,0,1,2007,12,2,1,41,25,38,37,25,-13,21,14,15,-8,12,9,18,-2,9,-9,49,3,18,0
30,2007-03-23 10:00:00,14,1.0,0,1.0,0,0,1,0,1,0,0,1,2007,12,4,1,16,-11,9,5,9,-7,14,-11,11,-2,6,0,21,-13,5,-16,29,-8,15,0
31,2007-03-26 10:00:00,21,1.0,0,1.0,0,0,0,1,0,0,1,1,2007,13,0,1,21,17,14,12,4,-1,10,6,6,6,7,2,11,-5,4,-7,53,30,5,0
32,2007-03-27 10:00:00,4,1.0,0,1.0,0,0,0,1,0,0,1,1,2007,13,1,1,11,-6,6,-1,8,6,16,12,8,3,3,-2,25,-4,6,-19,17,2,10,0
33,2007-03-28 08:30:00,8,1.0,0,1.0,0,0,0,1,0,0,1,1,2007,13,2,1,20,11,6,-1,3,-1,6,5,3,-2,10,-7,11,3,3,-8,22,2,17,0
34,2007-03-30 08:30:00,9,1.0,0,1.0,0,0,1,0,0,0,1,1,2007,13,4,1,7,-4,29,-28,11,9,7,3,8,4,5,4,10,1,3,-7,20,16,82,1
35,2007-04-02 10:00:00,17,1.0,0,0.0,0,0,0,1,1,0,0,1,2007,14,0,1,12,7,5,1,4,0,10,-8,3,3,2,-2,16,11,12,-4,15,-7,10,0
36,2007-04-03 10:00:00,24,1.0,0,1.0,0,0,1,0,1,0,0,1,2007,14,1,1,5,-3,10,8,4,0,8,-6,2,0,3,1,7,5,5,-2,12,1,6,0
37,2007-04-04 08:15:00,0,1.0,0,1.0,0,0,0,1,0,1,0,1,2007,14,2,1,7,6,3,2,3,0,2,-1,9,-9,6,-2,17,5,15,-2,12,4,27,0
38,2007-04-04 10:00:00,18,1.0,0,0.0,0,0,0,1,1,0,0,1,2007,14,2,1,13,9,10,-2,5,0,8,7,5,-1,5,0,17,3,8,-9,20,-3,5,0
39,2007-04-13 10:00:00,28,1.0,0,1.0,0,0,0,1,1,0,0,1,2007,15,4,1,16,-1,5,-4,5,0,8,6,8,-5,7,4,36,-24,6,-30,20,2,24,0
40,2007-04-16 09:00:00,30,1.0,0,1.0,0,0,0,1,1,0,0,1,2007,16,0,1,17,-3,3,-1,6,3,2,0,3,-2,9,-7,11,3,6,-5,21,2,12,0
41,2007-04-17 08:30:00,7,1.0,0,0.0,0,0,0,1,1,0,0,1,2007,16,1,1,23,16,8,0,16,15,18,15,11,-7,4,-1,13,0,10,-3,27,2,3,0
42,2007-04-25 08:30:00,8,1.0,0,1.0,0,0,1,0,0,0,1,1,2007,17,2,1,12,-8,13,-8,11,3,3,0,5,5,3,1,8,0,2,-6,21,-1,27,0
43,2007-04-25 10:00:00,21,1.0,0,1.0,0,0,0,1,0,0,1,1,2007,17,2,1,16,16,6,-1,13,9,9,-5,11,-1,5,-1,8,1,2,-6,24,0,3,0
44,2007-04-27 08:30:00,1,1.0,0,1.0,0,0,0,1,0,0,1,1,2007,17,4,1,34,29,14,-9,11,-1,12,-6,9,4,8,1,15,2,9,-6,43,8,7,0
45,2007-04-30 08:30:00,9,1.0,0,0.0,0,0,0,1,1,0,0,1,2007,18,0,1,9,-2,6,-2,8,7,8,7,3,-3,4,-1,15,13,13,-2,22,4,44,1
46,2007-05-02 08:15:00,0,1.0,0,1.0,0,0,0,1,0,0,1,1,2007,18,2,1,7,4,5,0,3,-2,4,-1,4,3,3,-1,17,13,14,-3,25,12,15,0
47,2007-05-03 10:00:00,18,1.0,0,0.0,0,0,1,0,1,0,0,1,2007,18,3,1,16,-12,7,4,6,1,4,-3,12,-9,6,4,12,6,10,-2,36,-18,6,0
48,2007-05-09 14:15:00,15,0.0,0,0.0,0,1,0,0,1,0,0,1,2007,19,2,1,28,-27,9,3,8,2,8,-1,6,-3,6,-3,10,-2,2,-8,29,7,2,0
49,2007-05-10 08:30:00,31,1.0,0,1.0,0,0,0,1,1,0,0,1,2007,19,3,1,14,12,16,-12,7,5,7,-4,21,-20,5,1,22,-11,4,-18,19,1,8,0
50,2007-05-15 08:30:00,7,0.0,0,0.0,0,1,0,0,1,0,0,1,2007,20,1,1,22,18,9,-7,6,5,4,-2,5,-2,3,0,18,-6,12,-6,32,6,64,1
51,2007-05-15 09:00:00,30,1.0,0,0.0,0,0,0,1,1,0,0,1,2007,20,1,1,13,-9,8,-2,3,2,2,1,3,-2,5,-4,10,2,7,-3,30,20,59,1
52,2007-05-18 10:00:00,28,1.0,0,1.0,0,0,1,0,0,1,0,1,2007,20,4,1,9,-7,6,3,14,11,6,-4,7,4,9,7,13,0,5,-8,10,5,18,0
53,2007-05-24 08:30:00,8,1.0,0,1.0,0,0,1,0,0,0,1,1,2007,21,3,1,11,-10,6,-3,5,5,4,3,2,-1,9,4,15,14,14,-1,19,9,7,0
54,2007-05-24 10:00:00,21,1.0,0,1.0,0,0,1,0,0,0,1,1,2007,21,3,1,22,-19,9,-5,9,-2,5,-1,7,3,2,0,20,15,16,-4,33,2,15,0
55,2007-05-25 10:00:00,14,1.0,0,1.0,0,0,0,1,0,1,0,1,2007,21,4,1,8,4,23,17,6,-4,8,4,3,0,6,-1,14,-12,2,-12,10,-6,4,0
56,2007-05-29 10:00:00,4,1.0,0,1.0,0,0,1,0,0,1,0,1,2007,22,1,1,13,-11,4,-2,3,3,1,0,5,-4,6,-5,11,-7,3,-8,17,-1,7,0
57,2007-05-30 08:15:00,0,1.0,0,1.0,0,0,0,1,1,0,0,1,2007,22,2,1,5,4,6,-1,2,0,4,1,4,-2,3,-1,13,6,10,-3,23,-10,17,0
58,2007-05-31 08:30:00,26,1.0,0,1.0,0,0,0,1,1,0,0,1,2007,22,3,1,8,2,6,2,5,0,3,1,6,-4,4,2,5,-4,1,-4,29,17,2,0
59,2007-06-05 10:00:00,18,1.0,0,0.0,0,0,1,0,1,0,0,1,2007,23,1,1,10,3,3,1,4,0,6,-3,12,-5,3,-1,13,12,12,-1,24,-20,10,0
60,2007-06-08 08:30:00,31,2.06,1,7.8,3,0,1,0,0,1,0,1,2007,23,4,1,12,-9,7,0,11,-9,3,2,3,-1,6,-5,29,4,18,-11,33,23,11,0
61,2007-06-14 08:30:00,23,0.86,0,0.0,0,0,1,0,1,0,0,1,2007,24,3,1,17,-16,14,13,17,12,6,-5,6,-6,5,-3,7,1,2,-5,32,-11,20,0
62,2007-06-15 08:30:00,7,-1.41,3,0.0,0,0,0,1,1,0,0,1,2007,24,4,1,17,-4,13,7,11,9,9,8,8,-4,7,1,26,13,22,-4,27,10,26,0
63,2007-06-15 09:00:00,30,0.35,1,-2.13,3,0,1,0,0,0,1,1,2007,24,4,1,9,2,4,-2,4,2,18,16,10,-7,3,-1,21,-14,3,-18,31,22,34,1
64,2007-06-15 10:00:00,28,-1.33,1,-0.28,0,0,0,1,1,0,0,1,2007,24,4,1,11,8,9,-6,5,5,3,0,6,0,5,4,18,14,14,-4,29,1,24,0
65,2007-06-25 10:00:00,14,0.1,0,-0.69,1,0,1,0,1,0,0,1,2007,26,0,1,7,1,3,1,7,-6,4,4,3,0,3,1,17,-14,2,-15,8,3,10,0
66,2007-06-27 08:30:00,8,-0.6,0,1.61,1,0,0,1,0,1,0,1,2007,26,2,1,8,2,5,-2,5,-1,7,-6,7,5,6,-6,11,3,7,-4,22,3,5,0
67,2007-06-28 14:15:00,15,0.0,0,0.0,0,1,0,0,1,0,0,1,2007,26,3,1,12,4,8,4,5,1,7,-4,5,-4,3,0,13,-8,4,-9,17,-15,22,0
68,2007-06-29 08:30:00,9,0.0,0,0.0,0,1,0,0,1,0,0,1,2007,26,4,1,9,-6,6,3,7,-3,3,1,4,3,2,1,12,-7,1,-11,22,16,11,0
69,2007-07-02 10:00:00,17,0.43,0,0.0,0,0,1,0,1,0,0,1,2007,27,0,1,6,-1,2,-1,13,10,8,4,5,-1,8,8,15,5,7,-8,10,-4,11,0
70,2007-07-03 10:00:00,24,-1.28,1,-0.58,1,0,0,1,0,0,1,1,2007,27,1,1,8,-5,7,-6,7,7,4,-3,2,1,7,-5,13,10,10,-3,13,-1,7,0
71,2007-07-05 10:00:00,18,0.79,0,0.0,0,0,1,0,1,0,0,1,2007,27,3,1,8,-8,9,4,5,-1,12,-10,11,5,6,-4,21,12,13,-8,27,-19,8,0
72,2007-07-12 08:30:00,31,0.0,0,-0.25,0,1,0,0,1,0,0,1,2007,28,3,1,9,7,5,2,17,-14,6,5,17,-16,6,3,22,18,19,-3,11,2,11,0
73,2007-07-13 10:00:00,28,2.41,2,1.14,3,0,1,0,0,1,0,1,2007,28,4,1,9,-9,10,6,4,2,3,3,3,0,2,-1,25,-15,7,-18,23,1,16,0
74,2007-07-17 08:30:00,23,-1.15,3,0.0,0,0,0,1,1,0,0,1,2007,29,1,1,11,0,3,1,14,13,4,-3,3,-2,2,-1,9,-4,5,-4,14,1,10,0
75,2007-07-17 09:00:00,30,1.55,2,-0.33,2,0,1,0,0,0,1,1,2007,29,1,1,4,-3,5,3,4,-2,3,-1,3,2,4,-4,12,4,9,-3,21,13,5,0
76,2007-07-18 08:30:00,7,0.0,0,0.0,0,1,0,0,1,0,0,1,2007,29,2,1,11,-11,12,-9,10,1,9,2,7,6,7,-3,17,14,14,-3,19,1,40,1
77,2007-07-25 10:00:00,14,-0.39,1,-0.31,0,0,0,1,1,0,0,1,2007,30,2,1,17,-2,22,-11,11,5,10,-3,10,0,11,0,22,-10,6,-16,27,-9,8,0
78,2007-07-26 08:30:00,8,-0.62,0,0.9,1,0,0,1,0,1,0,1,2007,30,3,1,15,-1,9,0,9,-1,9,-2,9,-4,9,2,17,-3,8,-9,41,25,49,1
79,2007-07-26 10:00:00,21,-0.61,0,-0.86,0,0,0,1,0,0,1,1,2007,30,3,1,21,11,19,-10,13,0,8,-2,13,5,12,-5,18,-8,8,-10,39,6,57,1
80,2007-07-27 08:30:00,1,1.0,0,1.0,0,0,1,0,0,0,1,1,2007,30,4,1,14,3,18,10,10,4,10,0,12,-4,12,-7,18,2,13,-5,23,8,9,0
81,2007-07-31 08:30:00,9,-1.0,0,0.0,0,0,0,1,1,0,0,1,2007,31,1,1,10,-1,9,-3,10,-4,7,-1,8,-3,10,2,16,-3,5,-11,22,12,8,0
82,2007-07-31 10:00:00,4,2.78,2,1.05,1,0,1,0,0,1,0,1,2007,31,1,1,10,-2,9,-5,12,-7,12,-2,12,-1,12,-1,16,-8,6,-10,20,-5,17,0
83,2007-08-03 10:00:00,18,-1.11,1,0.0,0,0,0,1,1,0,0,1,2007,31,4,1,11,-1,10,-3,9,0,9,3,20,13,21,15,16,-7,6,-10,39,40,30,0
84,2007-08-07 14:15:00,15,0.0,0,0.0,0,1,0,0,1,0,0,1,2007,32,1,1,19,-2,13,7,17,8,15,8,17,8,10,-8,18,0,6,-12,20,1,3,0
85,2007-08-15 08:30:00,7,0.0,0,0.0,0,1,0,0,1,0,0,1,2007,33,2,1,11,-4,9,2,8,-3,11,1,17,-10,13,5,21,11,17,-4,19,6,35,1
86,2007-08-15 09:00:00,30,1.66,1,-0.01,0,0,1,0,1,0,0,1,2007,33,2,1,12,-4,15,2,16,9,12,1,14,-8,12,6,40,7,29,-11,25,-7,29,0
87,2007-08-17 10:00:00,28,-1.2,1,-1.26,1,0,0,1,0,0,1,1,2007,33,4,1,14,11,10,4,8,3,9,-3,13,5,9,1,41,-1,33,-8,36,-5,15,0
88,2007-08-24 08:30:00,8,2.59,1,-0.71,1,0,1,0,0,0,1,1,2007,34,4,1,12,-7,24,9,14,-1,14,3,16,8,12,3,35,-20,5,-30,26,1,39,1
89,2007-08-24 10:00:00,21,0.46,1,0.58,1,0,1,0,0,1,0,1,2007,34,4,1,15,11,16,3,13,-9,13,6,13,-3,12,-2,17,2,9,-8,37,-1,49,1
90,2007-08-27 10:00:00,14,0.0,0,-0.48,0,1,0,0,1,0,0,1,2007,35,0,1,12,-2,11,0,8,-3,7,-1,6,1,6,1,21,-5,6,-15,16,1,21,0
91,2007-08-28 10:00:00,4,-0.05,0,-0.52,1,1,0,0,0,0,1,1,2007,35,1,1,10,2,16,-11,11,3,11,-2,13,-6,13,2,16,-5,6,-10,23,-12,12,0
92,2007-08-30 08:30:00,26,0.0,0,1.0,0,1,0,0,1,0,0,1,2007,35,3,1,14,2,15,-7,11,3,11,5,16,4,9,1,16,-5,6,-10,39,25,39,1
93,2007-08-31 08:30:00,9,-1.12,0,2.24,3,0,0,1,0,1,0,1,2007,35,4,1,8,0,11,-3,9,0,10,-1,13,-5,10,1,19,-6,8,-11,28,30,5,0
94,2007-09-04 10:00:00,17,-0.14,0,0.0,0,1,0,0,1,0,0,1,2007,36,1,1,12,-3,11,3,8,0,11,-5,8,2,14,-6,30,24,26,-4,27,16,30,0
95,2007-09-05 10:00:00,24,-2.3,1,0.0,0,0,0,1,1,0,0,1,2007,36,2,1,11,4,32,24,37,30,14,-3,11,0,13,2,18,8,12,-6,25,12,18,0
96,2007-09-06 10:00:00,18,0.37,0,0.0,0,0,1,0,1,0,0,1,2007,36,3,1,11,-7,11,1,16,6,12,3,11,-3,12,-2,31,22,23,-8,29,25,11,0
97,2007-09-11 08:30:00,31,-0.06,0,-1.55,2,1,0,0,0,0,1,1,2007,37,1,1,15,-10,8,3,9,2,12,2,7,1,6,3,20,7,9,-11,20,1,14,0
98,2007-09-14 10:00:00,28,-0.06,0,-0.06,0,1,0,0,1,0,0,1,2007,37,4,1,11,0,14,-8,20,-14,12,-3,10,0,13,7,18,6,6,-12,22,2,4,0
99,2007-09-18 08:30:00,23,-3.49,3,0.0,0,0,0,1,1,0,0,1,2007,38,1,1,16,8,19,8,14,-6,9,-1,6,1,7,-2,22,-14,4,-18,28,8,9,0
100,2007-09-18 09:00:00,30,-2.23,1,-3.41,3,0,0,1,0,0,1,1,2007,38,1,1,20,12,10,-3,11,2,9,-2,10,-5,9,-2,13,0,9,-4,35,17,7,0
