,model_type,model,direction,sweeps_market_variables,sweep_news_agg,sweep_buy_sell,before_data,sweep_grid,best_score,best_params,f1_microavg,precision_weighted,precision_below_TH,recall_below_TH,precision_above_TH,recall_above_TH,support_below_TH,support_above_TH,report,elapsed_time
0,clf,kn,max,basic,High_YES_1_1_1,0_30,included,basic,0.71,{'n_neighbors': 41},0.71,0.71,0.70,0.93,0.73,0.32,246.00,143.00,"{'0': {'precision': 0.7024539877300614, 'recall': 0.9308943089430894, 'f1-score': 0.8006993006993007, 'support': 246}, '1': {'precision': 0.7301587301587301, 'recall': 0.32167832167832167, 'f1-score': 0.44660194174757273, 'support': 143}, 'micro avg': {'precision': 0.7069408740359897, 'recall': 0.7069408740359897, 'f1-score': 0.7069408740359897, 'support': 389}, 'macro avg': {'precision': 0.7163063589443958, 'recall': 0.6262863153107056, 'f1-score': 0.6236506212234367, 'support': 389}, 'weighted avg': {'precision': 0.7126385074403433, 'recall': 0.7069408740359897, 'f1-score': 0.6705298345550923, 'support': 389}}",0.14
1,clf,svc-rbf,max,basic,High_YES_1_1_1,0_30,included,basic,0.67,"{'C': 1, 'gamma': 1}",0.63,0.40,0.63,1.00,0.00,0.00,246.00,143.00,"{'0': {'precision': 0.6323907455012854, 'recall': 1.0, 'f1-score': 0.7748031496062993, 'support': 246}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 143}, 'micro avg': {'precision': 0.6323907455012854, 'recall': 0.6323907455012854, 'f1-score': 0.6323907455012854, 'support': 389}, 'macro avg': {'precision': 0.3161953727506427, 'recall': 0.5, 'f1-score': 0.38740157480314963, 'support': 389}, 'weighted avg': {'precision': 0.39991805499567146, 'recall': 0.6323907455012854, 'f1-score': 0.4899783413962715, 'support': 389}}",0.16
2,clf,dtree,max,basic,High_YES_1_1_1,0_30,included,basic,0.71,"{'max_depth': 2, 'min_samples_leaf': 150}",0.70,0.72,0.69,0.95,0.76,0.27,246.00,143.00,"{'0': {'precision': 0.6902654867256637, 'recall': 0.9512195121951219, 'f1-score': 0.7999999999999999, 'support': 246}, '1': {'precision': 0.76, 'recall': 0.26573426573426573, 'f1-score': 0.39378238341968913, 'support': 143}, 'micro avg': {'precision': 0.699228791773779, 'recall': 0.699228791773779, 'f1-score': 0.699228791773779, 'support': 389}, 'macro avg': {'precision': 0.7251327433628318, 'recall': 0.6084768889646939, 'f1-score': 0.5968911917098445, 'support': 389}, 'weighted avg': {'precision': 0.7159005391632732, 'recall': 0.699228791773779, 'f1-score': 0.6506706448046671, 'support': 389}}",0.03
3,clf,rforest,max,basic,High_YES_1_1_1,0_30,included,basic,0.72,"{'max_depth': 7, 'min_samples_leaf': 10, 'n_estimators': 100}",0.71,0.73,0.71,0.94,0.76,0.33,246.00,143.00,"{'0': {'precision': 0.7064220183486238, 'recall': 0.9390243902439024, 'f1-score': 0.806282722513089, 'support': 246}, '1': {'precision': 0.7580645161290323, 'recall': 0.32867132867132864, 'f1-score': 0.4585365853658537, 'support': 143}, 'micro avg': {'precision': 0.7146529562982005, 'recall': 0.7146529562982005, 'f1-score': 0.7146529562982006, 'support': 389}, 'macro avg': {'precision': 0.732243267238828, 'recall': 0.6338478594576156, 'f1-score': 0.6324096539394714, 'support': 389}, 'weighted avg': {'precision': 0.7254062784581313, 'recall': 0.7146529562982005, 'f1-score': 0.678448024281586, 'support': 389}}",2.47
4,clf,xgb,max,basic,High_YES_1_1_1,0_30,included,basic,0.72,{'n_estimators': 50},0.71,0.71,0.71,0.91,0.72,0.37,246.00,143.00,"{'0': {'precision': 0.7142857142857143, 'recall': 0.9146341463414634, 'f1-score': 0.8021390374331552, 'support': 246}, '1': {'precision': 0.7162162162162162, 'recall': 0.3706293706293706, 'f1-score': 0.48847926267281105, 'support': 143}, 'micro avg': {'precision': 0.7146529562982005, 'recall': 0.7146529562982005, 'f1-score': 0.7146529562982006, 'support': 389}, 'macro avg': {'precision': 0.7152509652509653, 'recall': 0.6426317584854171, 'f1-score': 0.6453091500529831, 'support': 389}, 'weighted avg': {'precision': 0.7149953846611944, 'recall': 0.7146529562982005, 'f1-score': 0.6868348014672704, 'support': 389}}",0.02
5,clf,gboosting,max,basic,High_YES_1_1_1,0_30,included,basic,0.72,{'n_estimators': 200},0.70,0.69,0.72,0.85,0.63,0.43,246.00,143.00,"{'0': {'precision': 0.7206896551724138, 'recall': 0.8495934959349594, 'f1-score': 0.7798507462686567, 'support': 246}, '1': {'precision': 0.6262626262626263, 'recall': 0.43356643356643354, 'f1-score': 0.512396694214876, 'support': 143}, 'micro avg': {'precision': 0.6966580976863753, 'recall': 0.6966580976863753, 'f1-score': 0.6966580976863753, 'support': 389}, 'macro avg': {'precision': 0.67347614071752, 'recall': 0.6415799647506965, 'f1-score': 0.6461237202417663, 'support': 389}, 'weighted avg': {'precision': 0.6859774054703582, 'recall': 0.6966580976863753, 'f1-score': 0.6815321615805059, 'support': 389}}",0.06
6,clf,ada,max,basic,High_YES_1_1_1,0_30,included,basic,0.70,{'n_estimators': 50},0.68,0.67,0.70,0.88,0.62,0.35,246.00,143.00,"{'0': {'precision': 0.6990291262135923, 'recall': 0.8780487804878049, 'f1-score': 0.7783783783783783, 'support': 246}, '1': {'precision': 0.625, 'recall': 0.34965034965034963, 'f1-score': 0.4484304932735426, 'support': 143}, 'micro avg': {'precision': 0.6838046272493573, 'recall': 0.6838046272493573, 'f1-score': 0.6838046272493573, 'support': 389}, 'macro avg': {'precision': 0.6620145631067962, 'recall': 0.6138495650690773, 'f1-score': 0.6134044358259605, 'support': 389}, 'weighted avg': {'precision': 0.6718153343150224, 'recall': 0.6838046272493573, 'f1-score': 0.6570864823115621, 'support': 389}}",0.10
0,reg,kn,max,basic,High_YES_1_1_1,0_30,included,basic,13.28,{'n_neighbors': 31},,,,,,,,,14.28,0.12
1,reg,svr-rbf,max,basic,High_YES_1_1_1,0_30,included,basic,15.74,"{'C': 5, 'gamma': 1}",,,,,,,,,16.95,0.15
2,reg,dtree,max,basic,High_YES_1_1_1,0_30,included,basic,13.57,"{'max_depth': 6, 'min_samples_leaf': 50}",,,,,,,,,14.85,0.02
