,actual,country,date,forecast,forecast_error,impact,new,previous,previous_error,time
0,,JPY,2012-12-30 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
1,0.0%,AUD,2012-12-30 00:00:00,0.3%,worse,Medium,Private Sector Credit m/m,0.1%,,8:30pm
2,51.5,CNY,2012-12-30 00:00:00,50.9,better,Medium,Caixin Manufacturing PMI,50.9,,9:45pm
3,,EUR,2012-12-31 00:00:00,,,Non-Economic,German Bank Holiday,,,12:00am
4,-8.0B,GBP,2012-12-31 00:00:00,-9.1B,better,Low,Housing Equity Withdrawal q/q,-9.4B,better,5:30am
5,,NZD,2012-12-31 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
6,,AUD,2012-12-31 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
7,,JPY,2012-12-31 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
8,,CNY,2012-12-31 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
9,50.6,CNY,2012-12-31 00:00:00,51.0,worse,High,Manufacturing PMI,50.6,,9:00pm
10,,CHF,2012-01-01 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
11,,EUR,2012-01-01 00:00:00,,,Non-Economic,German Bank Holiday,,,12:00am
12,,EUR,2012-01-01 00:00:00,,,Non-Economic,French Bank Holiday,,,12:00am
13,,EUR,2012-01-01 00:00:00,,,Non-Economic,Italian Bank Holiday,,,12:00am
14,,GBP,2012-01-01 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
15,,CAD,2012-01-01 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
16,,USD,2012-01-01 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
17,,NZD,2012-01-01 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
18,44.3,AUD,2012-01-01 00:00:00,,,Low,AIG Manufacturing Index,44.3,better,6:30pm
19,,JPY,2012-01-01 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
20,,CNY,2012-01-01 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
21,-8.0%,AUD,2012-01-02 00:00:00,,,Low,Commodity Prices y/y,-10.3%,better,1:30am
22,,CHF,2012-01-02 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
23,0.9%,EUR,2012-01-02 00:00:00,0.7%,better,Medium,German Prelim CPI m/m,-0.1%,,12:00am
