,actual,country,date,forecast,forecast_error,impact,new,previous,previous_error,time
0,51.6,CNY,"Sunday, December 31, 2017",51.6,-,High,CNY Manufacturing PMI (DEC),51.8,-,01:00
1,55,CNY,"Sunday, December 31, 2017",54.7,u,Medium,CNY Non-manufacturing PMI (DEC),54.8,-,01:00
2,0.5%,AUD,"Friday, December 29, 2017",0.4%,u,Low,AUD Private Sector Credit (MoM) (NOV),0.4%,-,00:30
3,5.4%,AUD,"Friday, December 29, 2017",5.2%,u,Medium,AUD Private Sector Credit (YoY) (NOV),5.3%,-,00:30
4,4.9%,EUR,"Friday, December 29, 2017",4.9%,-,Low,EUR Euro-Zone M3 Money Supply (YoY) (NOV),5.0%,-,09:00
5,0.6%,EUR,"Friday, December 29, 2017",0.5%,u,Medium,EUR German Consumer Price Index (MoM) (DEC P),0.3%,-,13:00
6,1.7%,EUR,"Friday, December 29, 2017",1.5%,u,High,EUR German Consumer Price Index (YoY) (DEC P),1.8%,-,13:00
7,929,USD,"Friday, December 29, 2017",,-,Medium,USD Baker Hughes U.S. Rig Count (DEC29),931,-,18:00
8,1.75%,CNY,"Thursday, December 28, 2017",,-,Low,CNY Swift Global Payments CNY (NOV),1.46%,-,01:00
9,,JPY,"Thursday, December 28, 2017",,-,Low,JPY BOJ Outright Bond Purchase 5~10 Years,,-,01:10
10,,JPY,"Thursday, December 28, 2017",,-,Low,JPY BOJ Outright Bond Purchase 10~25 Years,,-,01:10
11,,JPY,"Thursday, December 28, 2017",,-,Low,JPY BOJ Outright Bond Purchase 25 Years~,,-,01:10
12,0.9%,JPY,"Thursday, December 28, 2017",,-,Low,JPY Vehicle Production (YoY) (NOV),6.4%,-,04:00
13,$40.5b,CNY,"Thursday, December 28, 2017",,-,Low,CNY BoP Current Account Balance (3Q F),$37.1b,-,07:53
14,,EUR,"Thursday, December 28, 2017",,-,Medium,EUR ECB Publishes Economic Bulletin,,-,09:00
