,actual,country,date,forecast,forecast_error,impact,new,previous,previous_error,time
0,,USD,"Friday, March 23, 2012",,-,Low,USD Fed's Bullard Speaks at Investment Conference in Hong Kong,,-,00:00
1,44,GBP,"Friday, March 23, 2012",47,d,Medium,GBP Nationwide Consumer Confidence (FEB),47,-,00:01
2,56.67,CNY,"Friday, March 23, 2012",,-,Low,CNY MNI March Flash Business Sentiment Survey,58.87,-,01:35
3,227.2,CNY,"Friday, March 23, 2012",,-,Low,CNY Conference Board China Leading Economic Index (FEB),225.7,-,02:00
4,-15,EUR,"Friday, March 23, 2012",-28,u,Low,EUR French Production Outlook Indicator (MAR),-27,-,07:45
5,96,EUR,"Friday, March 23, 2012",93,u,High,EUR French Business Confidence Indicator (MAR),93,u,07:45
6,6,EUR,"Friday, March 23, 2012",,-,Low,EUR French Own-Company Production Outlook (Mar),-1,u,07:45
7,0.3%,EUR,"Friday, March 23, 2012",,-,Low,EUR French Wages (4Q F),0.3%,-,07:45
8,-0.8%,EUR,"Friday, March 23, 2012",-3.4%,u,High,EUR Italy Retail Sales (YoY),-3.7%,-,09:00
9,0.7%,EUR,"Friday, March 23, 2012",-0.1%,u,High,EUR Italy Retail Sales (MoM),-0.8%,u,09:00
10,,CHF,"Friday, March 23, 2012",,-,Medium,CHF KOF Institute March Economic Forecast,,-,09:00
11,33103,GBP,"Friday, March 23, 2012",37250,d,Medium,GBP BBA Loans for House Purchase (FEB),37977,d,09:30
12,0.4%,CAD,"Friday, March 23, 2012",0.5%,d,Medium,CAD Consumer Price Index (MoM) (FEB),0.4%,-,11:00
13,2.6%,CAD,"Friday, March 23, 2012",2.7%,d,High,CAD Consumer Price Index (YoY) (FEB),2.5%,-,11:00
14,0.4%,CAD,"Friday, March 23, 2012",0.3%,u,Medium,CAD Bank Canada Consumer Price Index Core (MoM) (FEB),0.2%,-,11:00
15,2.3%,CAD,"Friday, March 23, 2012",2.2%,u,High,CAD Bank Canada Consumer Price Index Core (YoY) (FEB),2.1%,-,11:00
16,121.2,CAD,"Friday, March 23, 2012",,-,Low,CAD Consumer Price Index (FEB),120.7,-,11:00
17,313K,USD,"Friday, March 23, 2012",325K,d,Medium,USD New Home Sales (FEB),318K,d,14:00
18,-1.6%,USD,"Friday, March 23, 2012",1.3%,d,Low,USD New Home Sales (MoM) (FEB),-5.4%,d,14:00
19,,USD,"Friday, March 23, 2012",,-,Low,USD Fed's Lockhart Speaks in Washington,,-,18:30
