,actual,country,datetime,forecast,forecast_error,impact,new,previous,previous_error,week
0,-5.7B,GBP,2008-12-29 04:30:00,-3.3B,worse,Medium,Housing Equity Withdrawal q/q,-2.0B,better,52
1,-0.39,CHF,2008-12-29 05:30:00,-0.26,,Medium,KOF Economic Barometer,-0.04,,52
2,0.3%,EUR,2008-12-30 00:00:00,0.4%,worse,Medium,German Prelim CPI m/m,-0.5%,,52
3,0.96,CHF,2008-12-30 04:00:00,,,Medium,UBS Consumption Indicator,1.30,worse,52
4,7.8%,EUR,2008-12-30 04:00:00,8.5%,worse,Low,M3 Money Supply y/y,8.7%,,52
5,7.1%,EUR,2008-12-30 04:00:00,7.5%,worse,Low,Private Loans y/y,7.8%,,52
6,41.4,EUR,2008-12-30 04:00:00,,,Low,Retail PMI,40.6,,52
7,-18.0%,USD,2008-12-30 09:00:00,-17.8%,worse,Low,S&P/CS Composite-20 HPI y/y,-17.4%,,52
8,34.1,USD,2008-12-30 09:45:00,33.0,better,Medium,Chicago PMI,33.8,,52
9,38.0,USD,2008-12-30 10:00:00,45.2,worse,High,CB Consumer Confidence,44.7,,52
10,,JPY,2008-12-30 00:00:00,,,Non-Economic,Bank Holiday,,,52
11,0.4%,AUD,2008-12-30 19:30:00,0.5%,worse,Medium,Private Sector Credit m/m,0.6%,,52
12,,EUR,2008-12-31 00:00:00,,,Non-Economic,German Bank Holiday,,,52
13,492K,USD,2008-12-31 08:30:00,575K,better,High,Unemployment Claims,586K,,52
14,0.5M,USD,2008-12-31 10:35:00,-1.4M,,Medium,Crude Oil Inventories,-3.1M,,52
15,-143B,USD,2008-12-31 12:00:00,-151B,,Low,Natural Gas Storage,-147B,,52
16,,EUR,2008-12-31 14:00:00,,,Medium,ECB President Trichet Speaks,,,52
17,,NZD,2008-12-31 00:00:00,,,Non-Economic,Bank Holiday,,,52
18,,AUD,2008-12-31 00:00:00,,,Non-Economic,Bank Holiday,,,52
19,,CNY,2008-12-31 00:00:00,,,Non-Economic,Bank Holiday,,,52
20,,JPY,2008-12-31 00:00:00,,,Non-Economic,Bank Holiday,,,52
21,,CAD,2008-12-21 10:30:00,,,Low,BOC Financial System Review,,,52
22,-5.99B,NZD,2008-12-21 16:45:00,-6.00B,,High,Current Account,-3.93B,,52
23,-0.37T,JPY,2008-12-21 18:50:00,-0.22T,worse,Low,Trade Balance,-0.25T,worse,52
24,-5.2%,AUD,2008-12-21 19:30:00,,,Low,New Motor Vehicle Sales m/m,-0.5%,,52
25,101.3,NZD,2008-12-21 20:00:00,,,Low,Westpac Consumer Sentiment,104.8,,52
26,,JPY,2008-12-22 00:00:00,,,Medium,BOJ Gov Shirakawa Speaks,,,52
27,,JPY,2008-12-22 00:00:00,,,Medium,BOJ Monthly Report,,,52
28,2.1,EUR,2008-12-22 02:00:00,2.1,,Medium,German GfK Consumer Climate,2.1,,52
29,-3.4%,EUR,2008-12-22 02:00:00,-2.6%,worse,Low,German Import Prices m/m,-3.6%,,52
30,,JPY,2008-12-22 04:30:00,,,Low,BOJ Gov Shirakawa Speaks,,,52
31,-4.7%,EUR,2008-12-22 05:00:00,-4.0%,worse,Medium,Industrial New Orders m/m,-5.4%,worse,52
32,-31.3,EUR,2008-12-22 09:00:00,-26.5,worse,Medium,Belgian NBB Business Climate,-23.7,,52
33,-0.4%,NZD,2008-12-22 16:45:00,-0.5%,better,High,GDP q/q,-0.2%,,52
34,-0.5%,AUD,2008-12-22 18:00:00,,,Medium,CB Leading Index m/m,-0.4%,worse,52
35,,JPY,2008-12-22 00:00:00,,,Non-Economic,Bank Holiday,,,52
36,0.3%,EUR,2008-12-23 02:45:00,-0.1%,better,Medium,French Consumer Spending m/m,-0.5%,worse,52
37,-6.4B,EUR,2008-12-23 04:00:00,-7.3B,better,Medium,Current Account,-8.8B,better,52
38,-0.3%,EUR,2008-12-23 04:00:00,-0.4%,better,Low,Italian Retail Sales m/m,0.2%,better,52
39,-7.7B,GBP,2008-12-23 04:30:00,-11.9B,better,High,Current Account,-6.4B,better,52
40,17.8K,GBP,2008-12-23 04:30:00,21.0K,worse,Medium,High Street Lending,20.8K,worse,52
41,-0.6%,GBP,2008-12-23 04:30:00,-0.5%,worse,Low,Final GDP q/q,-0.5%,,52
42,-0.2%,GBP,2008-12-23 04:30:00,-0.6%,better,Low,Index of Services 3m/3m,-0.5%,worse,52
43,-0.5%,USD,2008-12-23 08:30:00,-0.5%,,Medium,Final GDP q/q,-0.5%,,52
44,3.9%,USD,2008-12-23 08:30:00,4.2%,worse,Low,Final GDP Price Index q/q,4.2%,,52
45,60.1,USD,2008-12-23 09:55:00,58.5,better,Medium,Revised UoM Consumer Sentiment,59.1,,52
46,1.7%,USD,2008-12-23 09:55:00,,,Low,Revised UoM Inflation Expectations,1.7%,,52
47,4.49M,USD,2008-12-23 10:00:00,4.90M,worse,High,Existing Home Sales,4.91M,worse,52
48,407K,USD,2008-12-23 10:00:00,417K,worse,High,New Home Sales,419K,worse,52
49,-55,USD,2008-12-23 10:00:00,-40,worse,Low,Richmond Manufacturing Index,-38,,52
50,-1.1%,USD,2008-12-23 10:02:00,-1.3%,better,Low,HPI m/m,-1.3%,,52
51,,EUR,2008-12-23 12:30:00,,,Medium,ECB President Trichet Speaks,,,52
52,-44.5,JPY,2008-12-23 18:50:00,-12.0,worse,Medium,BSI Manufacturing Index,-10.0,,52
53,,EUR,2008-12-24 00:00:00,,,Non-Economic,German Bank Holiday,,,52
54,,CHF,2008-12-24 03:00:00,,,Low,SNB Quarterly Bulletin,,,52
55,-0.1%,CAD,2008-12-24 08:30:00,-0.3%,better,High,GDP m/m,0.1%,,52
56,1.2%,USD,2008-12-24 08:30:00,-3.0%,better,High,Core Durable Goods Orders m/m,-6.8%,worse,52
57,586K,USD,2008-12-24 08:30:00,552K,worse,High,Unemployment Claims,556K,,52
58,0.0%,USD,2008-12-24 08:30:00,0.0%,,Medium,Core PCE Price Index m/m,0.0%,,52
59,-1.0%,USD,2008-12-24 08:30:00,-3.2%,better,Medium,Durable Goods Orders m/m,-8.4%,worse,52
60,-0.6%,USD,2008-12-24 08:30:00,-0.8%,better,Medium,Personal Spending m/m,-1.0%,,52
61,-0.2%,USD,2008-12-24 08:30:00,0.1%,worse,Low,Personal Income m/m,0.1%,worse,52
62,-3.1M,USD,2008-12-24 10:35:00,0.4M,,Medium,Crude Oil Inventories,0.5M,,52
63,-147B,USD,2008-12-24 12:00:00,-139B,,Low,Natural Gas Storage,-124B,,52
64,,NZD,2008-12-24 00:00:00,,,Non-Economic,Bank Holiday,,,52
65,,AUD,2008-12-24 00:00:00,,,Non-Economic,Bank Holiday,,,52
66,,JPY,2008-12-24 18:50:00,,,Medium,Monetary Policy Meeting Minutes,,,52
67,-1.9%,JPY,2008-12-24 18:50:00,-1.9%,,Low,SPPI y/y,-1.4%,,52
68,0.0%,JPY,2008-12-25 00:00:00,8.0%,worse,Low,Housing Starts y/y,19.8%,,52
69,,CHF,2008-12-25 00:00:00,,,Non-Economic,Bank Holiday,,,52
70,,EUR,2008-12-25 00:00:00,,,Non-Economic,German Bank Holiday,,,52
71,,EUR,2008-12-25 00:00:00,,,Non-Economic,French Bank Holiday,,,52
72,,EUR,2008-12-25 00:00:00,,,Non-Economic,Italian Bank Holiday,,,52
73,,GBP,2008-12-25 00:00:00,,,Non-Economic,Bank Holiday,,,52
74,,CAD,2008-12-25 00:00:00,,,Non-Economic,Bank Holiday,,,52
75,,USD,2008-12-25 00:00:00,,,Non-Economic,Bank Holiday,,,52
76,,NZD,2008-12-25 00:00:00,,,Non-Economic,Bank Holiday,,,52
77,,AUD,2008-12-25 00:00:00,,,Non-Economic,Bank Holiday,,,52
78,30.8,JPY,2008-12-25 18:15:00,,,Low,Final Manufacturing PMI,36.7,,52
79,-0.5%,JPY,2008-12-25 18:30:00,-3.7%,better,Medium,Household Spending y/y,-3.8%,,52
80,0.8%,JPY,2008-12-25 18:30:00,0.8%,,Medium,Tokyo Core CPI y/y,1.1%,,52
81,1.0%,JPY,2008-12-25 18:30:00,1.1%,worse,Low,National Core CPI y/y,1.9%,,52
82,3.9%,JPY,2008-12-25 18:30:00,4.0%,better,Low,Unemployment Rate,3.7%,,52
83,-8.1%,JPY,2008-12-25 18:50:00,-6.8%,worse,Medium,Prelim Industrial Production m/m,-3.1%,,52
84,-0.9%,JPY,2008-12-25 18:50:00,-1.4%,better,Medium,Retail Sales y/y,-0.7%,,52
85,-1.9%,JPY,2008-12-25 20:30:00,-0.2%,worse,Medium,Average Cash Earnings y/y,0.1%,better,52
86,,CHF,2008-12-26 00:00:00,,,Non-Economic,Bank Holiday,,,52
87,,EUR,2008-12-26 00:00:00,,,Non-Economic,German Bank Holiday,,,52
88,,EUR,2008-12-26 00:00:00,,,Non-Economic,Italian Bank Holiday,,,52
89,,GBP,2008-12-26 00:00:00,,,Non-Economic,Bank Holiday,,,52
90,,CAD,2008-12-26 00:00:00,,,Non-Economic,Bank Holiday,,,52
91,1.3%,NZD,2008-12-14 16:50:00,,,Low,Manufacturing Sales q/q,-0.5%,,51
92,-24,JPY,2008-12-14 18:50:00,-23,worse,High,Tankan Manufacturing Index,-3,,51
93,-9,JPY,2008-12-14 18:50:00,-9,,Medium,Tankan Non-Manufacturing Index,1,,51
94,-2.3%,GBP,2008-12-14 19:01:00,,,Medium,Rightmove HPI m/m,-2.9%,,51
95,,GBP,2008-12-14 19:01:00,,,Low,BOE Quarterly Bulletin,,,51
96,5.4%,CNY,2008-12-14 21:00:00,7.2%,worse,High,Industrial Production y/y,8.2%,,51
97,477B,CNY,2008-12-14 21:00:00,,,Medium,New Loans,182B,,51
98,14.8%,CNY,2008-12-14 21:00:00,15.3%,worse,Low,M2 Money Supply y/y,15.0%,,51
99,-1.4%,CHF,2008-12-15 03:15:00,-0.6%,worse,Medium,PPI m/m,-0.6%,,51
100,,EUR,2008-12-15 06:00:00,,,Low,German Buba Monthly Report,,,51
101,,EUR,2008-12-15 06:00:00,,,Low,ECB Financial Stability Review,,,51
102,-25.8,USD,2008-12-15 08:30:00,-27.0,better,Medium,Empire State Manufacturing Index,-25.4,,51
103,1.5B,USD,2008-12-15 09:00:00,40.0B,worse,High,TIC Long-Term Purchases,65.4B,,51
104,75.4%,USD,2008-12-15 09:15:00,75.5%,,Medium,Capacity Utilization Rate,76.0%,worse,51
105,-0.6%,USD,2008-12-15 09:15:00,-0.7%,better,Medium,Industrial Production m/m,1.5%,better,51
106,,EUR,2008-12-15 12:30:00,,,Low,ECB President Trichet Speaks,,,51
107,,CHF,2008-12-15 13:00:00,,,Medium,Gov Board Member Hildebrand Speaks,,,51
108,9,USD,2008-12-15 13:00:00,9,,Low,NAHB Housing Market Index,9,,51
109,0.4%,JPY,2008-12-15 18:50:00,-0.2%,better,Medium,Tertiary Industry Activity m/m,-0.7%,,51
110,,AUD,2008-12-15 19:30:00,,,High,Monetary Policy Meeting Minutes,,,51
111,-10.7%,AUD,2008-12-15 19:30:00,-2.3%,worse,Low,Housing Starts q/q,0.2%,better,51
112,26.8%,CNY,2008-12-15 21:00:00,26.9%,,Medium,Fixed Asset Investment ytd/y,27.2%,,51
113,,JPY,2008-12-15 23:00:00,,,Medium,BOJ Gov Shirakawa Speaks,,,51
114,,CHF,2008-12-16 00:45:00,,,Medium,SECO Economic Forecasts,,,51
115,-0.5%,EUR,2008-12-16 02:45:00,-0.4%,worse,Low,French Final CPI m/m,-0.1%,,51
116,-0.2%,EUR,2008-12-16 02:50:00,-0.1%,worse,Low,French Final Private Payrolls q/q,-0.1%,,51
117,35.9,EUR,2008-12-16 03:00:00,35.8,,Medium,French Flash Manufacturing PMI,37.3,worse,51
118,41.6,EUR,2008-12-16 03:00:00,45.0,worse,Medium,French Flash Services PMI,46.2,worse,51
119,-5.2%,CHF,2008-12-16 03:15:00,-2.2%,worse,Medium,Industrial Production q/q,9.3%,better,51
120,33.5,EUR,2008-12-16 03:30:00,34.5,worse,Medium,German Flash Manufacturing PMI,35.7,worse,51
121,46.4,EUR,2008-12-16 03:30:00,44.0,better,Medium,German Flash Services PMI,45.1,worse,51
122,34.5,EUR,2008-12-16 04:00:00,34.3,,Medium,Flash Manufacturing PMI,35.6,worse,51
123,42.0,EUR,2008-12-16 04:00:00,41.2,better,Medium,Flash Services PMI,42.5,worse,51
124,4.1%,GBP,2008-12-16 04:30:00,3.9%,better,High,CPI y/y,4.5%,,51
125,2.0%,GBP,2008-12-16 04:30:00,1.8%,better,Medium,Core CPI y/y,1.9%,,51
126,3.0%,GBP,2008-12-16 04:30:00,3.1%,worse,Low,RPI y/y,4.2%,,51
127,-0.1%,EUR,2008-12-16 05:00:00,,,Low,Employment Change q/q,0.2%,,51
128,,GBP,2008-12-16 05:30:00,,,High,BOE Inflation Letter,,,51
129,-0.5%,CAD,2008-12-16 08:30:00,-0.6%,,Medium,Manufacturing Sales m/m,-0.3%,worse,51
