,actual,country,datetime,forecast,forecast_error,impact,new,previous,previous_error,week
0,,JPY,2017-12-23 00:00:00,,,Non-Economic,Bank Holiday,,,52
1,,EUR,2017-12-24 00:00:00,,,Non-Economic,German Bank Holiday,,,52
2,,NZD,2017-12-24 00:00:00,,,Non-Economic,Bank Holiday,,,52
3,,AUD,2017-12-24 00:00:00,,,Non-Economic,Bank Holiday,,,52
4,1.2%,JPY,2017-12-24 18:50:00,1.3%,worse,Low,SPPI y/y,1.3%,,52
5,,CHF,2017-12-25 00:00:00,,,Non-Economic,Bank Holiday,,,52
6,,EUR,2017-12-25 00:00:00,,,Non-Economic,French Bank Holiday,,,52
7,,EUR,2017-12-25 00:00:00,,,Non-Economic,German Bank Holiday,,,52
8,,EUR,2017-12-25 00:00:00,,,Non-Economic,Italian Bank Holiday,,,52
9,,GBP,2017-12-25 00:00:00,,,Non-Economic,Bank Holiday,,,52
10,,CAD,2017-12-25 00:00:00,,,Non-Economic,Bank Holiday,,,52
11,,USD,2017-12-25 00:00:00,,,Non-Economic,Bank Holiday,,,52
12,,NZD,2017-12-25 00:00:00,,,Non-Economic,Bank Holiday,,,52
13,,AUD,2017-12-25 00:00:00,,,Non-Economic,Bank Holiday,,,52
14,,JPY,2017-12-25 18:50:00,,,Low,Monetary Policy Meeting Minutes,,,52
15,,JPY,2017-12-25 23:00:00,,,Medium,BOJ Gov Kuroda Speaks,,,52
16,0.5%,JPY,2017-12-26 00:00:00,0.6%,worse,Low,BOJ Core CPI y/y,0.6%,,52
17,,CHF,2017-12-26 00:00:00,,,Non-Economic,Bank Holiday,,,52
18,,EUR,2017-12-26 00:00:00,,,Non-Economic,German Bank Holiday,,,52
19,,EUR,2017-12-26 00:00:00,,,Non-Economic,Italian Bank Holiday,,,52
20,,GBP,2017-12-26 00:00:00,,,Non-Economic,Bank Holiday,,,52
21,,CAD,2017-12-26 00:00:00,,,Non-Economic,Bank Holiday,,,52
22,5.0%,USD,2017-12-26 09:00:00,4.8%,better,Low,S&P/CS Composite-20 HPI y/y,5.2%,,52
23,-8,USD,2017-12-26 09:59:00,16,worse,Low,Richmond Manufacturing Index,14,,52
24,-0.6%,JPY,2017-12-27 00:00:00,-0.2%,worse,Low,Housing Starts y/y,0.3%,,52
25,-22.2,CHF,2017-12-27 04:00:00,,,Low,Credit Suisse Economic Expectations,-42.3,,52
26,,EUR,2017-12-27 04:00:00,,,Low,ECB Economic Bulletin,,,52
27,216K,USD,2017-12-27 08:30:00,217K,,Low,Unemployment Claims,217K,,52
28,0.3%,USD,2017-12-27 09:00:00,0.3%,,Low,HPI m/m,0.2%,,52
29,128.1,USD,2017-12-27 10:00:00,133.7,worse,High,CB Consumer Confidence,136.4,better,52
30,0.9%,JPY,2017-12-27 18:30:00,0.9%,,Low,Tokyo Core CPI y/y,1.0%,,52
31,2.5%,JPY,2017-12-27 18:30:00,2.4%,worse,Low,Unemployment Rate,2.4%,,52
32,,JPY,2017-12-27 18:50:00,,,Low,BOJ Summary of Opinions,,,52
33,-1.1%,JPY,2017-12-27 18:50:00,-1.7%,better,Low,Prelim Industrial Production m/m,2.9%,,52
34,1.4%,JPY,2017-12-27 18:50:00,2.1%,worse,Low,Retail Sales y/y,3.6%,,52
35,0.1%,EUR,2017-12-28 00:00:00,0.3%,worse,Medium,German Prelim CPI m/m,0.1%,,52
36,96.3,CHF,2017-12-28 03:00:00,98.7,worse,Medium,KOF Economic Barometer,98.9,worse,52
37,1.2%,EUR,2017-12-28 03:00:00,1.6%,worse,Low,Spanish Flash CPI y/y,1.7%,,52
38,39.4K,GBP,2017-12-28 04:30:00,38.9K,better,Low,High Street Lending,39.6K,,52
39,2.70|1.5,EUR,2017-12-28 05:35:00,,,Low,Italian 10-y Bond Auction,3.24|1.4,,52
40,65.4,USD,2017-12-28 09:45:00,61.4,better,Medium,Chicago PMI,66.4,,52
41,-0.7%,USD,2017-12-28 10:00:00,0.9%,worse,Low,Pending Home Sales m/m,-2.6%,,52
42,-48B,USD,2017-12-28 10:30:00,-50B,,Low,Natural Gas Storage,-141B,,52
43,0.0M,USD,2017-12-28 11:00:00,-2.9M,,Low,Crude Oil Inventories,-0.5M,,52
44,-1.5%,GBP,2017-12-16 19:01:00,,,Low,Rightmove HPI m/m,-1.7%,,52
45,,AUD,2017-12-16 19:30:00,,,Medium,Mid-Year Economic and Fiscal Outlook,,,52
46,3.78B,EUR,2017-12-17 04:08:00,1.89B,better,Low,Italian Trade Balance,1.27B,,52
47,1.9%,EUR,2017-12-17 05:00:00,2.0%,worse,Low,Final CPI y/y,2.0%,,52
48,1.0%,EUR,2017-12-17 05:00:00,1.0%,,Low,Final Core CPI y/y,1.0%,,52
49,12.5B,EUR,2017-12-17 05:00:00,14.2B,worse,Low,Trade Balance,13.0B,worse,52
50,,EUR,2017-12-17 06:00:00,,,Low,German Buba Monthly Report,,,52
51,3.98B,CAD,2017-12-17 08:30:00,6.20B,worse,Low,Foreign Securities Purchases,7.76B,,52
