,model_type,model,sweeps_market_variables,sweep_news_agg,sweep_buy_sell,before_data,sweep_grid,best_score,best_params,accuracy_test,accuracy_per_class,ocurrences_per_class,total_ocurrences,elapsed_time
0,clf,kn,all,High_YES_1_1_1,0_60,included,basic,0.42,{'n_neighbors': 51},0.39,"[25.0, 0.0, 86.76470588235294, 0.0, 20.895522388059703]","[72, 60, 136, 54, 67]",389,0.10
1,clf,svc-rbf,all,High_YES_1_1_1,0_60,included,basic,0.39,"{'C': 1, 'gamma': 1}",0.35,"[0.0, 0.0, 100.0, 0.0, 0.0]","[72, 60, 136, 54, 67]",389,0.56
2,clf,dtree,all,High_YES_1_1_1,0_60,included,basic,0.41,"{'max_depth': 3, 'min_samples_leaf': 10}",0.38,"[20.833333333333332, 0.0, 91.91176470588235, 0.0, 10.447761194029852]","[72, 60, 136, 54, 67]",389,0.07
3,clf,rforest,all,High_YES_1_1_1,0_60,included,basic,0.42,"{'max_depth': 5, 'min_samples_leaf': 10, 'n_estimators': 50}",0.37,"[15.277777777777779, 0.0, 91.17647058823529, 0.0, 14.925373134328359]","[72, 60, 136, 54, 67]",389,6.19
4,clf,xgb,all,High_YES_1_1_1,0_60,included,basic,0.41,{'n_estimators': 50},0.37,"[18.055555555555557, 0.0, 86.76470588235294, 0.0, 17.91044776119403]","[72, 60, 136, 54, 67]",389,0.50
5,clf,gboosting,all,High_YES_1_1_1,0_60,included,basic,0.41,{'n_estimators': 10},0.37,"[12.5, 0.0, 88.97058823529412, 0.0, 22.388059701492537]","[72, 60, 136, 54, 67]",389,0.88
6,clf,ada,all,High_YES_1_1_1,0_60,included,basic,0.40,{'n_estimators': 10},0.37,"[19.444444444444443, 0.0, 80.1470588235294, 0.0, 29.850746268656717]","[72, 60, 136, 54, 67]",389,0.26
0,clf,kn,all,High_YES_1_1_1,15_60,included,basic,0.50,{'n_neighbors': 61},0.47,"[44.44444444444444, 3.3333333333333335, 91.17647058823529, 0.0, 37.3134328358209]","[72, 60, 136, 54, 67]",389,0.24
1,clf,svc-rbf,all,High_YES_1_1_1,15_60,included,basic,0.39,"{'C': 1, 'gamma': 1}",0.35,"[0.0, 0.0, 100.0, 0.0, 0.0]","[72, 60, 136, 54, 67]",389,0.61
2,clf,dtree,all,High_YES_1_1_1,15_60,included,basic,0.50,"{'max_depth': 3, 'min_samples_leaf': 100}",0.49,"[50.0, 0.0, 91.17647058823529, 0.0, 43.28358208955224]","[72, 60, 136, 54, 67]",389,0.09
3,clf,rforest,all,High_YES_1_1_1,15_60,included,basic,0.52,"{'max_depth': 6, 'min_samples_leaf': 20, 'n_estimators': 50}",0.48,"[50.0, 1.6666666666666667, 85.29411764705883, 0.0, 49.25373134328358]","[72, 60, 136, 54, 67]",389,5.56
4,clf,xgb,all,High_YES_1_1_1,15_60,included,basic,0.50,{'n_estimators': 50},0.48,"[52.77777777777778, 3.3333333333333335, 82.3529411764706, 1.8518518518518519, 52.23880597014925]","[72, 60, 136, 54, 67]",389,0.75
5,clf,gboosting,all,High_YES_1_1_1,15_60,included,basic,0.50,{'n_estimators': 50},0.49,"[52.77777777777778, 8.333333333333334, 80.88235294117646, 0.0, 56.71641791044776]","[72, 60, 136, 54, 67]",389,1.09
6,clf,ada,all,High_YES_1_1_1,15_60,included,basic,0.50,{'n_estimators': 10},0.48,"[47.22222222222222, 3.3333333333333335, 87.5, 0.0, 46.26865671641791]","[72, 60, 136, 54, 67]",389,0.25
0,clf,kn,all,High_YES_1_1_1,30_60,included,basic,0.56,{'n_neighbors': 41},0.53,"[52.77777777777778, 16.666666666666668, 88.23529411764706, 7.407407407407407, 50.74626865671642]","[72, 60, 136, 54, 67]",389,0.34
1,clf,svc-rbf,all,High_YES_1_1_1,30_60,included,basic,0.39,"{'C': 1, 'gamma': 1}",0.35,"[0.0, 0.0, 100.0, 0.0, 0.0]","[72, 60, 136, 54, 67]",389,0.74
2,clf,dtree,all,High_YES_1_1_1,30_60,included,basic,0.57,"{'max_depth': 4, 'min_samples_leaf': 50}",0.55,"[61.111111111111114, 36.666666666666664, 77.20588235294117, 9.25925925925926, 58.208955223880594]","[72, 60, 136, 54, 67]",389,0.12
3,clf,rforest,all,High_YES_1_1_1,30_60,included,basic,0.58,"{'max_depth': 6, 'min_samples_leaf': 20, 'n_estimators': 200}",0.57,"[65.27777777777777, 18.333333333333332, 86.76470588235294, 0.0, 65.67164179104478]","[72, 60, 136, 54, 67]",389,6.21
4,clf,xgb,all,High_YES_1_1_1,30_60,included,basic,0.57,{'n_estimators': 10},0.56,"[61.111111111111114, 23.333333333333332, 84.55882352941177, 7.407407407407407, 62.6865671641791]","[72, 60, 136, 54, 67]",389,0.94
5,clf,gboosting,all,High_YES_1_1_1,30_60,included,basic,0.57,{'n_estimators': 50},0.57,"[66.66666666666667, 31.666666666666668, 75.73529411764706, 22.22222222222222, 59.701492537313435]","[72, 60, 136, 54, 67]",389,1.48
6,clf,ada,all,High_YES_1_1_1,30_60,included,basic,0.52,{'n_estimators': 10},0.54,"[66.66666666666667, 13.333333333333334, 75.73529411764706, 14.814814814814815, 65.67164179104478]","[72, 60, 136, 54, 67]",389,0.30
0,clf,kn,all,High_YES_1_1_1,30_90,included,basic,0.47,{'n_neighbors': 61},0.44,"[50.63291139240506, 5.970149253731344, 83.33333333333333, 9.25925925925926, 38.27160493827161]","[79, 67, 108, 54, 81]",389,0.39
1,clf,svc-rbf,all,High_YES_1_1_1,30_90,included,basic,0.35,"{'C': 1, 'gamma': 1}",0.28,"[0.0, 0.0, 100.0, 0.0, 0.0]","[79, 67, 108, 54, 81]",389,0.78
2,clf,dtree,all,High_YES_1_1_1,30_90,included,basic,0.49,"{'max_depth': 2, 'min_samples_leaf': 150}",0.43,"[45.56962025316456, 0.0, 87.96296296296296, 0.0, 44.44444444444444]","[79, 67, 108, 54, 81]",389,0.13
3,clf,rforest,all,High_YES_1_1_1,30_90,included,basic,0.49,"{'max_depth': 6, 'min_samples_leaf': 30, 'n_estimators': 10}",0.42,"[53.164556962025316, 0.0, 76.85185185185185, 0.0, 49.382716049382715]","[79, 67, 108, 54, 81]",389,6.38
4,clf,xgb,all,High_YES_1_1_1,30_90,included,basic,0.48,{'n_estimators': 50},0.45,"[58.22784810126582, 7.462686567164179, 75.0, 5.555555555555555, 50.617283950617285]","[79, 67, 108, 54, 81]",389,0.97
5,clf,gboosting,all,High_YES_1_1_1,30_90,included,basic,0.48,{'n_estimators': 10},0.44,"[54.43037974683544, 2.985074626865672, 82.4074074074074, 3.7037037037037037, 45.67901234567901]","[79, 67, 108, 54, 81]",389,1.43
6,clf,ada,all,High_YES_1_1_1,30_90,included,basic,0.45,{'n_estimators': 10},0.44,"[75.9493670886076, 0.0, 69.44444444444444, 0.0, 44.44444444444444]","[79, 67, 108, 54, 81]",389,0.33
0,clf,kn,all,High_YES_1_1_1,30_120,included,basic,0.44,{'n_neighbors': 51},0.44,"[46.15384615384615, 2.127659574468085, 71.66666666666667, 4.545454545454546, 44.827586206896555]","[91, 47, 120, 44, 87]",389,0.37
1,clf,svc-rbf,all,High_YES_1_1_1,30_120,included,basic,0.29,"{'C': 1, 'gamma': 1}",0.31,"[0.0, 0.0, 100.0, 0.0, 0.0]","[91, 47, 120, 44, 87]",389,0.73
2,clf,dtree,all,High_YES_1_1_1,30_120,included,basic,0.44,"{'max_depth': 2, 'min_samples_leaf': 150}",0.43,"[37.362637362637365, 0.0, 83.33333333333333, 0.0, 39.08045977011494]","[91, 47, 120, 44, 87]",389,0.13
3,clf,rforest,all,High_YES_1_1_1,30_120,included,basic,0.45,"{'max_depth': 5, 'min_samples_leaf': 50, 'n_estimators': 10}",0.44,"[53.84615384615385, 0.0, 66.66666666666667, 0.0, 50.57471264367816]","[91, 47, 120, 44, 87]",389,6.20
4,clf,xgb,all,High_YES_1_1_1,30_120,included,basic,0.44,{'n_estimators': 50},0.44,"[53.84615384615385, 2.127659574468085, 62.5, 6.818181818181818, 48.275862068965516]","[91, 47, 120, 44, 87]",389,0.98
