,datetime,new_id,forecast_error_ratio_zscore,total_error_ratio_zscore,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,Low,Medium,year,week,weekday,num_news,pips_agg_0_60_after,direction_agg_0_60_after
0,2007-01-08 15:00:00,12,0.0,0.0,0,1,0,1,0,0,0,1,0,2007,2,0,1,-1,0
1,2007-01-09 10:00:00,37,0.0,0.0,1,0,0,1,0,0,0,1,0,2007,2,1,1,-3,0
2,2007-01-10 08:30:00,68,0.0,0.0,0,3,0,3,0,0,1,0,0,2007,2,2,1,-8,0
3,2007-01-10 10:00:00,31,0.0,0.0,0,0,1,0,1,0,0,1,0,2007,2,2,1,-21,-2
4,2007-01-10 10:30:00,18,0.0,0.0,1,0,0,1,0,0,0,1,0,2007,2,2,1,13,1
5,2007-01-11 08:30:00,69,0.0,0.0,0,1,0,1,0,0,0,1,0,2007,2,3,1,-72,-2
6,2007-01-11 10:30:00,46,0.0,0.0,1,0,0,1,0,0,0,1,0,2007,2,3,1,6,0
7,2007-01-12 08:30:00,17_60_41,0.0,0.0,0,8,0,8,0,0,2,0,1,2007,2,4,3,35,2
8,2007-01-12 10:00:00,5,0.0,0.0,2,0,0,0,2,0,0,0,1,2007,2,4,1,3,0
9,2007-01-12 14:00:00,25,0.0,0.0,0,2,0,2,0,0,0,0,1,2007,2,4,1,0,0
10,2007-01-16 08:30:00,21,0.0,0.0,0,0,2,2,0,0,0,0,1,2007,3,1,1,-2,0
11,2007-01-17 08:30:00,49_16,0.0,0.0,0,5,0,5,0,0,1,0,1,2007,3,2,2,10,1
12,2007-01-17 09:00:00,66,0.0,0.0,0,0,3,0,3,0,1,0,0,2007,3,2,1,15,1
13,2007-01-17 09:15:00,9_42,0.0,0.0,2,2,0,0,0,4,0,0,2,2007,3,2,2,15,1
14,2007-01-17 13:00:00,44,0.0,0.0,0,1,0,0,1,0,0,1,0,2007,3,2,1,-7,0
15,2007-01-18 08:30:00,69_13_4_8_36,0.71,0.71,5,5,0,10,0,0,1,1,3,2007,3,3,5,22,2
16,2007-01-18 10:30:00,18_46,0.0,0.0,2,0,0,2,0,0,0,2,0,2007,3,3,2,-3,0
17,2007-01-18 12:00:00,53,0.0,0.0,0,2,0,2,0,0,0,0,1,2007,3,3,1,11,1
18,2007-01-19 10:00:00,58,0.0,0.0,0,3,0,0,3,0,1,0,0,2007,3,4,1,4,0
19,2007-01-23 10:00:00,7_64,0.0,0.0,0,1,1,1,0,1,0,2,0,2007,4,1,2,2,0
20,2007-01-24 10:30:00,18,0.55,0.55,1,0,0,1,0,0,0,1,0,2007,4,2,1,-5,0
21,2007-01-25 08:30:00,69,-1.15,-1.15,0,0,1,1,0,0,0,1,0,2007,4,3,1,-12,-1
22,2007-01-25 10:00:00,23,0.0,0.0,0,0,3,3,0,0,1,0,0,2007,4,3,1,-3,0
23,2007-01-25 10:30:00,46,-1.07,-1.07,1,0,0,1,0,0,0,1,0,2007,4,3,1,-9,0
24,2007-01-26 08:30:00,14_20,0.0,0.0,2,3,0,3,2,0,1,0,1,2007,4,4,2,16,1
25,2007-01-26 10:00:00,47,0.0,0.0,0,3,0,0,3,0,1,0,0,2007,4,4,1,21,2
26,2007-01-30 09:00:00,65,0.0,0.0,1,0,0,1,0,0,0,1,0,2007,5,1,1,-7,0
27,2007-01-30 10:00:00,6,0.0,0.0,3,0,0,0,3,0,1,0,0,2007,5,1,1,7,0
28,2007-01-31 08:15:00,0,0.0,0.0,0,2,0,0,2,0,0,0,1,2007,5,2,1,-12,-1
29,2007-01-31 08:30:00,2_1_22,0.0,0.0,0,3,4,4,3,0,1,0,2,2007,5,2,3,-11,-1
30,2007-01-31 09:45:00,10,0.0,0.0,0,0,2,2,0,0,0,0,1,2007,5,2,1,24,2
31,2007-01-31 10:00:00,11,0.0,0.0,0,0,1,0,1,0,0,1,0,2007,5,2,1,41,2
32,2007-01-31 10:30:00,18,0.45,0.45,1,0,0,1,0,0,0,1,0,2007,5,2,1,10,1
33,2007-01-31 14:15:00,26,0.0,0.0,3,0,0,3,0,0,1,0,0,2007,5,2,1,23,2
34,2007-02-01 00:00:00,67,0.0,0.0,1,0,0,1,0,0,0,1,0,2007,5,3,1,-7,0
35,2007-02-01 08:30:00,69_15_52_51,-0.09,-0.2,3,1,3,7,0,0,1,2,1,2007,5,3,4,1,0
36,2007-02-01 10:00:00,38_50_39,0.0,0.0,0,4,3,4,3,0,2,1,0,2007,5,3,3,-14,-1
37,2007-02-01 10:30:00,46,-1.33,-1.33,1,0,0,1,0,0,0,1,0,2007,5,3,1,-4,0
38,2007-02-02 08:30:00,48_70_3,0.0,0.0,0,0,8,3,3,2,2,0,1,2007,5,4,3,-64,-2
39,2007-02-02 10:00:00,24_63,0.0,0.0,0,2,2,2,2,0,0,0,2,2007,5,4,2,-7,0
40,2007-02-05 10:00:00,40,0.0,0.0,0,3,0,3,0,0,1,0,0,2007,6,0,1,11,1
41,2007-02-07 08:30:00,56_57,0.0,0.0,0,0,4,0,0,4,0,0,2,2007,6,2,2,5,0
42,2007-02-07 10:30:00,18,0.46,0.46,1,0,0,1,0,0,0,1,0,2007,6,2,1,10,1
43,2007-02-07 15:00:00,12,-0.71,-0.71,0,0,1,0,1,0,0,1,0,2007,6,2,1,5,0
44,2007-02-08 08:30:00,69,-0.52,-0.57,1,0,0,1,0,0,0,1,0,2007,6,3,1,22,2
45,2007-02-08 10:00:00,31,0.71,0.71,0,1,0,0,1,0,0,1,0,2007,6,3,1,20,1
46,2007-02-08 10:30:00,46,-0.2,-0.2,1,0,0,1,0,0,0,1,0,2007,6,3,1,12,1
47,2007-02-12 14:00:00,25,-1.42,-1.42,2,0,0,2,0,0,0,0,1,2007,7,0,1,1,0
48,2007-02-13 08:30:00,68,-2.13,-2.13,0,0,3,3,0,0,1,0,0,2007,7,1,1,-9,0
49,2007-02-13 10:00:00,37,-0.71,-0.71,0,0,1,1,0,0,0,1,0,2007,7,1,1,-10,-1
50,2007-02-14 08:30:00,17_60,-4.26,-4.26,0,0,6,0,6,0,2,0,0,2007,7,2,2,11,1
51,2007-02-14 10:00:00,5,1.42,1.42,0,2,0,0,2,0,0,0,1,2007,7,2,1,33,2
52,2007-02-14 10:30:00,18,0.48,0.48,1,0,0,1,0,0,0,1,0,2007,7,2,1,-16,-1
53,2007-02-15 08:30:00,69_41_21,-1.4699999999999998,-1.4900000000000002,0,2,3,5,0,0,0,1,2,2007,7,3,3,31,2
54,2007-02-15 09:00:00,66,-2.13,-2.13,0,0,3,0,3,0,1,0,0,2007,7,3,1,12,1
55,2007-02-15 09:15:00,9_42,-2.84,-2.84,0,0,4,2,2,0,0,0,2,2007,7,3,2,-9,0
56,2007-02-15 10:30:00,46,-0.07,-0.07,1,0,0,1,0,0,0,1,0,2007,7,3,1,-7,0
57,2007-02-15 12:00:00,53,-1.42,-1.42,0,0,2,2,0,0,0,0,1,2007,7,3,1,-4,0
58,2007-02-15 13:00:00,44,0.71,0.71,0,1,0,1,0,0,0,1,0,2007,7,3,1,-6,0
59,2007-02-16 08:30:00,49_16_4_36,-6.39,-6.39,7,0,2,9,0,0,1,0,3,2007,7,4,4,-16,-1
60,2007-02-16 10:00:00,58,-2.13,-2.13,0,0,3,0,0,3,1,0,0,2007,7,4,1,-7,0
61,2007-02-21 08:30:00,13_8,2.13,-1.42,2,3,0,0,0,5,1,0,1,2007,8,2,2,-22,-2
62,2007-02-21 10:00:00,7,-0.71,0.0,0,0,1,0,1,0,0,1,0,2007,8,2,1,3,0
63,2007-02-22 08:30:00,69,0.04,0.01,0,0,1,1,0,0,0,1,0,2007,8,3,1,-6,0
64,2007-02-22 10:30:00,18_46,-1.65,-1.65,2,0,0,2,0,0,0,2,0,2007,8,3,2,21,2
65,2007-02-27 08:30:00,14_20,-3.55,-3.55,0,0,5,0,3,2,1,0,1,2007,9,1,2,5,0
66,2007-02-27 09:00:00,65,-0.71,-0.71,0,0,1,1,0,0,0,1,0,2007,9,1,1,0,0
67,2007-02-27 10:00:00,64_23_6,3.55,3.55,0,6,1,4,3,0,2,1,0,2007,9,1,3,-2,0
68,2007-02-28 08:30:00,55_54,0.0,0.0,0,1,3,4,0,0,1,1,0,2007,9,2,2,-10,-1
69,2007-02-28 09:45:00,10,1.42,1.42,0,0,2,2,0,0,0,0,1,2007,9,2,1,-11,-1
70,2007-02-28 10:00:00,47,-2.13,-2.13,0,0,3,0,3,0,1,0,0,2007,9,2,1,-11,-1
71,2007-02-28 10:30:00,18,0.25,0.25,1,0,0,1,0,0,0,1,0,2007,9,2,1,15,1
72,2007-03-01 00:00:00,67,0.71,0.71,0,1,0,1,0,0,0,1,0,2007,9,3,1,2,0
73,2007-03-01 08:30:00,69_15_52_51,4.4399999999999995,4.54,0,6,1,7,0,0,1,2,1,2007,9,3,4,-1,0
74,2007-03-01 09:30:00,46,-1.01,-1.01,1,0,0,1,0,0,0,1,0,2007,9,3,1,-32,-2
75,2007-03-01 10:00:00,11_38_39,2.13,2.13,0,4,1,4,1,0,1,2,0,2007,9,3,3,-37,-2
76,2007-03-02 10:00:00,63,-1.42,1.42,0,0,2,2,0,0,0,0,1,2007,9,4,1,-3,0
77,2007-03-05 10:00:00,40,-2.13,-2.13,0,0,3,3,0,0,1,0,0,2007,10,0,1,2,0
78,2007-03-06 08:30:00,61_62,0.0,0.0,2,1,0,3,0,0,0,1,1,2007,10,1,2,-10,-1
79,2007-03-06 10:00:00,50_24,-3.55,-3.55,0,0,5,0,2,3,1,0,1,2007,10,1,2,5,0
80,2007-03-07 08:15:00,0,-1.42,-1.42,0,0,2,0,0,2,0,0,1,2007,10,2,1,2,0
81,2007-03-07 10:30:00,18,1.23,1.23,1,0,0,1,0,0,0,1,0,2007,10,2,1,-5,0
82,2007-03-07 15:00:00,12,-0.54,-0.71,0,0,1,0,0,1,0,1,0,2007,10,2,1,-3,0
83,2007-03-08 08:30:00,69,0.79,0.8,1,0,0,1,0,0,0,1,0,2007,10,3,1,-36,-2
84,2007-03-08 09:30:00,46,0.59,0.59,1,0,0,1,0,0,0,1,0,2007,10,3,1,-2,0
85,2007-03-09 08:30:00,68_48_70_3,5.17,5.56,6,5,0,8,3,0,3,0,1,2007,10,4,4,-47,-2
86,2007-03-09 10:00:00,31,-1.02,-1.02,0,0,1,1,0,0,0,1,0,2007,10,4,1,12,1
87,2007-03-12 15:00:00,25,-1.2,-1.2,0,2,0,2,0,0,0,0,1,2007,11,0,1,3,0
88,2007-03-13 08:30:00,17_60,-3.9899999999999998,-4.98,0,0,6,3,0,3,2,0,0,2007,11,1,2,29,2
89,2007-03-13 10:00:00,5,-2.0,-1.86,0,0,2,2,0,0,0,0,1,2007,11,1,1,-7,0
90,2007-03-13 11:00:00,37,0.33,0.33,1,0,0,1,0,0,0,1,0,2007,11,1,1,4,0
91,2007-03-14 08:30:00,41_19,0.48,0.58,0,2,2,0,2,2,0,0,2,2007,11,2,2,-9,0
92,2007-03-14 10:30:00,18,-0.1,-0.1,1,0,0,1,0,0,0,1,0,2007,11,2,1,7,0
93,2007-03-15 08:30:00,69_21_49_16,4.12,4.05,0,6,2,8,0,0,1,1,2,2007,11,3,4,21,2
94,2007-03-15 09:00:00,66,3.3000000000000003,3.3899999999999997,0,3,0,3,0,0,1,0,0,2007,11,3,1,11,1
95,2007-03-15 10:30:00,46,-0.33,-0.33,1,0,0,1,0,0,0,1,0,2007,11,3,1,17,1
96,2007-03-15 12:00:00,53,-1.24,-1.24,0,0,2,2,0,0,0,0,1,2007,11,3,1,-16,-1
97,2007-03-16 08:30:00,13_8,0.56,2.14,3,2,0,5,0,0,1,0,1,2007,11,4,2,-10,-1
98,2007-03-16 09:15:00,9_42,3.06,3.22,0,4,0,0,4,0,0,0,2,2007,11,4,2,0,0
99,2007-03-16 10:00:00,58,-1.08,-1.47,0,0,3,0,0,3,1,0,0,2007,11,4,1,-3,0
100,2007-03-19 13:00:00,44,-1.05,-1.07,0,0,1,0,0,1,0,1,0,2007,12,0,1,-2,0
101,2007-03-20 08:30:00,4_36,0.18000000000000016,0.5599999999999999,2,2,0,4,0,0,0,0,2,2007,12,1,2,-1,0
102,2007-03-21 10:30:00,18,-0.99,-0.99,1,0,0,1,0,0,0,1,0,2007,12,2,1,-3,0
103,2007-03-21 14:15:00,26,0.0,0.0,3,0,0,3,0,0,1,0,0,2007,12,2,1,71,2
104,2007-03-22 08:30:00,69,0.47,0.37,1,0,0,1,0,0,0,1,0,2007,12,3,1,0,0
105,2007-03-22 10:00:00,7,-0.7,-1.15,0,0,1,0,0,1,0,1,0,2007,12,3,1,3,0
106,2007-03-22 10:30:00,46,-1.79,-1.79,1,0,0,1,0,0,0,1,0,2007,12,3,1,-12,-1
