,datetime,new_id,forecast_error_diff_deviation,forecast_error_diff_outlier_class,previous_error_diff_deviation,previous_error_diff_outlier_class,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,Low,Medium,year,week,weekday,num_news,volatility_0_5_after,pips_agg_0_5_after,pips_candle_0_5_after,volatility_5_10_after,pips_agg_5_10_after,pips_candle_5_10_after,volatility_10_15_after,pips_agg_10_15_after,pips_candle_10_15_after,volatility_15_20_after,pips_agg_15_20_after,pips_candle_15_20_after,volatility_20_25_after,pips_agg_20_25_after,pips_candle_20_25_after,volatility_25_30_after,pips_agg_25_30_after,pips_candle_25_30_after,volatility_60_0_before,pips_agg_60_0_before,pips_agg_0_90_after,direction_agg_0_90_after
0,2007-01-08 15:00:00,12,1.0,0,0.0,0,0,1,0,1,0,0,0,1,0,2007,2,0,1,6,1,0,4,-1,-2,9,1,1,4,2,2,6,0,-2,5,0,0,14,4,-1,1
1,2007-01-09 10:00:00,37,0.0,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,2,1,1,5,0,0,7,2,1,5,1,-2,5,2,1,4,0,0,6,5,5,20,-3,-3,1
2,2007-01-10 08:30:00,68,3.0,0,0.0,0,0,3,0,3,0,0,1,0,0,2007,2,2,1,13,-10,-7,7,-16,-3,10,-12,7,10,-20,-8,10,-13,7,6,-12,0,22,-13,-25,0
3,2007-01-10 10:00:00,31,1.0,0,0.0,0,0,0,1,0,1,0,0,1,0,2007,2,2,1,7,6,5,18,-12,-15,14,-20,-9,7,-21,2,6,-25,-2,7,-28,-3,24,-15,-16,0
4,2007-01-10 10:30:00,18,-3.5,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,2,2,1,5,4,4,8,10,6,5,10,-1,8,9,-3,7,9,-1,6,11,3,46,-37,6,1
5,2007-01-11 08:30:00,69,-21.0,0,0.0,0,0,1,0,1,0,0,0,1,0,2007,2,3,1,11,-9,-9,26,-26,-16,20,-31,-4,14,-42,-12,20,-47,-4,11,-55,-5,24,17,-59,0
6,2007-01-11 10:30:00,46,-4.0,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,2,3,1,8,0,5,7,-3,-3,3,-4,0,7,-7,-3,9,-3,4,7,-6,-3,46,-33,13,1
7,2007-01-12 08:30:00,17_60_41,8.0,0,0.0,0,0,8,0,8,0,0,2,0,1,2007,2,4,3,23,-4,-3,11,-12,-8,10,-21,-9,8,-13,8,19,-2,11,28,24,27,40,-10,38,2
8,2007-01-12 10:00:00,5,0.0,0,0.0,0,2,0,0,0,2,0,0,0,1,2007,2,4,1,17,-4,-7,8,-10,-6,8,-5,3,15,7,12,7,7,0,7,6,0,33,21,0,1
9,2007-01-12 14:00:00,25,2.0,0,0.0,0,0,2,0,2,0,0,0,0,1,2007,2,4,1,6,0,-1,5,-1,-1,7,-5,-2,4,-4,-1,5,-4,0,6,0,4,14,-5,1,1
10,2007-01-16 08:30:00,21,-17.8,0,0.0,0,0,0,2,2,0,0,0,0,1,2007,3,1,1,11,15,10,6,11,0,5,13,2,7,8,-6,6,13,5,7,5,-7,28,-17,-17,0
11,2007-01-17 08:30:00,49_16,5.0,0,0.0,0,0,5,0,5,0,0,1,0,1,2007,3,2,2,13,-6,-5,6,-4,1,7,4,7,7,7,3,7,2,-6,5,3,2,25,-10,25,2
12,2007-01-17 09:00:00,66,-42.3,0,0.0,0,0,0,3,0,3,0,1,0,0,2007,3,2,1,12,3,-3,5,2,-1,9,-5,-7,7,-7,-3,13,5,11,5,8,2,31,8,15,2
13,2007-01-17 09:15:00,9_42,2.0,0,0.0,0,2,2,0,0,0,4,0,0,2,2007,3,2,2,7,-2,-3,13,10,11,5,13,2,5,11,-1,5,14,3,4,15,1,31,-2,23,2
14,2007-01-17 13:00:00,44,1.0,0,0.0,0,0,1,0,0,1,0,0,1,0,2007,3,2,1,7,-6,-4,7,-1,5,6,-6,-5,6,-5,0,5,-6,0,5,-4,1,14,2,-13,1
15,2007-01-18 08:30:00,69_13_4_8_36,-21.0,0,-1.0,0,5,5,0,10,0,0,1,1,3,2007,3,3,5,19,-20,-12,12,-16,7,7,-12,3,6,-15,-2,8,-16,-2,9,-11,6,23,-4,17,2
16,2007-01-18 10:30:00,18_46,-9.0,0,0.0,0,2,0,0,2,0,0,0,2,0,2007,3,3,2,9,-9,-9,9,-4,7,6,-6,-1,12,4,10,6,2,-1,15,-5,-11,28,-5,-7,1
17,2007-01-18 12:00:00,53,2.0,0,0.0,0,0,2,0,2,0,0,0,0,1,2007,3,3,1,16,9,8,7,12,3,3,13,1,5,13,0,3,14,1,4,13,-2,22,-12,5,1
18,2007-01-19 10:00:00,58,3.0,0,0.0,0,0,3,0,0,3,0,1,0,0,2007,3,4,1,10,-5,-2,10,-8,-3,6,-9,-2,5,-9,-1,7,-11,-2,8,-18,-5,23,-15,14,1
19,2007-01-23 10:00:00,7_64,-2.0,0,0.0,0,0,1,1,1,0,1,0,2,0,2007,4,1,2,3,-1,0,8,5,6,5,2,-2,5,6,4,3,5,1,5,5,-1,18,2,1,1
20,2007-01-24 10:30:00,18,-0.6,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,4,2,1,6,3,4,4,5,1,10,2,-4,4,1,-1,5,1,-1,6,2,-1,43,-27,4,1
21,2007-01-25 08:30:00,69,1.0,0,-1.0,0,0,0,1,1,0,0,0,1,0,2007,4,3,1,8,9,6,9,6,-3,7,9,1,7,5,-2,5,2,-2,5,2,1,16,-2,6,1
22,2007-01-25 10:00:00,23,-0.09,0,0.0,0,0,0,3,3,0,0,1,0,0,2007,4,3,1,8,-2,-1,13,-11,-11,6,-10,-2,5,-5,4,4,-7,-1,8,0,6,25,9,-7,1
23,2007-01-25 10:30:00,46,-5.0,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,4,3,1,6,-4,-5,4,-5,0,7,-2,2,6,0,1,7,-4,-5,5,-5,-1,24,8,-11,1
24,2007-01-26 08:30:00,14_20,2.8,0,0.0,0,2,3,0,3,2,0,1,0,1,2007,4,4,2,20,-8,-1,12,1,10,7,-4,-6,7,-7,-3,11,0,6,16,16,15,23,-3,-7,1
25,2007-01-26 10:00:00,47,3.0,0,0.0,0,0,3,0,0,3,0,1,0,0,2007,4,4,1,19,3,6,6,2,-2,6,-1,-4,4,-1,1,10,8,7,7,12,2,36,-24,14,1
26,2007-01-30 09:00:00,65,1.0,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,5,1,1,4,0,0,7,3,4,7,-1,-5,6,-2,0,5,-1,0,5,-2,-1,18,-11,-4,1
27,2007-01-30 10:00:00,6,-0.6000000000000001,0,0.0,0,3,0,0,0,3,0,1,0,0,2007,5,1,1,7,6,5,5,4,-2,5,10,3,3,11,0,7,7,-4,7,4,-3,16,-9,-1,1
28,2007-01-31 08:15:00,0,2.0,0,0.0,0,0,2,0,0,2,0,0,0,1,2007,5,2,1,6,1,2,4,4,2,6,5,2,11,1,0,12,-9,-9,6,-15,-4,21,7,1,1
29,2007-01-31 08:30:00,2_1_22,2.2,0,0.0,0,0,3,4,4,3,0,1,0,2,2007,5,2,3,11,-4,0,12,-14,-9,6,-20,-4,9,-28,-7,5,-29,-1,8,-22,7,15,5,6,1
30,2007-01-31 09:45:00,10,-6.4,0,0.0,0,0,0,2,2,0,0,0,0,1,2007,5,2,1,10,-5,-5,9,-6,-2,6,-6,1,8,-6,1,17,9,14,6,6,-3,42,37,41,2
31,2007-01-31 10:00:00,11,-0.3,0,0.0,0,0,0,1,0,1,0,0,1,0,2007,5,2,1,8,0,1,17,15,14,6,12,-3,16,28,15,7,29,2,7,34,4,31,18,44,2
32,2007-01-31 10:30:00,18,1.0,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,5,2,1,10,-6,-5,5,-4,2,23,19,23,14,8,-12,8,5,-4,12,-3,-9,47,43,0,1
33,2007-01-31 14:15:00,26,0.0,0,0.0,0,3,0,0,3,0,0,1,0,0,2007,5,2,1,33,20,18,8,16,-2,14,18,2,6,20,1,9,20,2,10,16,-2,36,-1,25,2
34,2007-02-01 00:00:00,67,0.0,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,5,3,1,5,-2,-1,5,-3,-3,5,-5,-3,4,-2,1,5,-3,-2,6,-5,-3,8,1,-6,1
35,2007-02-01 08:30:00,69_15_52_51,-8.3,0,1.0,0,3,1,3,7,0,0,1,2,1,2007,5,3,4,7,6,4,6,1,-4,6,1,0,4,-1,0,8,-6,-4,4,-5,1,26,13,5,1
36,2007-02-01 10:00:00,38_50_39,-2.8999999999999995,0,0.0,0,0,4,3,4,3,0,2,1,0,2007,5,3,3,18,3,-3,11,0,-3,7,7,4,13,-5,-11,8,0,7,9,2,0,33,16,-8,1
37,2007-02-01 10:30:00,46,1.0,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,5,3,1,3,-1,-1,8,-7,-3,12,-2,6,9,-7,-5,8,-11,-5,6,-8,2,33,9,-14,1
38,2007-02-02 08:30:00,48_70_3,-102.4,0,0.0,0,0,0,8,3,3,2,2,0,1,2007,5,4,3,24,17,9,18,12,-7,16,9,-7,12,7,-2,5,11,2,9,8,-3,45,16,-57,0
39,2007-02-02 10:00:00,24_63,-0.20000000000000018,0,0.0,0,0,2,2,2,2,0,0,0,2,2007,5,4,2,17,-11,-10,4,-13,-1,6,-7,4,6,-10,-3,3,-11,-2,7,-9,4,48,-29,-12,1
40,2007-02-05 10:00:00,40,3.0,0,0.0,0,0,3,0,3,0,0,1,0,0,2007,6,0,1,9,-9,-4,13,2,8,5,2,-1,5,8,4,7,5,-1,5,8,4,21,-14,5,1
41,2007-02-07 08:30:00,56_57,1.2,0,0.0,0,0,0,4,0,0,4,0,0,2,2007,6,2,2,13,6,6,8,0,-6,6,1,-2,6,-4,-3,6,0,4,4,-3,-3,19,6,13,1
42,2007-02-07 10:30:00,18,-2.4,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,6,2,1,5,0,0,4,1,1,9,-4,-6,5,-1,3,6,-1,1,8,5,6,22,8,6,1
43,2007-02-07 15:00:00,12,-1.0,0,1.0,0,0,0,1,0,1,0,0,1,0,2007,6,2,1,3,1,1,6,0,0,5,0,-2,4,0,2,5,-3,-3,5,0,0,15,-11,7,1
44,2007-02-08 08:30:00,69,1.0,0,1.0,0,1,0,0,1,0,0,0,1,0,2007,6,3,1,5,0,1,18,-2,-5,12,9,12,5,8,0,12,-2,-11,7,2,5,22,10,22,2
45,2007-02-08 10:00:00,31,-1.1,0,-0.2,0,0,1,0,0,1,0,0,1,0,2007,6,3,1,4,1,1,5,3,3,6,0,-2,5,4,5,7,10,6,5,9,0,19,1,20,2
46,2007-02-08 10:30:00,46,-5.0,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,6,3,1,5,-2,-1,6,-1,2,12,5,7,7,8,3,6,12,3,7,13,2,15,8,8,1
47,2007-02-12 14:00:00,25,-3.6,0,0.0,0,2,0,0,2,0,0,0,0,1,2007,7,0,1,5,1,0,5,-1,-2,5,1,1,6,2,1,4,3,1,4,3,2,13,-8,-1,1
48,2007-02-13 08:30:00,68,-5.1,0,3.0,0,0,0,3,3,0,0,1,0,0,2007,7,1,1,12,2,-4,17,17,15,9,15,-3,7,9,-5,3,11,0,7,6,-5,23,13,-5,1
49,2007-02-13 10:00:00,37,-1.3,0,0.0,0,0,0,1,1,0,0,0,1,0,2007,7,1,1,6,0,-2,6,0,0,4,-4,-4,5,-1,3,4,1,2,4,2,1,18,-7,-5,1
50,2007-02-14 08:30:00,17_60,-1.2,0,6.0,0,0,0,6,0,6,0,2,0,0,2007,7,2,2,13,10,9,9,6,-3,6,8,2,7,9,1,11,20,8,10,17,-5,20,6,11,1
51,2007-02-14 10:00:00,5,-0.4,0,-0.4,0,0,2,0,0,2,0,0,0,1,2007,7,2,1,36,33,33,12,33,0,10,39,4,10,47,8,11,40,-8,5,40,-2,46,3,25,2
52,2007-02-14 10:30:00,18,-0.4,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,7,2,1,7,-5,-6,5,-4,-1,4,-7,-3,4,-3,2,7,-8,-5,10,-15,-8,60,46,-17,0
53,2007-02-15 08:30:00,69_41_21,2.63,1,1.53,0,0,2,3,5,0,0,0,1,2,2007,7,3,3,13,2,5,11,0,-3,5,2,2,4,0,0,4,-1,-1,6,-5,-4,13,1,20,2
54,2007-02-15 09:00:00,66,-133.2,0,3.0,0,0,0,3,0,3,0,1,0,0,2007,7,3,1,18,17,7,19,32,16,11,26,-6,10,34,3,10,34,1,8,27,-6,28,6,9,1
