,datetime,new_id,forecast_error_diff_deviation,forecast_error_diff_outlier_class,previous_error_diff_deviation,previous_error_diff_outlier_class,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,Low,Medium,year,week,weekday,num_news,volatility_60_0_before,pips_agg_60_0_before,pips_candle_min_0_30_after,reaction_min_0_30_after
0,2007-01-08 15:00:00,12,1.0,0,0.0,0,0,1,0,1,0,0,0,1,0,2007,2,0,1,14,4,-6,0
1,2007-01-09 10:00:00,37,0.0,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,2,1,1,20,-3,-2,0
2,2007-01-10 08:30:00,68,3.0,0,0.0,0,0,3,0,3,0,0,1,0,0,2007,2,2,1,22,-13,-11,0
3,2007-01-10 10:00:00,31,1.0,0,0.0,0,0,0,1,0,1,0,0,1,0,2007,2,2,1,24,-15,-37,1
4,2007-01-10 10:30:00,18,1.0,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,2,2,1,46,-37,-4,0
5,2007-01-11 08:30:00,69,1.0,0,0.0,0,0,1,0,1,0,0,0,1,0,2007,2,3,1,24,17,-53,1
6,2007-01-11 10:30:00,46,1.0,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,2,3,1,46,-33,-10,0
7,2007-01-12 08:30:00,17_60_41,8.0,0,0.0,0,0,8,0,8,0,0,2,0,1,2007,2,4,3,40,-10,-17,0
8,2007-01-12 10:00:00,5,0.0,0,0.0,0,2,0,0,0,2,0,0,0,1,2007,2,4,1,33,21,-7,0
9,2007-01-12 14:00:00,25,2.0,0,0.0,0,0,2,0,2,0,0,0,0,1,2007,2,4,1,14,-5,-6,0
10,2007-01-16 08:30:00,21,2.0,0,0.0,0,0,0,2,2,0,0,0,0,1,2007,3,1,1,28,-17,-11,0
11,2007-01-17 08:30:00,49_16,5.0,0,0.0,0,0,5,0,5,0,0,1,0,1,2007,3,2,2,25,-10,-8,0
12,2007-01-17 09:00:00,66,3.0,0,0.0,0,0,0,3,0,3,0,1,0,0,2007,3,2,1,31,8,-14,0
13,2007-01-17 09:15:00,9_42,2.0,0,0.0,0,2,2,0,0,0,4,0,0,2,2007,3,2,2,31,-2,-4,0
14,2007-01-17 13:00:00,44,1.0,0,0.0,0,0,1,0,0,1,0,0,1,0,2007,3,2,1,14,2,-3,0
15,2007-01-18 08:30:00,69_13_4_8_36,5.0,0,1.0,0,5,5,0,10,0,0,1,1,3,2007,3,3,5,23,-4,-7,0
16,2007-01-18 10:30:00,18_46,2.0,0,0.0,0,2,0,0,2,0,0,0,2,0,2007,3,3,2,28,-5,-2,0
17,2007-01-18 12:00:00,53,2.0,0,0.0,0,0,2,0,2,0,0,0,0,1,2007,3,3,1,22,-12,-14,0
18,2007-01-19 10:00:00,58,3.0,0,0.0,0,0,3,0,0,3,0,1,0,0,2007,3,4,1,23,-15,-14,0
