,datetime,new_id,forecast_error_ratio_zscore,total_error_ratio_zscore,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,Low,Medium,year,week,weekday,num_news,volatility_60_0_before,pips_agg_60_0_before,pips_agg_0_60_after,direction_agg_0_60_after
0,2007-01-08 15:00:00,12,0.0,0.0,0,1,0,1,0,0,0,1,0,2007,2,0,1,14,4,-1,0
1,2007-01-09 10:00:00,37,0.0,0.0,1,0,0,1,0,0,0,1,0,2007,2,1,1,20,-3,-3,0
2,2007-01-10 08:30:00,68,0.0,0.0,0,1,0,1,0,0,1,0,0,2007,2,2,1,22,-13,-8,0
3,2007-01-10 10:00:00,31,0.0,0.0,0,0,1,0,1,0,0,1,0,2007,2,2,1,24,-15,-21,-2
4,2007-01-10 10:30:00,18,0.0,0.0,1,0,0,1,0,0,0,1,0,2007,2,2,1,46,-37,13,1
5,2007-01-11 08:30:00,69,0.0,0.0,0,1,0,1,0,0,0,1,0,2007,2,3,1,24,17,-72,-2
6,2007-01-11 10:30:00,46,0.0,0.0,1,0,0,1,0,0,0,1,0,2007,2,3,1,46,-33,6,0
7,2007-01-12 10:00:00,5,0.0,0.0,1,0,0,0,1,0,0,0,1,2007,2,4,1,33,21,3,0
8,2007-01-12 14:00:00,25,0.0,0.0,0,1,0,1,0,0,0,0,1,2007,2,4,1,14,-5,0,0
9,2007-01-16 08:30:00,21,0.0,0.0,0,0,1,1,0,0,0,0,1,2007,3,1,1,28,-17,-2,0
10,2007-01-17 09:00:00,66,0.0,0.0,0,0,1,0,1,0,1,0,0,2007,3,2,1,31,8,15,1
11,2007-01-17 13:00:00,44,0.0,0.0,0,1,0,0,1,0,0,1,0,2007,3,2,1,14,2,-7,0
12,2007-01-18 12:00:00,53,0.0,0.0,0,1,0,1,0,0,0,0,1,2007,3,3,1,22,-12,11,1
13,2007-01-19 10:00:00,58,0.0,0.0,0,1,0,0,1,0,1,0,0,2007,3,4,1,23,-15,4,0
