,datetime,new_id,forecast_error_ratio_zscore,total_error_ratio_zscore,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,year,week,weekday,num_news,volatility_60_0_before,pips_agg_60_0_before,pips_agg_0_60_after,direction_agg_0_60_after
0,2007-01-10 08:30:00,31,0.0,0.0,0,1,0,1,0,0,1,2007,2,2,1,22,-13,-8,0
1,2007-01-12 08:30:00,10_29,0.0,0.0,0,2,0,2,0,0,2,2007,2,4,2,40,-10,35,2
2,2007-01-17 08:30:00,23,0.0,0.0,0,1,0,1,0,0,1,2007,3,2,1,25,-10,10,1
3,2007-01-17 09:00:00,30,0.0,0.0,0,0,1,0,1,0,1,2007,3,2,1,31,8,15,1
4,2007-01-18 08:30:00,7,0.0,0.0,1,0,0,1,0,0,1,2007,3,3,1,23,-4,22,2
5,2007-01-19 10:00:00,28,0.0,0.0,0,1,0,0,1,0,1,2007,3,4,1,23,-15,4,0
6,2007-01-25 10:00:00,14,0.0,0.0,0,0,1,1,0,0,1,2007,4,3,1,25,9,-3,0
7,2007-01-26 08:30:00,8,0.0,0.0,0,1,0,1,0,0,1,2007,4,4,1,23,-3,16,1
8,2007-01-26 10:00:00,21,0.0,0.0,0,1,0,0,1,0,1,2007,4,4,1,36,-24,21,2
9,2007-01-30 10:00:00,4,0.0,0.0,1,0,0,0,1,0,1,2007,5,1,1,16,-9,7,0
10,2007-01-31 08:30:00,1,0.0,0.0,0,1,0,0,1,0,1,2007,5,2,1,15,5,-11,-1
11,2007-01-31 14:15:00,15,0.0,0.0,1,0,0,1,0,0,1,2007,5,2,1,36,-1,23,2
12,2007-02-01 08:30:00,9,0.0,0.0,0,0,1,1,0,0,1,2007,5,3,1,26,13,1,0
13,2007-02-01 10:00:00,17_24,0.0,0.0,0,1,1,1,1,0,2,2007,5,3,2,33,16,-14,-1
14,2007-02-02 08:30:00,22_33,0.0,0.0,0,0,2,1,1,0,2,2007,5,4,2,45,16,-64,-2
15,2007-02-05 10:00:00,18,0.0,0.0,0,1,0,1,0,0,1,2007,6,0,1,21,-14,11,1
16,2007-02-13 08:30:00,31,-0.71,-0.71,0,0,1,1,0,0,1,2007,7,1,1,23,13,-9,0
17,2007-02-14 08:30:00,10_29,-1.42,-1.42,0,0,2,0,2,0,2,2007,7,2,2,20,6,11,1
18,2007-02-15 09:00:00,30,-0.71,-0.71,0,0,1,0,1,0,1,2007,7,3,1,28,6,12,1
19,2007-02-16 08:30:00,23,-0.71,-0.71,1,0,0,1,0,0,1,2007,7,4,1,25,0,-16,-1
20,2007-02-16 10:00:00,28,-0.71,-0.71,0,0,1,0,0,1,1,2007,7,4,1,26,12,-7,0
21,2007-02-21 08:30:00,7,0.71,0.0,0,1,0,0,0,1,1,2007,8,2,1,31,12,-22,-2
22,2007-02-27 08:30:00,8,-0.71,-0.71,0,0,1,0,1,0,1,2007,9,1,1,32,15,5,0
23,2007-02-27 10:00:00,14_4,1.42,1.42,0,2,0,1,1,0,2,2007,9,1,2,26,4,-2,0
24,2007-02-28 08:30:00,26,0.0,0.0,0,0,1,1,0,0,1,2007,9,2,1,26,22,-10,-1
25,2007-02-28 10:00:00,21,-0.71,-0.71,0,0,1,0,1,0,1,2007,9,2,1,20,-1,-11,-1
26,2007-03-01 08:30:00,9,0.71,0.71,0,1,0,1,0,0,1,2007,9,3,1,19,-1,-1,0
27,2007-03-01 10:00:00,17,0.71,0.71,0,1,0,1,0,0,1,2007,9,3,1,40,-10,-37,-2
28,2007-03-05 10:00:00,18,-0.71,-0.71,0,0,1,1,0,0,1,2007,10,0,1,40,14,2,0
29,2007-03-06 10:00:00,24,-0.71,-0.71,0,0,1,0,0,1,1,2007,10,1,1,18,10,5,0
30,2007-03-09 08:30:00,31_22_33,1.25,1.38,2,1,0,2,1,0,3,2007,10,4,3,38,-3,-47,-2
31,2007-03-13 08:30:00,10_29,-1.33,-1.6600000000000001,0,0,2,1,0,1,2,2007,11,1,2,30,-5,29,2
32,2007-03-15 08:30:00,23,1.13,1.13,0,1,0,1,0,0,1,2007,11,3,1,30,-6,21,2
33,2007-03-15 09:00:00,30,1.1,1.13,0,1,0,1,0,0,1,2007,11,3,1,30,-4,11,1
34,2007-03-16 08:30:00,7,-0.58,0.0,1,0,0,1,0,0,1,2007,11,4,1,14,-11,-10,-1
35,2007-03-16 10:00:00,28,-0.36,-0.49,0,0,1,0,0,1,1,2007,11,4,1,23,-2,-3,0
36,2007-03-21 14:15:00,15,0.0,0.0,1,0,0,1,0,0,1,2007,12,2,1,49,3,71,2
37,2007-03-23 10:00:00,14,0.9,0.81,0,1,0,1,0,0,1,2007,12,4,1,29,-9,-26,-2
38,2007-03-26 10:00:00,21,-0.61,-0.81,0,0,1,0,0,1,1,2007,13,0,1,53,28,33,2
39,2007-03-27 10:00:00,4,-0.91,-0.99,0,0,1,0,0,1,1,2007,13,1,1,17,-1,8,0
40,2007-03-28 08:30:00,8,0.31,0.29,0,0,1,0,0,1,1,2007,13,2,1,22,-1,10,1
41,2007-03-30 08:30:00,9,0.58,0.22,0,1,0,0,0,1,1,2007,13,4,1,20,16,-7,0
42,2007-04-02 10:00:00,17,-0.12,-0.12,0,0,1,1,0,0,1,2007,14,0,1,15,-7,3,0
43,2007-04-03 10:00:00,24,0.89,0.89,0,1,0,1,0,0,1,2007,14,1,1,12,0,2,0
44,2007-04-04 08:15:00,0,0.0,0.4,0,0,1,0,1,0,1,2007,14,2,1,12,4,8,0
45,2007-04-04 10:00:00,18,-0.51,-0.51,0,0,1,1,0,0,1,2007,14,2,1,20,-5,16,1
46,2007-04-06 08:30:00,22_33,1.8900000000000001,1.63,0,2,0,1,1,0,2,2007,14,4,2,53,-5,-36,-2
47,2007-04-13 08:30:00,31_23,0.44999999999999996,0.36,0,2,0,2,0,0,2,2007,15,4,2,20,-9,10,1
48,2007-04-13 10:00:00,28,-0.52,-0.22,0,0,1,1,0,0,1,2007,15,4,1,20,8,-23,-2
49,2007-04-16 08:30:00,10_29,1.14,2.8499999999999996,1,1,0,0,2,0,2,2007,16,0,2,15,-9,3,0
50,2007-04-16 09:00:00,30,-0.32,-0.46,0,0,1,1,0,0,1,2007,16,0,1,21,2,-4,0
51,2007-04-17 08:30:00,7,-1.22,-1.5,0,0,1,1,0,0,1,2007,16,1,1,27,3,36,2
52,2007-04-24 10:00:00,14_4,-1.86,-1.3800000000000001,0,0,2,1,1,0,2,2007,17,1,2,29,6,35,2
53,2007-04-25 08:30:00,8,0.41,0.14,0,1,0,0,0,1,1,2007,17,2,1,21,-9,-5,0
54,2007-04-25 10:00:00,21,0.25,0.24,0,0,1,0,0,1,1,2007,17,2,1,24,0,17,1
55,2007-04-27 08:30:00,1,-0.71,-0.71,0,0,1,0,0,1,1,2007,17,4,1,43,8,20,1
56,2007-04-30 08:30:00,9,-1.17,-1.18,0,0,1,1,0,0,1,2007,18,0,1,22,5,14,1
57,2007-05-01 10:00:00,17_24,-0.43999999999999995,-0.43999999999999995,0,1,1,1,1,0,2,2007,18,1,2,28,-1,-50,-2
58,2007-05-02 08:15:00,0,-0.72,-0.63,0,0,1,0,0,1,1,2007,18,2,1,25,17,10,1
59,2007-05-03 10:00:00,18,0.99,0.99,0,1,0,1,0,0,1,2007,18,3,1,36,-15,-6,0
60,2007-05-04 08:30:00,22_33,-1.02,-1.12,1,0,1,2,0,0,2,2007,18,4,2,30,-5,34,2
61,2007-05-09 14:15:00,15,0.0,0.0,1,0,0,1,0,0,1,2007,19,2,1,29,6,-26,-2
62,2007-05-10 08:30:00,31,-1.41,-1.48,0,0,1,1,0,0,1,2007,19,3,1,19,4,-26,-2
63,2007-05-11 08:30:00,10_29_23,-2.45,-1.7700000000000002,0,1,2,1,2,0,3,2007,19,4,3,18,11,4,0
64,2007-05-15 08:30:00,7,0.0,0.45,1,0,0,1,0,0,1,2007,20,1,1,32,7,4,0
65,2007-05-15 09:00:00,30,-0.04,-0.14,0,0,1,1,0,0,1,2007,20,1,1,30,22,-9,0
66,2007-05-18 10:00:00,28,0.61,0.95,0,1,0,0,1,0,1,2007,20,4,1,10,4,8,0
67,2007-05-24 08:30:00,8,0.54,0.56,0,1,0,0,0,1,1,2007,21,3,1,19,11,3,0
68,2007-05-24 10:00:00,21,1.31,1.21,0,1,0,0,0,1,1,2007,21,3,1,33,3,-14,-1
69,2007-05-25 10:00:00,14,-0.49,-0.44,0,0,1,0,1,0,1,2007,21,4,1,10,-4,13,1
70,2007-05-29 10:00:00,4,1.08,1.33,0,1,0,0,1,0,1,2007,22,1,1,17,-2,-17,-1
71,2007-05-30 08:15:00,0,0.21,0.35,0,0,1,1,0,0,1,2007,22,2,1,23,-12,5,0
72,2007-05-31 08:30:00,26,-0.71,0.71,0,0,1,1,0,0,1,2007,22,3,1,29,19,0,0
73,2007-06-01 08:30:00,9_22_33,-0.19000000000000006,-0.8300000000000001,1,1,1,2,0,1,3,2007,22,4,3,35,-2,-7,0
74,2007-06-01 10:00:00,17_24,0.04,0.03,0,1,1,1,1,0,2,2007,22,4,2,23,-4,-3,0
75,2007-06-05 10:00:00,18,1.09,1.09,0,1,0,1,0,0,1,2007,23,1,1,24,-19,0,0
76,2007-06-08 08:30:00,31,1.4,1.48,0,1,0,0,1,0,1,2007,23,4,1,33,21,-4,0
77,2007-06-13 08:30:00,10_29,2.6799999999999997,0.76,0,2,0,0,2,0,2,2007,24,2,2,23,2,4,0
78,2007-06-14 08:30:00,23,-0.19,-0.19,0,1,0,1,0,0,1,2007,24,3,1,32,-11,-2,0
79,2007-06-15 08:30:00,7,-0.96,-1.1,0,0,1,1,0,0,1,2007,24,4,1,27,9,29,2
80,2007-06-15 09:00:00,30,0.2,-0.19,0,1,0,0,0,1,1,2007,24,4,1,31,22,-1,0
81,2007-06-15 10:00:00,28,-1.15,-0.74,0,0,1,1,0,0,1,2007,24,4,1,29,0,24,2
82,2007-06-25 10:00:00,14,0.09,-0.04,0,1,0,1,0,0,1,2007,26,0,1,8,-1,-10,-1
83,2007-06-26 10:00:00,21_4,-0.54,-0.59,0,0,2,0,1,1,2,2007,26,1,2,15,4,-9,0
84,2007-06-27 08:30:00,8,-0.32,-0.14,0,0,1,0,1,0,1,2007,26,2,1,22,3,-3,0
85,2007-06-28 14:15:00,15,0.0,0.0,1,0,0,1,0,0,1,2007,26,3,1,17,-14,-10,-1
86,2007-06-29 08:30:00,9,0.15,0.28,1,0,0,1,0,0,1,2007,26,4,1,22,13,4,0
87,2007-07-02 10:00:00,17,-0.37,-0.37,0,1,0,1,0,0,1,2007,27,0,1,10,-3,23,2
88,2007-07-03 10:00:00,24,0.31,0.31,0,0,1,0,0,1,1,2007,27,1,1,13,-1,-10,-1
89,2007-07-05 10:00:00,18,0.47,0.47,0,1,0,1,0,0,1,2007,27,3,1,27,-19,-10,-1
90,2007-07-06 08:30:00,22_33,-0.8,-0.43000000000000005,1,1,0,1,1,0,2,2007,27,4,2,33,12,4,0
91,2007-07-12 08:30:00,31,-0.14,-0.13,1,0,0,1,0,0,1,2007,28,3,1,11,0,-10,-1
92,2007-07-13 08:30:00,10_29,-3.16,-2.6,0,0,2,0,2,0,2,2007,28,4,2,22,0,23,2
93,2007-07-13 10:00:00,28,1.46,1.42,0,1,0,0,1,0,1,2007,28,4,1,23,0,-21,-2
94,2007-07-17 08:30:00,23,-1.5,-1.5,0,0,1,1,0,0,1,2007,29,1,1,14,0,1,0
95,2007-07-17 09:00:00,30,0.78,0.72,0,1,0,0,0,1,1,2007,29,1,1,21,9,0,0
96,2007-07-18 08:30:00,7,0.73,0.73,1,0,0,1,0,0,1,2007,29,2,1,19,3,-11,-1
97,2007-07-25 10:00:00,14,-0.23,-0.23,0,0,1,1,0,0,1,2007,30,2,1,27,-10,-20,-1
98,2007-07-26 08:30:00,8,-0.22,0.28,0,0,1,0,1,0,1,2007,30,3,1,41,30,-2,0
99,2007-07-26 10:00:00,21,-0.48,-0.35,0,0,1,0,0,1,1,2007,30,3,1,39,4,3,0
100,2007-07-27 08:30:00,1,0.36,-0.3,0,1,0,0,0,1,1,2007,30,4,1,23,11,9,0
101,2007-07-31 08:30:00,9,-0.35,-0.29,0,0,1,1,0,0,1,2007,31,1,1,22,8,-12,-1
102,2007-07-31 10:00:00,4,1.52,1.36,0,1,0,0,1,0,1,2007,31,1,1,20,-1,-9,0
103,2007-08-01 10:00:00,17_24,-0.26,-0.26,0,1,1,1,0,1,2,2007,31,2,2,14,7,-10,-1
104,2007-08-03 08:30:00,22_33,-2.3600000000000003,-2.23,0,0,2,2,0,0,2,2007,31,4,2,39,2,25,2
105,2007-08-03 10:00:00,18,-1.21,-1.21,0,0,1,1,0,0,1,2007,31,4,1,39,26,24,2
106,2007-08-07 14:15:00,15,0.0,0.0,1,0,0,1,0,0,1,2007,32,1,1,20,-3,26,2
107,2007-08-13 08:30:00,10_29,0.99,0.16,1,1,0,0,2,0,2,2007,33,0,2,20,4,9,0
108,2007-08-14 08:30:00,31_23,2.1799999999999997,2.2,0,2,0,1,1,0,2,2007,33,1,2,22,4,-12,-1
109,2007-08-15 08:30:00,7,0.73,0.73,1,0,0,1,0,0,1,2007,33,2,1,19,8,-13,-1
110,2007-08-15 09:00:00,30,1.13,1.2,0,1,0,1,0,0,1,2007,33,2,1,25,-9,18,1
