,datetime,new_id,forecast_error_ratio_zscore,total_error_ratio_zscore,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,year,week,weekday,num_news,volatility_0_5_after,pips_agg_0_5_after,pips_candle_0_5_after,volatility_5_10_after,pips_agg_5_10_after,pips_candle_5_10_after,volatility_10_15_after,pips_agg_10_15_after,pips_candle_10_15_after,pips_agg_0_60_after,direction_agg_0_60_after
0,2007-01-10 08:30:00,31,0.0,0.0,0,1,0,1,0,0,1,2007,2,2,1,13,-10,-7,7,-16,-3,10,-12,7,-8,0
1,2007-01-17 08:30:00,23,0.0,0.0,0,1,0,1,0,0,1,2007,3,2,1,13,-6,-5,6,-4,1,7,4,7,10,1
2,2007-01-17 09:00:00,30,0.0,0.0,0,0,1,0,1,0,1,2007,3,2,1,12,3,-3,5,2,-1,9,-5,-7,15,1
3,2007-01-18 08:30:00,7,0.0,0.0,1,0,0,1,0,0,1,2007,3,3,1,19,-20,-12,12,-16,7,7,-12,3,22,2
4,2007-01-19 10:00:00,28,0.0,0.0,0,1,0,0,1,0,1,2007,3,4,1,10,-5,-2,10,-8,-3,6,-9,-2,4,0
5,2007-01-25 10:00:00,14,0.0,0.0,0,0,1,1,0,0,1,2007,4,3,1,8,-2,-1,13,-11,-11,6,-10,-2,-3,0
6,2007-01-26 08:30:00,8,0.0,0.0,0,1,0,1,0,0,1,2007,4,4,1,20,-8,-1,12,1,10,7,-4,-6,16,1
7,2007-01-26 10:00:00,21,0.0,0.0,0,1,0,0,1,0,1,2007,4,4,1,19,3,6,6,2,-2,6,-1,-4,21,2
8,2007-01-30 10:00:00,4,0.0,0.0,1,0,0,0,1,0,1,2007,5,1,1,7,6,5,5,4,-2,5,10,3,7,0
9,2007-01-31 08:30:00,1,0.0,0.0,0,1,0,0,1,0,1,2007,5,2,1,11,-4,0,12,-14,-9,6,-20,-4,-11,-1
10,2007-01-31 14:15:00,15,0.0,0.0,1,0,0,1,0,0,1,2007,5,2,1,33,20,18,8,16,-2,14,18,2,23,2
11,2007-02-01 08:30:00,9,0.0,0.0,0,0,1,1,0,0,1,2007,5,3,1,7,6,4,6,1,-4,6,1,0,1,0
12,2007-02-05 10:00:00,18,0.0,0.0,0,1,0,1,0,0,1,2007,6,0,1,9,-9,-4,13,2,8,5,2,-1,11,1
13,2007-02-13 08:30:00,31,-0.71,-0.71,0,0,1,1,0,0,1,2007,7,1,1,12,2,-4,17,17,15,9,15,-3,-9,0
14,2007-02-15 09:00:00,30,-0.71,-0.71,0,0,1,0,1,0,1,2007,7,3,1,18,17,7,19,32,16,11,26,-6,12,1
15,2007-02-16 08:30:00,23,-0.71,-0.71,1,0,0,1,0,0,1,2007,7,4,1,13,13,7,7,16,3,20,-3,-18,-16,-1
16,2007-02-16 10:00:00,28,-0.71,-0.71,0,0,1,0,0,1,1,2007,7,4,1,15,-7,-8,7,-2,4,4,-3,1,-7,0
17,2007-02-21 08:30:00,7,0.71,0.0,0,1,0,0,0,1,1,2007,8,2,1,26,-13,-6,19,-32,-17,10,-26,7,-22,-2
18,2007-02-27 08:30:00,8,-0.71,-0.71,0,0,1,0,1,0,1,2007,9,1,1,13,11,6,6,10,-1,6,12,3,5,0
19,2007-02-28 08:30:00,26,0.0,0.0,0,0,1,1,0,0,1,2007,9,2,1,14,-8,-6,15,4,11,8,0,-3,-10,-1
20,2007-02-28 10:00:00,21,-0.71,-0.71,0,0,1,0,1,0,1,2007,9,2,1,6,5,0,6,3,0,3,2,0,-11,-1
21,2007-03-01 08:30:00,9,0.71,0.71,0,1,0,1,0,0,1,2007,9,3,1,8,2,3,9,4,3,9,1,-2,-1,0
22,2007-03-01 10:00:00,17,0.71,0.71,0,1,0,1,0,0,1,2007,9,3,1,17,-14,-9,8,-11,2,8,-18,-6,-37,-2
23,2007-03-05 10:00:00,18,-0.71,-0.71,0,0,1,1,0,0,1,2007,10,0,1,14,13,11,11,7,-5,7,9,2,2,0
24,2007-03-06 10:00:00,24,-0.71,-0.71,0,0,1,0,0,1,1,2007,10,1,1,6,0,-2,10,-4,-5,5,1,3,5,0
25,2007-03-15 08:30:00,23,1.13,1.13,0,1,0,1,0,0,1,2007,11,3,1,30,13,15,9,10,-3,8,4,-4,21,2
26,2007-03-15 09:00:00,30,1.1,1.13,0,1,0,1,0,0,1,2007,11,3,1,14,6,8,13,15,11,8,10,-6,11,1
