,new_id,new
284,31,Trade Balance
1038,11,Crude Oil Inventories
1238,32,Unemployment Claims
2416,10,Core Retail Sales m/m
2558,29,Retail Sales m/m
3268,23,PPI m/m
3552,30,TIC Long-Term Purchases
3929,19,Industrial Production m/m
4120,7,Core CPI m/m
4273,3,Building Permits
4444,5,CPI m/m
4717,25,Philly Fed Manufacturing Index
4830,28,Prelim UoM Consumer Sentiment
5256,14,Existing Home Sales
5398,8,Core Durable Goods Orders m/m
5632,12,Durable Goods Orders m/m
5682,21,New Home Sales
5965,4,CB Consumer Confidence
6108,0,ADP Non-Farm Employment Change
6247,1,Advance GDP q/q
6378,13,Employment Cost Index q/q
6424,6,Chicago PMI
6672,15,Federal Funds Rate
6907,9,Core PCE Price Index m/m
7330,17,ISM Manufacturing PMI
7471,24,Pending Home Sales m/m
7754,22,Non-Farm Employment Change
7895,33,Unemployment Rate
8138,2,Average Hourly Earnings m/m
8460,18,ISM Non-Manufacturing PMI
8681,27,Prelim Unit Labor Costs q/q
8695,26,Prelim GDP q/q
8959,16,Final GDP q/q
9273,20,JOLTS Job Openings
