,model_type,model,sweeps_market_variables,sweep_news_agg,sweep_buy_sell,before_data,sweep_grid,best_score,best_params,f1_microavg,precision_weighted,precision_EUR_down,precision_EUR_same,precision_EUR_up,support_EUR_down,support_EUR_same,support_EUR_up,report,elapsed_time
0,clf,kn,basic,ALL_NO_1_1_1,60_120,included,basic,0.63,{'n_neighbors': 11},0.65,0.66,0.64,0.63,0.72,332.00,618.00,342.00,"{'0': {'precision': 0.6387832699619772, 'recall': 0.5060240963855421, 'f1-score': 0.5647058823529412, 'support': 332}, '1': {'precision': 0.6273525721455459, 'recall': 0.8090614886731392, 'f1-score': 0.7067137809187279, 'support': 618}, '2': {'precision': 0.7241379310344828, 'recall': 0.49122807017543857, 'f1-score': 0.5853658536585364, 'support': 342}, 'micro avg': {'precision': 0.6470588235294118, 'recall': 0.6470588235294118, 'f1-score': 0.6470588235294118, 'support': 1292}, 'macro avg': {'precision': 0.6634245910473352, 'recall': 0.6021045517447067, 'f1-score': 0.6189285056434018, 'support': 1292}, 'weighted avg': {'precision': 0.6559095260271802, 'recall': 0.6470588235294118, 'f1-score': 0.6381010770125154, 'support': 1292}}",6.19
1,clf,svc-rbf,basic,ALL_NO_1_1_1,60_120,included,basic,0.50,"{'C': 1, 'gamma': 1}",0.48,0.23,0.00,0.48,0.00,332.00,618.00,342.00,"{'0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 332}, '1': {'precision': 0.47832817337461303, 'recall': 1.0, 'f1-score': 0.6471204188481676, 'support': 618}, '2': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 342}, 'micro avg': {'precision': 0.47832817337461303, 'recall': 0.47832817337461303, 'f1-score': 0.47832817337461303, 'support': 1292}, 'macro avg': {'precision': 0.15944272445820434, 'recall': 0.3333333333333333, 'f1-score': 0.21570680628272254, 'support': 1292}, 'weighted avg': {'precision': 0.22879784144389384, 'recall': 0.47832817337461303, 'f1-score': 0.3095359279010585, 'support': 1292}}",8.81
2,clf,dtree,basic,ALL_NO_1_1_1,60_120,included,basic,0.68,"{'max_depth': 3, 'min_samples_leaf': 200}",0.68,0.69,0.73,0.65,0.71,332.00,618.00,342.00,"{'0': {'precision': 0.7328519855595668, 'recall': 0.6114457831325302, 'f1-score': 0.6666666666666667, 'support': 332}, '1': {'precision': 0.6476063829787234, 'recall': 0.7880258899676376, 'f1-score': 0.710948905109489, 'support': 618}, '2': {'precision': 0.7110266159695817, 'recall': 0.5467836257309941, 'f1-score': 0.6181818181818182, 'support': 342}, 'micro avg': {'precision': 0.6787925696594427, 'recall': 0.6787925696594427, 'f1-score': 0.6787925696594427, 'support': 1292}, 'macro avg': {'precision': 0.697161661502624, 'recall': 0.648751766277054, 'f1-score': 0.665265796652658, 'support': 1292}, 'weighted avg': {'precision': 0.6862993084738578, 'recall': 0.6787925696594427, 'f1-score': 0.6750138842950305, 'support': 1292}}",0.48
3,clf,rforest,basic,ALL_NO_1_1_1,60_120,included,basic,0.67,"{'max_depth': 6, 'min_samples_leaf': 10, 'n_estimators': 200}",0.68,0.69,0.75,0.64,0.72,332.00,618.00,342.00,"{'0': {'precision': 0.7510917030567685, 'recall': 0.5180722891566265, 'f1-score': 0.6131907308377896, 'support': 332}, '1': {'precision': 0.6432098765432098, 'recall': 0.843042071197411, 'f1-score': 0.7296918767507004, 'support': 618}, '2': {'precision': 0.7233201581027668, 'recall': 0.5350877192982456, 'f1-score': 0.6151260504201682, 'support': 342}, 'micro avg': {'precision': 0.6780185758513931, 'recall': 0.6780185758513931, 'f1-score': 0.6780185758513931, 'support': 1292}, 'macro avg': {'precision': 0.7058739125675816, 'recall': 0.6320673598840943, 'f1-score': 0.6526695526695527, 'support': 1292}, 'weighted avg': {'precision': 0.6921374947288677, 'recall': 0.6780185758513931, 'f1-score': 0.6694288016360499, 'support': 1292}}",19.42
4,clf,xgb,basic,ALL_NO_1_1_1,60_120,included,basic,0.68,{'n_estimators': 50},0.69,0.70,0.75,0.66,0.73,332.00,618.00,342.00,"{'0': {'precision': 0.75, 'recall': 0.5692771084337349, 'f1-score': 0.6472602739726028, 'support': 332}, '1': {'precision': 0.6584734799482536, 'recall': 0.8236245954692557, 'f1-score': 0.7318475916606757, 'support': 618}, '2': {'precision': 0.7340823970037453, 'recall': 0.5730994152046783, 'f1-score': 0.6436781609195403, 'support': 342}, 'micro avg': {'precision': 0.6919504643962848, 'recall': 0.6919504643962848, 'f1-score': 0.6919504643962848, 'support': 1292}, 'macro avg': {'precision': 0.714185292317333, 'recall': 0.655333706369223, 'f1-score': 0.6742620088509396, 'support': 1292}, 'weighted avg': {'precision': 0.7020068037022458, 'recall': 0.6919504643962848, 'f1-score': 0.6867725647365979, 'support': 1292}}",0.92
5,clf,gboosting,basic,ALL_NO_1_1_1,60_120,included,basic,0.68,{'n_estimators': 50},0.69,0.69,0.73,0.66,0.71,332.00,618.00,342.00,"{'0': {'precision': 0.7265917602996255, 'recall': 0.5843373493975904, 'f1-score': 0.6477462437395659, 'support': 332}, '1': {'precision': 0.6626826029216467, 'recall': 0.8074433656957929, 'f1-score': 0.7279358132749818, 'support': 618}, '2': {'precision': 0.7132352941176471, 'recall': 0.5672514619883041, 'f1-score': 0.6319218241042345, 'support': 342}, 'micro avg': {'precision': 0.6865325077399381, 'recall': 0.6865325077399381, 'f1-score': 0.6865325077399381, 'support': 1292}, 'macro avg': {'precision': 0.7008365524463064, 'recall': 0.6530107256938958, 'f1-score': 0.6692012937062607, 'support': 1292}, 'weighted avg': {'precision': 0.6924866746232884, 'recall': 0.6865325077399381, 'f1-score': 0.6819143570968442, 'support': 1292}}",2.56
6,clf,ada,basic,ALL_NO_1_1_1,60_120,included,basic,0.67,{'n_estimators': 10},0.69,0.69,0.73,0.68,0.66,332.00,618.00,342.00,"{'0': {'precision': 0.7328519855595668, 'recall': 0.6114457831325302, 'f1-score': 0.6666666666666667, 'support': 332}, '1': {'precision': 0.6837349397590361, 'recall': 0.7346278317152104, 'f1-score': 0.7082683307332295, 'support': 618}, '2': {'precision': 0.6638176638176638, 'recall': 0.6812865497076024, 'f1-score': 0.6724386724386725, 'support': 342}, 'micro avg': {'precision': 0.6888544891640866, 'recall': 0.6888544891640866, 'f1-score': 0.6888544891640866, 'support': 1292}, 'macro avg': {'precision': 0.6934681963787556, 'recall': 0.6757867215184477, 'f1-score': 0.6824578899461895, 'support': 1292}, 'weighted avg': {'precision': 0.6910841277109144, 'recall': 0.6888544891640866, 'f1-score': 0.6880937985297951, 'support': 1292}}",0.76
0,reg,kn,basic,ALL_NO_1_1_1,60_120,included,basic,25.74,{'n_neighbors': 11},,,,,,,,,26.01,6.24
1,reg,svr-rbf,basic,ALL_NO_1_1_1,60_120,included,basic,34.20,"{'C': 1, 'gamma': 1}",,,,,,,,,34.77,6.38
2,reg,dtree,basic,ALL_NO_1_1_1,60_120,included,basic,22.29,"{'max_depth': 4, 'min_samples_leaf': 10}",,,,,,,,,22.15,0.56
