,model_type,model,sweeps_market_variables,sweep_news_agg,sweep_buy_sell,before_data,sweep_grid,best_score,best_params,f1_microavg,precision_weighted,precision_EUR_down,precision_EUR_same,precision_EUR_up,support_EUR_down,support_EUR_same,support_EUR_up,report,elapsed_time
0,clf,kn,basic,ALL_NO_1_1_1,60_180,included,basic,0.60,{'n_neighbors': 51},0.60,0.63,0.58,0.58,0.76,316.00,624.00,352.00,"{'0': {'precision': 0.585, 'recall': 0.370253164556962, 'f1-score': 0.45348837209302323, 'support': 316}, '1': {'precision': 0.5797413793103449, 'recall': 0.8621794871794872, 'f1-score': 0.693298969072165, 'support': 624}, '2': {'precision': 0.7621951219512195, 'recall': 0.35511363636363635, 'f1-score': 0.48449612403100784, 'support': 352}, 'micro avg': {'precision': 0.6037151702786377, 'recall': 0.6037151702786377, 'f1-score': 0.6037151702786377, 'support': 1292}, 'macro avg': {'precision': 0.6423121670871881, 'recall': 0.5291820960333619, 'f1-score': 0.5437611550653987, 'support': 1292}, 'weighted avg': {'precision': 0.6307363031087341, 'recall': 0.6037151702786377, 'f1-score': 0.5777581408214714, 'support': 1292}}",5.67
1,clf,svc-rbf,basic,ALL_NO_1_1_1,60_180,included,basic,0.50,"{'C': 1, 'gamma': 1}",0.48,0.23,0.00,0.48,0.00,316.00,624.00,352.00,"{'0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 316}, '1': {'precision': 0.48297213622291024, 'recall': 1.0, 'f1-score': 0.651356993736952, 'support': 624}, '2': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 352}, 'micro avg': {'precision': 0.48297213622291024, 'recall': 0.48297213622291024, 'f1-score': 0.48297213622291024, 'support': 1292}, 'macro avg': {'precision': 0.1609907120743034, 'recall': 0.3333333333333333, 'f1-score': 0.21711899791231734, 'support': 1292}, 'weighted avg': {'precision': 0.23326208436772136, 'recall': 0.48297213622291024, 'f1-score': 0.31458727870886843, 'support': 1292}}",8.11
2,clf,dtree,basic,ALL_NO_1_1_1,60_180,included,basic,0.64,"{'max_depth': 3, 'min_samples_leaf': 150}",0.64,0.67,0.68,0.60,0.77,316.00,624.00,352.00,"{'0': {'precision': 0.6755555555555556, 'recall': 0.4810126582278481, 'f1-score': 0.5619223659889094, 'support': 316}, '1': {'precision': 0.6013590033975085, 'recall': 0.8509615384615384, 'f1-score': 0.7047113470471135, 'support': 624}, '2': {'precision': 0.7717391304347826, 'recall': 0.4034090909090909, 'f1-score': 0.5298507462686567, 'support': 352}, 'micro avg': {'precision': 0.6385448916408669, 'recall': 0.6385448916408669, 'f1-score': 0.6385448916408669, 'support': 1292}, 'macro avg': {'precision': 0.6828845631292823, 'recall': 0.5784610958661591, 'f1-score': 0.5988281531015599, 'support': 1292}, 'weighted avg': {'precision': 0.6659255012296009, 'recall': 0.6385448916408669, 'f1-score': 0.6221476864523694, 'support': 1292}}",0.47
3,clf,rforest,basic,ALL_NO_1_1_1,60_180,included,basic,0.65,"{'max_depth': 7, 'min_samples_leaf': 20, 'n_estimators': 50}",0.64,0.65,0.63,0.63,0.70,316.00,624.00,352.00,"{'0': {'precision': 0.6341463414634146, 'recall': 0.4936708860759494, 'f1-score': 0.5551601423487544, 'support': 316}, '1': {'precision': 0.630188679245283, 'recall': 0.8028846153846154, 'f1-score': 0.7061310782241014, 'support': 624}, '2': {'precision': 0.6972111553784861, 'recall': 0.4971590909090909, 'f1-score': 0.5804311774461028, 'support': 352}, 'micro avg': {'precision': 0.6439628482972136, 'recall': 0.6439628482972136, 'f1-score': 0.6439628482972136, 'support': 1292}, 'macro avg': {'precision': 0.6538487253623946, 'recall': 0.5979048641232185, 'f1-score': 0.6139074660063196, 'support': 1292}, 'weighted avg': {'precision': 0.6494166458550485, 'recall': 0.6439628482972136, 'f1-score': 0.634959885646342, 'support': 1292}}",17.72
4,clf,xgb,basic,ALL_NO_1_1_1,60_180,included,basic,0.65,{'n_estimators': 100},0.64,0.64,0.62,0.64,0.68,316.00,624.00,352.00,"{'0': {'precision': 0.6183206106870229, 'recall': 0.5126582278481012, 'f1-score': 0.560553633217993, 'support': 316}, '1': {'precision': 0.63671875, 'recall': 0.7836538461538461, 'f1-score': 0.7025862068965516, 'support': 624}, '2': {'precision': 0.6793893129770993, 'recall': 0.5056818181818182, 'f1-score': 0.5798045602605864, 'support': 352}, 'micro avg': {'precision': 0.641640866873065, 'recall': 0.641640866873065, 'f1-score': 0.641640866873065, 'support': 1292}, 'macro avg': {'precision': 0.6448095578880407, 'recall': 0.6006646307279219, 'f1-score': 0.6143148001250437, 'support': 1292}, 'weighted avg': {'precision': 0.6438443120317634, 'recall': 0.641640866873065, 'f1-score': 0.6343962433529879, 'support': 1292}}",0.86
5,clf,gboosting,basic,ALL_NO_1_1_1,60_180,included,basic,0.65,{'n_estimators': 50},0.64,0.64,0.63,0.63,0.67,316.00,624.00,352.00,"{'0': {'precision': 0.6334661354581673, 'recall': 0.5031645569620253, 'f1-score': 0.5608465608465609, 'support': 316}, '1': {'precision': 0.628719275549806, 'recall': 0.7788461538461539, 'f1-score': 0.6957766642806014, 'support': 624}, '2': {'precision': 0.6716417910447762, 'recall': 0.5113636363636364, 'f1-score': 0.5806451612903226, 'support': 352}, 'micro avg': {'precision': 0.6385448916408669, 'recall': 0.6385448916408669, 'f1-score': 0.6385448916408669, 'support': 1292}, 'macro avg': {'precision': 0.6446090673509165, 'recall': 0.5977914490572718, 'f1-score': 0.612422795472495, 'support': 1292}, 'weighted avg': {'precision': 0.641574332194753, 'recall': 0.6385448916408669, 'f1-score': 0.6314080870842121, 'support': 1292}}",2.39
6,clf,ada,basic,ALL_NO_1_1_1,60_180,included,basic,0.64,{'n_estimators': 50},0.63,0.64,0.63,0.63,0.65,316.00,624.00,352.00,"{'0': {'precision': 0.6299212598425197, 'recall': 0.5063291139240507, 'f1-score': 0.5614035087719299, 'support': 316}, '1': {'precision': 0.6283068783068783, 'recall': 0.7612179487179487, 'f1-score': 0.6884057971014491, 'support': 624}, '2': {'precision': 0.6524822695035462, 'recall': 0.5227272727272727, 'f1-score': 0.5804416403785488, 'support': 352}, 'micro avg': {'precision': 0.6339009287925697, 'recall': 0.6339009287925697, 'f1-score': 0.6339009287925697, 'support': 1292}, 'macro avg': {'precision': 0.6369034692176481, 'recall': 0.5967581117897574, 'f1-score': 0.6100836487506426, 'support': 1292}, 'weighted avg': {'precision': 0.6352882113304772, 'recall': 0.6339009287925697, 'f1-score': 0.6279289346567208, 'support': 1292}}",0.73
0,reg,kn,basic,ALL_NO_1_1_1,60_180,included,basic,31.37,{'n_neighbors': 11},,,,,,,,,30.77,5.71
1,reg,svr-rbf,basic,ALL_NO_1_1_1,60_180,included,basic,38.42,"{'C': 5, 'gamma': 1}",,,,,,,,,37.48,5.66
2,reg,dtree,basic,ALL_NO_1_1_1,60_180,included,basic,28.78,"{'max_depth': 4, 'min_samples_leaf': 50}",,,,,,,,,27.43,0.47
