,datetime,new_id,forecast_error_diff_deviation,forecast_error_diff_outlier_class,previous_error_diff_deviation,previous_error_diff_outlier_class,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,Low,Medium,year,week,weekday,num_news,volatility_0_5_after,pips_agg_0_5_after,volatility_5_10_after,pips_agg_5_10_after,volatility_10_15_after,pips_agg_10_15_after,volatility_15_20_after,pips_agg_15_20_after,volatility_20_25_after,pips_agg_20_25_after,volatility_25_30_after,pips_agg_25_30_after,volatility_0_45_after,pips_agg_0_45_after,volatility_0_60_after,pips_agg_0_60_after,volatility_60_0_before,pips_agg_60_0_before,pips_agg_0_120_after,direction_agg_0_120_after
0,2007-01-08 15:00:00,12,1.0,0,0.0,0,0,1,0,1,0,0,0,1,0,2007,2,0,1,6,1,4,-1,9,1,4,2,6,0,5,0,9,-2,9,-1,14,4,3,1
1,2007-01-09 10:00:00,37,0.0,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,2,1,1,5,0,7,2,5,1,5,2,4,0,6,5,20,-6,20,-3,20,-3,-11,1
2,2007-01-10 08:30:00,68,3.0,0,0.0,0,0,3,0,3,0,0,1,0,0,2007,2,2,1,13,-10,7,-16,10,-12,10,-20,10,-13,6,-12,22,-7,22,-8,22,-13,-45,0
3,2007-01-10 10:00:00,31,1.0,0,0.0,0,0,0,1,0,1,0,0,1,0,2007,2,2,1,7,6,18,-12,14,-20,7,-21,6,-25,7,-28,37,-18,37,-21,24,-15,-23,0
4,2007-01-10 10:30:00,18,-3.5,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,2,2,1,5,4,8,10,5,10,8,9,7,9,6,11,18,14,18,13,46,-37,7,1
5,2007-01-11 08:30:00,69,-21.0,0,0.0,0,0,1,0,1,0,0,0,1,0,2007,2,3,1,11,-9,26,-26,20,-31,14,-42,20,-47,11,-55,62,-50,79,-72,24,17,-87,0
6,2007-01-11 10:30:00,46,-4.0,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,2,3,1,8,0,7,-3,3,-4,7,-7,9,-3,7,-6,19,8,19,6,46,-33,13,1
7,2007-01-12 08:30:00,17_60_41,8.0,0,0.0,0,0,8,0,8,0,0,2,0,1,2007,2,4,3,23,-4,11,-12,10,-21,8,-13,19,-2,28,24,59,28,59,35,40,-10,48,2
8,2007-01-12 10:00:00,5,0.0,0,0.0,0,2,0,0,0,2,0,0,0,1,2007,2,4,1,17,-4,8,-10,8,-5,15,7,7,7,7,6,24,1,24,3,33,21,-6,1
9,2007-01-12 14:00:00,25,2.0,0,0.0,0,0,2,0,2,0,0,0,0,1,2007,2,4,1,6,0,5,-1,7,-5,4,-4,5,-4,6,0,8,-2,9,0,14,-5,1,1
