,model_type,model,sweeps_market_variables,sweep_news_agg,sweep_buy_sell,before_data,sweep_grid,best_score,best_params,f1_microavg,precision_weighted,precision_EUR_down,precision_EUR_same,precision_EUR_up,support_EUR_down,support_EUR_same,support_EUR_up,clf_report,elapsed_time
0,clf,kn,basic,ALL_NO_1_1_1,60_120,included,basic,0.62,{'n_neighbors': 31},0.65,0.73,0.46,0.86,0.47,224.00,852.00,216.00,"{'0': {'precision': 0.463855421686747, 'recall': 0.6875, 'f1-score': 0.5539568345323741, 'support': 224}, '1': {'precision': 0.8592233009708737, 'recall': 0.6232394366197183, 'f1-score': 0.7224489795918366, 'support': 852}, '2': {'precision': 0.4678362573099415, 'recall': 0.7407407407407407, 'f1-score': 0.5734767025089605, 'support': 216}, 'micro avg': {'precision': 0.6540247678018576, 'recall': 0.6540247678018576, 'f1-score': 0.6540247678018576, 'support': 1292}, 'macro avg': {'precision': 0.5969716599891873, 'recall': 0.6838267257868197, 'f1-score': 0.6166275055443905, 'support': 1292}, 'weighted avg': {'precision': 0.7252434198637485, 'recall': 0.6540247678018576, 'f1-score': 0.6683311372209226, 'support': 1292}}",5.62
1,clf,svc-rbf,basic,ALL_NO_1_1_1,60_120,included,basic,0.50,"{'C': 1, 'gamma': 1}",0.48,1.00,0.00,1.00,0.00,0.00,1292.00,0.00,"{'0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0}, '1': {'precision': 1.0, 'recall': 0.47832817337461303, 'f1-score': 0.6471204188481676, 'support': 1292}, '2': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0}, 'micro avg': {'precision': 0.47832817337461303, 'recall': 0.47832817337461303, 'f1-score': 0.47832817337461303, 'support': 1292}, 'macro avg': {'precision': 0.3333333333333333, 'recall': 0.15944272445820434, 'f1-score': 0.21570680628272254, 'support': 1292}, 'weighted avg': {'precision': 1.0, 'recall': 0.47832817337461303, 'f1-score': 0.6471204188481676, 'support': 1292}}",7.18
2,clf,dtree,basic,ALL_NO_1_1_1,60_120,included,basic,0.68,"{'max_depth': 3, 'min_samples_leaf': 200}",0.68,0.70,0.61,0.79,0.55,277.00,752.00,263.00,"{'0': {'precision': 0.6114457831325302, 'recall': 0.7328519855595668, 'f1-score': 0.6666666666666667, 'support': 277}, '1': {'precision': 0.7880258899676376, 'recall': 0.6476063829787234, 'f1-score': 0.710948905109489, 'support': 752}, '2': {'precision': 0.5467836257309941, 'recall': 0.7110266159695817, 'f1-score': 0.6181818181818182, 'support': 263}, 'micro avg': {'precision': 0.6787925696594427, 'recall': 0.6787925696594427, 'f1-score': 0.6787925696594427, 'support': 1292}, 'macro avg': {'precision': 0.648751766277054, 'recall': 0.697161661502624, 'f1-score': 0.665265796652658, 'support': 1292}, 'weighted avg': {'precision': 0.7010604061537352, 'recall': 0.6787925696594427, 'f1-score': 0.682571255023855, 'support': 1292}}",0.41
3,clf,rforest,basic,ALL_NO_1_1_1,60_120,included,basic,0.67,"{'max_depth': 6, 'min_samples_leaf': 50, 'n_estimators': 100}",0.68,0.72,0.53,0.82,0.57,236.00,784.00,272.00,"{'0': {'precision': 0.5301204819277109, 'recall': 0.7457627118644068, 'f1-score': 0.6197183098591549, 'support': 236}, '1': {'precision': 0.8220064724919094, 'recall': 0.6479591836734694, 'f1-score': 0.7246790299572041, 'support': 784}, '2': {'precision': 0.5701754385964912, 'recall': 0.7169117647058824, 'f1-score': 0.6351791530944625, 'support': 272}, 'micro avg': {'precision': 0.6803405572755418, 'recall': 0.6803405572755418, 'f1-score': 0.6803405572755418, 'support': 1292}, 'macro avg': {'precision': 0.6407674643387039, 'recall': 0.7035445534145861, 'f1-score': 0.6598588309702738, 'support': 1292}, 'weighted avg': {'precision': 0.7156727766771226, 'recall': 0.6803405572755418, 'f1-score': 0.6866645590208222, 'support': 1292}}",15.79
4,clf,xgb,basic,ALL_NO_1_1_1,60_120,included,basic,0.68,{'n_estimators': 50},0.69,0.72,0.57,0.83,0.56,252.00,778.00,262.00,"{'0': {'precision': 0.5692771084337349, 'recall': 0.75, 'f1-score': 0.6472602739726028, 'support': 252}, '1': {'precision': 0.8268608414239482, 'recall': 0.6568123393316195, 'f1-score': 0.7320916905444126, 'support': 778}, '2': {'precision': 0.564327485380117, 'recall': 0.7366412213740458, 'f1-score': 0.6390728476821191, 'support': 262}, 'micro avg': {'precision': 0.6911764705882353, 'recall': 0.6911764705882353, 'f1-score': 0.6911764705882353, 'support': 1292}, 'macro avg': {'precision': 0.6534884784126, 'recall': 0.7144845202352218, 'f1-score': 0.6728082707330448, 'support': 1292}, 'weighted avg': {'precision': 0.7233818630980833, 'recall': 0.6911764705882353, 'f1-score': 0.6966826705707153, 'support': 1292}}",0.73
5,clf,gboosting,basic,ALL_NO_1_1_1,60_120,included,basic,0.68,{'n_estimators': 50},0.69,0.71,0.59,0.81,0.58,269.00,750.00,273.00,"{'0': {'precision': 0.5873493975903614, 'recall': 0.724907063197026, 'f1-score': 0.64891846921797, 'support': 269}, '1': {'precision': 0.8074433656957929, 'recall': 0.6653333333333333, 'f1-score': 0.72953216374269, 'support': 750}, '2': {'precision': 0.5789473684210527, 'recall': 0.7252747252747253, 'f1-score': 0.6439024390243901, 'support': 273}, 'micro avg': {'precision': 0.6904024767801857, 'recall': 0.6904024767801857, 'f1-score': 0.6904024767801857, 'support': 1292}, 'macro avg': {'precision': 0.6579133772357356, 'recall': 0.7051717072683615, 'f1-score': 0.6741176906616834, 'support': 1292}, 'weighted avg': {'precision': 0.7133375726026311, 'recall': 0.6904024767801857, 'f1-score': 0.6946544557897135, 'support': 1292}}",2.13
6,clf,ada,basic,ALL_NO_1_1_1,60_120,included,basic,0.67,{'n_estimators': 10},0.69,0.69,0.61,0.73,0.68,277.00,664.00,351.00,"{'0': {'precision': 0.6114457831325302, 'recall': 0.7328519855595668, 'f1-score': 0.6666666666666667, 'support': 277}, '1': {'precision': 0.7346278317152104, 'recall': 0.6837349397590361, 'f1-score': 0.7082683307332295, 'support': 664}, '2': {'precision': 0.6812865497076024, 'recall': 0.6638176638176638, 'f1-score': 0.6724386724386725, 'support': 351}, 'micro avg': {'precision': 0.6888544891640866, 'recall': 0.6888544891640866, 'f1-score': 0.6888544891640866, 'support': 1292}, 'macro avg': {'precision': 0.6757867215184477, 'recall': 0.6934681963787556, 'f1-score': 0.6824578899461895, 'support': 1292}, 'weighted avg': {'precision': 0.6937267346238227, 'recall': 0.6888544891640866, 'f1-score': 0.6896151797983786, 'support': 1292}}",0.63
0,clf,kn,all,ALL_NO_1_1_1,60_120,included,basic,0.62,{'n_neighbors': 21},0.66,0.72,0.49,0.84,0.49,246.00,827.00,219.00,"{'0': {'precision': 0.4879518072289157, 'recall': 0.6585365853658537, 'f1-score': 0.5605536332179931, 'support': 246}, '1': {'precision': 0.8446601941747572, 'recall': 0.6311970979443773, 'f1-score': 0.7224913494809687, 'support': 827}, '2': {'precision': 0.4853801169590643, 'recall': 0.7579908675799086, 'f1-score': 0.5918003565062389, 'support': 219}, 'micro avg': {'precision': 0.6578947368421053, 'recall': 0.6578947368421053, 'f1-score': 0.6578947368421053, 'support': 1292}, 'macro avg': {'precision': 0.605997372787579, 'recall': 0.6825748502967133, 'f1-score': 0.6249484464017335, 'support': 1292}, 'weighted avg': {'precision': 0.7158423922406134, 'recall': 0.6578947368421053, 'f1-score': 0.6695052769870384, 'support': 1292}}",6.45
1,clf,svc-rbf,all,ALL_NO_1_1_1,60_120,included,basic,0.50,"{'C': 1, 'gamma': 1}",0.48,1.00,0.00,1.00,0.00,0.00,1292.00,0.00,"{'0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0}, '1': {'precision': 1.0, 'recall': 0.47832817337461303, 'f1-score': 0.6471204188481676, 'support': 1292}, '2': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0}, 'micro avg': {'precision': 0.47832817337461303, 'recall': 0.47832817337461303, 'f1-score': 0.47832817337461303, 'support': 1292}, 'macro avg': {'precision': 0.3333333333333333, 'recall': 0.15944272445820434, 'f1-score': 0.21570680628272254, 'support': 1292}, 'weighted avg': {'precision': 1.0, 'recall': 0.47832817337461303, 'f1-score': 0.6471204188481676, 'support': 1292}}",8.34
2,clf,dtree,all,ALL_NO_1_1_1,60_120,included,basic,0.68,"{'max_depth': 3, 'min_samples_leaf': 200}",0.68,0.70,0.61,0.79,0.55,277.00,752.00,263.00,"{'0': {'precision': 0.6114457831325302, 'recall': 0.7328519855595668, 'f1-score': 0.6666666666666667, 'support': 277}, '1': {'precision': 0.7880258899676376, 'recall': 0.6476063829787234, 'f1-score': 0.710948905109489, 'support': 752}, '2': {'precision': 0.5467836257309941, 'recall': 0.7110266159695817, 'f1-score': 0.6181818181818182, 'support': 263}, 'micro avg': {'precision': 0.6787925696594427, 'recall': 0.6787925696594427, 'f1-score': 0.6787925696594427, 'support': 1292}, 'macro avg': {'precision': 0.648751766277054, 'recall': 0.697161661502624, 'f1-score': 0.665265796652658, 'support': 1292}, 'weighted avg': {'precision': 0.7010604061537352, 'recall': 0.6787925696594427, 'f1-score': 0.682571255023855, 'support': 1292}}",0.50
