,model_type,model,sweeps_market_variables,sweep_news_agg,sweep_buy_sell,before_data,sweep_grid,best_score,best_params,accuracy_test,accuracy_per_class,ocurrences_per_class,total_ocurrences,elapsed_time
0,clf,kn,basic,ALL_YES_1_1_1,30_90,included,basic,0.64,{'n_neighbors': 51},0.65,"[37.4384236453202, 89.84375, 31.18811881188119]","[203, 512, 202]",917,1.42
1,clf,svc-rbf,basic,ALL_YES_1_1_1,30_90,included,basic,0.54,"{'C': 1, 'gamma': 1}",0.56,"[0.0, 100.0, 0.0]","[203, 512, 202]",917,3.57
2,clf,dtree,basic,ALL_YES_1_1_1,30_90,included,basic,0.66,"{'max_depth': 3, 'min_samples_leaf': 100}",0.67,"[52.216748768472904, 83.3984375, 42.07920792079208]","[203, 512, 202]",917,0.23
3,clf,rforest,basic,ALL_YES_1_1_1,30_90,included,basic,0.65,"{'max_depth': 6, 'min_samples_leaf': 10, 'n_estimators': 50}",0.67,"[43.34975369458128, 87.3046875, 40.0990099009901]","[203, 512, 202]",917,9.41
4,clf,xgb,basic,ALL_YES_1_1_1,30_90,included,basic,0.65,{'n_estimators': 10},0.68,"[43.34975369458128, 87.3046875, 42.57425742574257]","[203, 512, 202]",917,0.97
5,clf,gboosting,basic,ALL_YES_1_1_1,30_90,included,basic,0.65,{'n_estimators': 10},0.67,"[37.93103448275862, 87.890625, 42.57425742574257]","[203, 512, 202]",917,1.20
6,clf,ada,basic,ALL_YES_1_1_1,30_90,included,basic,0.64,{'n_estimators': 10},0.65,"[51.23152709359606, 79.6875, 43.06930693069307]","[203, 512, 202]",917,0.41
0,clf,kn,all,ALL_YES_1_1_1,30_90,included,basic,0.64,{'n_neighbors': 51},0.65,"[32.01970443349754, 90.4296875, 32.67326732673267]","[203, 512, 202]",917,1.77
1,clf,svc-rbf,all,ALL_YES_1_1_1,30_90,included,basic,0.54,"{'C': 1, 'gamma': 1}",0.56,"[0.0, 100.0, 0.0]","[203, 512, 202]",917,3.86
2,clf,dtree,all,ALL_YES_1_1_1,30_90,included,basic,0.66,"{'max_depth': 3, 'min_samples_leaf': 100}",0.67,"[52.216748768472904, 83.3984375, 42.07920792079208]","[203, 512, 202]",917,0.27
3,clf,rforest,all,ALL_YES_1_1_1,30_90,included,basic,0.65,"{'max_depth': 6, 'min_samples_leaf': 10, 'n_estimators': 200}",0.67,"[44.33497536945813, 85.9375, 40.0990099009901]","[203, 512, 202]",917,10.78
4,clf,xgb,all,ALL_YES_1_1_1,30_90,included,basic,0.65,{'n_estimators': 10},0.68,"[42.857142857142854, 87.109375, 42.57425742574257]","[203, 512, 202]",917,1.16
5,clf,gboosting,all,ALL_YES_1_1_1,30_90,included,basic,0.65,{'n_estimators': 10},0.66,"[38.916256157635466, 87.109375, 41.584158415841586]","[203, 512, 202]",917,1.48
6,clf,ada,all,ALL_YES_1_1_1,30_90,included,basic,0.64,{'n_estimators': 10},0.65,"[51.23152709359606, 79.6875, 43.06930693069307]","[203, 512, 202]",917,0.47
0,clf,kn,basic,ALL_YES_3_2_1,30_90,included,basic,0.64,{'n_neighbors': 51},0.65,"[37.4384236453202, 89.84375, 30.693069306930692]","[203, 512, 202]",917,1.78
1,clf,svc-rbf,basic,ALL_YES_3_2_1,30_90,included,basic,0.54,"{'C': 1, 'gamma': 1}",0.56,"[0.0, 100.0, 0.0]","[203, 512, 202]",917,3.34
2,clf,dtree,basic,ALL_YES_3_2_1,30_90,included,basic,0.66,"{'max_depth': 3, 'min_samples_leaf': 100}",0.67,"[52.216748768472904, 83.3984375, 42.07920792079208]","[203, 512, 202]",917,0.24
3,clf,rforest,basic,ALL_YES_3_2_1,30_90,included,basic,0.65,"{'max_depth': 6, 'min_samples_leaf': 30, 'n_estimators': 200}",0.67,"[45.8128078817734, 85.9375, 39.603960396039604]","[203, 512, 202]",917,10.29
4,clf,xgb,basic,ALL_YES_3_2_1,30_90,included,basic,0.65,{'n_estimators': 10},0.67,"[43.8423645320197, 86.328125, 43.06930693069307]","[203, 512, 202]",917,1.00
