,model_type,model,sweeps_market_variables,sweep_news_agg,sweep_buy_sell,before_data,sweep_grid,best_score,best_params,accuracy_test,accuracy_per_class,ocurrences_per_class,total_ocurrences,elapsed_time
0,clf,kn,basic,ALL_NO_1_1_1,60_120,included,basic,0.62,{'n_neighbors': 31},0.65,"[46.3855421686747, 86.08414239482201, 46.78362573099415]","[332, 618, 342]",1292,2.24
1,clf,svc-rbf,basic,ALL_NO_1_1_1,60_120,included,basic,0.50,"{'C': 1, 'gamma': 1}",0.48,"[0.0, 100.0, 0.0]","[332, 618, 342]",1292,7.85
2,clf,svc-poly,basic,ALL_NO_1_1_1,60_120,included,basic,0.29,{},0.26,"[100.0, 0.0, 0.0]","[332, 618, 342]",1292,0.19
3,clf,dtree,basic,ALL_NO_1_1_1,60_120,included,basic,0.68,"{'max_depth': 3, 'min_samples_leaf': 200}",0.68,"[61.144578313253014, 78.80258899676376, 54.67836257309941]","[332, 618, 342]",1292,0.35
4,clf,rforest,basic,ALL_NO_1_1_1,60_120,included,basic,0.68,"{'max_depth': 6, 'min_samples_leaf': 10, 'n_estimators': 10}",0.68,"[50.903614457831324, 84.46601941747574, 54.97076023391813]","[332, 618, 342]",1292,13.69
5,clf,xgb,basic,ALL_NO_1_1_1,60_120,included,basic,0.68,{'n_estimators': 50},0.69,"[56.9277108433735, 82.68608414239482, 56.432748538011694]","[332, 618, 342]",1292,1.58
6,clf,gboosting,basic,ALL_NO_1_1_1,60_120,included,basic,0.68,{'n_estimators': 50},0.69,"[58.734939759036145, 80.90614886731392, 57.89473684210526]","[332, 618, 342]",1292,2.17
7,clf,ada,basic,ALL_NO_1_1_1,60_120,included,basic,0.67,{'n_estimators': 10},0.69,"[61.144578313253014, 73.46278317152104, 68.12865497076024]","[332, 618, 342]",1292,0.71
0,clf,kn,all,ALL_NO_1_1_1,60_120,included,basic,0.62,{'n_neighbors': 21},0.66,"[48.795180722891565, 84.46601941747574, 48.538011695906434]","[332, 618, 342]",1292,2.82
1,clf,svc-rbf,all,ALL_NO_1_1_1,60_120,included,basic,0.50,"{'C': 1, 'gamma': 1}",0.48,"[0.0, 100.0, 0.0]","[332, 618, 342]",1292,7.98
2,clf,svc-poly,all,ALL_NO_1_1_1,60_120,included,basic,0.29,{},0.26,"[100.0, 0.0, 0.0]","[332, 618, 342]",1292,0.23
3,clf,dtree,all,ALL_NO_1_1_1,60_120,included,basic,0.68,"{'max_depth': 3, 'min_samples_leaf': 200}",0.68,"[61.144578313253014, 78.80258899676376, 54.67836257309941]","[332, 618, 342]",1292,0.42
4,clf,rforest,all,ALL_NO_1_1_1,60_120,included,basic,0.68,"{'max_depth': 6, 'min_samples_leaf': 10, 'n_estimators': 50}",0.68,"[53.31325301204819, 82.52427184466019, 54.67836257309941]","[332, 618, 342]",1292,13.56
5,clf,xgb,all,ALL_NO_1_1_1,60_120,included,basic,0.68,{'n_estimators': 50},0.69,"[57.2289156626506, 81.71521035598705, 58.47953216374269]","[332, 618, 342]",1292,1.80
6,clf,gboosting,all,ALL_NO_1_1_1,60_120,included,basic,0.67,{'n_estimators': 10},0.69,"[56.9277108433735, 84.14239482200647, 54.97076023391813]","[332, 618, 342]",1292,2.46
7,clf,ada,all,ALL_NO_1_1_1,60_120,included,basic,0.67,{'n_estimators': 10},0.69,"[61.144578313253014, 73.46278317152104, 68.12865497076024]","[332, 618, 342]",1292,0.82
