,actual,country,date,forecast,forecast_error,impact,new,previous,previous_error,time
0,,CHF,2015-01-01 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
1,,EUR,2015-01-01 00:00:00,,,Non-Economic,French Bank Holiday,,,12:00am
2,,EUR,2015-01-01 00:00:00,,,Non-Economic,German Bank Holiday,,,12:00am
3,,EUR,2015-01-01 00:00:00,,,Non-Economic,Italian Bank Holiday,,,12:00am
4,,GBP,2015-01-01 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
5,,CAD,2015-01-01 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
6,,USD,2015-01-01 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
7,,NZD,2015-01-01 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
8,56.2,AUD,2015-01-01 00:00:00,,,Low,AIG Manufacturing Index,57.3,,5:30pm
9,,JPY,2015-01-01 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
10,51.5,CNY,2015-01-01 00:00:00,50.7,better,Medium,Caixin Manufacturing PMI,50.8,,8:45pm
11,-5.9%,AUD,2015-01-02 00:00:00,,,Low,Commodity Prices y/y,-4.0%,worse,12:30am
12,,CHF,2015-01-02 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
13,55.8,EUR,2015-01-02 00:00:00,56.4,worse,Low,Spanish Manufacturing PMI,56.1,,3:15am
14,57.4,EUR,2015-01-02 00:00:00,58.6,worse,Low,Italian Manufacturing PMI,58.3,,3:45am
15,58.8,EUR,2015-01-02 00:00:00,59.3,worse,Low,French Final Manufacturing PMI,59.3,,3:50am
16,63.3,EUR,2015-01-02 00:00:00,63.3,,Low,German Final Manufacturing PMI,63.3,,3:55am
17,60.6,EUR,2015-01-02 00:00:00,60.6,,Low,Final Manufacturing PMI,60.6,,4:00am
18,56.3,GBP,2015-01-02 00:00:00,58.0,worse,High,Manufacturing PMI,58.2,,4:30am
19,-5.9B,GBP,2015-01-02 00:00:00,-6.2B,better,Low,Housing Equity Withdrawal q/q,-5.8B,worse,4:36am
20,2.2%,NZD,2015-01-02 00:00:00,,,Medium,GDT Price Index,-3.9%,,9:25am
21,54.7,CAD,2015-01-02 00:00:00,,,Low,Manufacturing PMI,54.4,,9:30am
22,55.1,USD,2015-01-02 00:00:00,55.0,,Low,Final Manufacturing PMI,55.0,,9:45am
23,,JPY,2015-01-02 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
24,-61.5K,EUR,2015-01-03 00:00:00,-58.7K,,Medium,Spanish Unemployment Change,7.3K,,3:00am
