,datetime,new,total_error,pips_candle_max_0_30_after,pips_candle_max_0_60_after,pips_candle_max_0_120_after,pips_candle_max_0_180_after,pips_candle_max_0_240_after
0,2007-01-08 15:00:00,Consumer Credit m/m,1,3,3,6,11,20
1,2007-01-09 10:00:00,IBD/TIPP Economic Optimism,0,7,7,7,12,14
2,2007-01-10 08:30:00,Trade Balance,3,6,6,6,6,6
3,2007-01-10 10:00:00,Final Wholesale Inventories m/m,0,-1,-1,-1,-1,-1
4,2007-01-10 10:30:00,Crude Oil Inventories,0,12,14,14,14,14
5,2007-01-11 08:30:00,Unemployment Claims,1,5,5,5,5,5
6,2007-01-11 10:30:00,Natural Gas Storage,0,3,9,15,15,15
7,2007-01-12 08:30:00,Core Retail Sales m/m_Retail Sales m/m_Import Prices m/m,8,28,42,58,58,58
8,2007-01-12 10:00:00,Business Inventories m/m,2,16,16,16,16,16
9,2007-01-12 14:00:00,Federal Budget Balance,2,2,4,7,12,12
10,2007-01-16 08:30:00,Empire State Manufacturing Index,-2,1,6,6,6,6
11,2007-01-17 08:30:00,PPI m/m_Core PPI m/m,5,23,23,43,44,44
12,2007-01-17 09:00:00,TIC Long-Term Purchases,0,7,22,32,32,32
13,2007-01-17 09:15:00,Capacity Utilization Rate_Industrial Production m/m,-2,26,32,42,42,42
14,2007-01-17 13:00:00,NAHB Housing Market Index,2,6,6,6,6,9
15,2007-01-18 08:30:00,Unemployment Claims_Core CPI m/m_Building Permits_CPI m/m_Housing Starts,5,18,51,56,57,57
16,2007-01-18 10:30:00,Crude Oil Inventories_Natural Gas Storage,0,18,18,18,18,18
17,2007-01-18 12:00:00,Philly Fed Manufacturing Index,2,6,6,6,16,21
18,2007-01-19 10:00:00,Prelim UoM Consumer Sentiment,6,1,15,40,40,40
19,2007-01-23 10:00:00,CB Leading Index m/m_Richmond Manufacturing Index,-1,12,12,12,12,12
20,2007-01-24 10:30:00,Crude Oil Inventories,0,9,9,9,9,9
21,2007-01-25 08:30:00,Unemployment Claims,-1,4,4,4,4,4
22,2007-01-25 10:00:00,Existing Home Sales,-3,3,4,4,7,7
23,2007-01-25 10:30:00,Natural Gas Storage,0,6,6,6,9,9
24,2007-01-26 08:30:00,Core Durable Goods Orders m/m_Durable Goods Orders m/m,5,27,27,27,27,34
25,2007-01-26 10:00:00,New Home Sales,6,17,22,22,31,31
26,2007-01-30 09:00:00,S&P/CS Composite-20 HPI y/y,0,5,5,5,5,5
27,2007-01-30 10:00:00,CB Consumer Confidence,3,6,6,6,8,9
28,2007-01-31 08:15:00,ADP Non-Farm Employment Change,4,6,6,35,64,64
29,2007-01-31 08:30:00,Advance GDP q/q_Advance GDP Price Index q/q_Employment Cost Index q/q,2,0,0,43,64,64
30,2007-01-31 09:45:00,Chicago PMI,-2,27,54,56,56,56
31,2007-01-31 10:00:00,Construction Spending m/m,0,36,55,57,57,57
32,2007-01-31 10:30:00,Crude Oil Inventories,0,27,29,29,29,46
33,2007-01-31 14:15:00,Federal Funds Rate,0,9,12,12,12,12
34,2007-02-01 00:00:00,Total Vehicle Sales,0,3,3,4,4,4
35,2007-02-01 08:30:00,Unemployment Claims_Core PCE Price Index m/m_Personal Spending m/m_Personal Income m/m,-2,1,1,20,20,20
36,2007-02-01 10:00:00,ISM Manufacturing PMI_Pending Home Sales m/m_ISM Manufacturing Prices,4,6,6,6,6,6
37,2007-02-01 10:30:00,Natural Gas Storage,0,1,1,1,1,1
38,2007-02-02 08:30:00,Non-Farm Employment Change_Unemployment Rate_Average Hourly Earnings m/m,-7,13,13,13,13,13
39,2007-02-02 10:00:00,Factory Orders m/m_Revised UoM Consumer Sentiment,2,6,10,10,10,10
40,2007-02-05 10:00:00,ISM Non-Manufacturing PMI,3,18,20,20,20,21
41,2007-02-07 08:30:00,Prelim Nonfarm Productivity q/q_Prelim Unit Labor Costs q/q,-8,1,5,18,26,26
42,2007-02-07 10:30:00,Crude Oil Inventories,0,11,13,13,13,13
43,2007-02-07 15:00:00,Consumer Credit m/m,0,4,7,10,11,17
44,2007-02-08 08:30:00,Unemployment Claims,0,19,34,34,45,45
45,2007-02-08 10:00:00,Final Wholesale Inventories m/m,2,12,24,26,26,26
46,2007-02-08 10:30:00,Natural Gas Storage,0,18,20,20,20,20
47,2007-02-12 14:00:00,Federal Budget Balance,0,7,7,7,11,11
48,2007-02-13 08:30:00,Trade Balance,-3,21,21,21,21,21
49,2007-02-13 10:00:00,IBD/TIPP Economic Optimism,-1,3,3,9,12,12
