,datetime,new,total_error,pips_candle_max_0_30_after,pips_candle_max_0_60_after,pips_candle_max_0_120_after,pips_candle_max_0_180_after,pips_candle_max_0_240_after
0,2007-01-10 08:30:00,Trade Balance,3,6,6,6,6,6
1,2007-01-12 08:30:00,Core Retail Sales m/m_Retail Sales m/m,6,28,42,58,58,58
2,2007-01-17 08:30:00,PPI m/m,3,23,23,43,44,44
3,2007-01-17 09:00:00,TIC Long-Term Purchases,0,7,22,32,32,32
4,2007-01-18 08:30:00,Core CPI m/m,0,18,51,56,57,57
5,2007-01-19 10:00:00,Prelim UoM Consumer Sentiment,6,1,15,40,40,40
6,2007-01-25 10:00:00,Existing Home Sales,-3,3,4,4,7,7
7,2007-01-26 08:30:00,Core Durable Goods Orders m/m,3,27,27,27,27,34
8,2007-01-26 10:00:00,New Home Sales,6,17,22,22,31,31
9,2007-01-30 10:00:00,CB Consumer Confidence,3,6,6,6,8,9
10,2007-01-31 08:30:00,Advance GDP q/q,6,0,0,43,64,64
11,2007-01-31 14:15:00,Federal Funds Rate,0,9,12,12,12,12
12,2007-02-01 08:30:00,Core PCE Price Index m/m,-3,1,1,20,20,20
13,2007-02-01 10:00:00,ISM Manufacturing PMI_Pending Home Sales m/m,3,6,6,6,6,6
14,2007-02-02 08:30:00,Non-Farm Employment Change_Unemployment Rate,-3,13,13,13,13,13
15,2007-02-05 10:00:00,ISM Non-Manufacturing PMI,3,18,20,20,20,21
16,2007-02-13 08:30:00,Trade Balance,-3,21,21,21,21,21
17,2007-02-14 08:30:00,Core Retail Sales m/m_Retail Sales m/m,0,14,14,57,57,57
18,2007-02-15 09:00:00,TIC Long-Term Purchases,0,25,25,25,25,25
19,2007-02-16 08:30:00,PPI m/m,0,6,6,6,7,10
20,2007-02-16 10:00:00,Prelim UoM Consumer Sentiment,-6,6,10,27,27,27
21,2007-02-21 08:30:00,Core CPI m/m,0,-2,-2,4,4,4
22,2007-02-27 08:30:00,Core Durable Goods Orders m/m,0,6,6,10,10,20
23,2007-02-27 10:00:00,Existing Home Sales_CB Consumer Confidence,9,3,15,20,28,28
24,2007-02-28 08:30:00,Prelim GDP q/q,-3,16,16,16,16,24
25,2007-02-28 10:00:00,New Home Sales,0,1,1,21,21,21
26,2007-03-01 08:30:00,Core PCE Price Index m/m,3,7,9,9,9,9
27,2007-03-01 10:00:00,ISM Manufacturing PMI,3,6,6,6,6,6
28,2007-03-05 10:00:00,ISM Non-Manufacturing PMI,-3,5,5,5,5,5
29,2007-03-06 10:00:00,Pending Home Sales m/m,-6,4,10,12,13,13
30,2007-03-09 08:30:00,Trade Balance_Non-Farm Employment Change_Unemployment Rate,6,-2,-2,-2,-2,-2
31,2007-03-13 08:30:00,Core Retail Sales m/m_Retail Sales m/m,-9,18,21,21,21,21
32,2007-03-15 08:30:00,PPI m/m,3,2,14,14,21,26
33,2007-03-15 09:00:00,TIC Long-Term Purchases,3,17,17,20,26,29
34,2007-03-16 08:30:00,Core CPI m/m,0,9,9,10,10,10
35,2007-03-16 10:00:00,Prelim UoM Consumer Sentiment,-6,4,4,4,4,4
36,2007-03-21 14:15:00,Federal Funds Rate,0,51,55,59,59,60
37,2007-03-23 10:00:00,Existing Home Sales,3,7,7,7,7,7
38,2007-03-26 10:00:00,New Home Sales,-6,29,29,29,29,29
39,2007-03-27 10:00:00,CB Consumer Confidence,-6,26,26,26,26,26
40,2007-03-28 08:30:00,Core Durable Goods Orders m/m,-6,5,5,17,18,18
41,2007-03-30 08:30:00,Core PCE Price Index m/m,0,-2,-2,-2,71,77
42,2007-04-02 10:00:00,ISM Manufacturing PMI,-3,2,2,2,3,3
43,2007-04-03 10:00:00,Pending Home Sales m/m,3,11,11,11,11,11
